id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,3.10899968108928,1,0,0,0,0,0,0,0,0
1,3,8.25363551597309,1.47826086956522,0,0,0,0,0,0,0,0
1,4,9.79552429381985,1.30434782608696,0,0,0,0,0,0,0,0
1,5,9.38706261002049,1.60869565217391,0,0,0,0,0,0,0,0
1,6,10.5194422002486,1.47826086956522,0,0,0,0,0,0,0,0
1,7,13.3567208495018,1.04347826086956,0,0,0,0,0,0,0,0
1,8,12.6497189435406,1.47826086956522,0,0,0,0,0,0,0,0
1,9,14.6888315686846,1.47826086956521,0,0,0,0,0,0,0,0
2,3,5.76007955384343,1.47826086956522,0,0,0,0,0,0,0,0
2,4,7.09998270145657,1.30434782608696,0,0,0,0,0,0,0,0
2,5,7.02036719520822,1.60869565217391,0,0,0,0,0,0,0,0
2,6,8.01616172969192,1.47826086956522,0,0,0,0,0,0,0,0
2,7,10.3217807567319,1.04347826086957,0,0,0,0,0,0,0,0
2,8,10.1415800869742,1.47826086956522,0,0,0,0,0,0,0,0
2,9,12.1821231460675,1.47826086956522,0,0,0,0,0,0,0,0
3,4,0.866589038991376,1.13333333333333,0,0,0,0,0,0,0,0
3,5,1.30864702358384,1.08823529411764,0,0,0,0,0,0,0,0
3,6,1.91741247211842,1,0,0,0,0,0,0,0,0
3,7,2.72610143117964,1.41666666666667,0,0,0,0,0,0,0,0
3,8,3.73205046750998,1,0,0,0,0,0,0,0,0
3,9,5.41687738033945,1,0,0,0,0,0,0,0,0
4,5,0.835421013083971,1.23333333333333,0,0,0,0,0,0,0,0
4,6,1.26899628151543,1.13333333333333,0,0,0,0,0,0,0,0
4,7,2.0275875100994,1.25000000000001,0,0,0,0,0,0,0,0
4,8,3.15764201976728,1.13333333333333,0,0,0,0,0,0,0,0
4,9,4.97032207834663,1.13333333333333,0,0,0,0,0,0,0,0
5,6,0.625612177873601,1.08823529411764,0,0,0,0,0,0,0,0
5,7,1.12590851368477,1.54166666666667,0,0,0,0,0,0,0,0
5,8,2.33348447002989,1.08823529411764,0,0,0,0,0,0,0,0
5,9,3.90872350272438,1.08823529411765,0,0,0,0,0,0,0,0
6,7,0.48765984909417,1.41666666666667,0,0,0,0,0,0,0,0
6,8,1.81806581888536,1,0,0,0,0,0,0,0,0
6,9,3.50111203293011,1,0,0,0,0,0,0,0,0
7,8,1.67268039112206,1.41666666666667,0,0,0,0,0,0,0,0
7,9,3.62479242097046,1.41666666666667,0,0,0,0,0,0,0,0
8,9,1.718261372821,1,0,0,0,0,0,0,0,0
