id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.654411254722247,1.31818181818182,0,0,0,0,0,0,0,0
1,3,1.15548601419233,2.0232558139535,0,0,0,0,0,0,0,0
1,4,1.20394859442409,2.07142857142858,0,0,0,0,0,0,0,0
1,5,1.71567832604134,2.41666666666667,0,0,0,0,0,0,0,0
1,6,2.44204497895168,3.34615384615386,0,0,0,0,0,0,0,0
1,7,3.16676598206491,3.62499999999999,0,0,0,0,0,0,0,0
1,8,5.37651423005963,2.55882352941177,0,0,0,0,0,0,0,0
1,9,5.6269349534513,1.85106382978724,0,0,0,0,0,0,0,0
2,3,1.57544601054551,1.53488372093024,0,0,0,0,0,0,0,0
2,4,1.23485336205914,1.57142857142857,0,0,0,0,0,0,0,0
2,5,1.91058284232472,1.83333333333334,0,0,0,0,0,0,0,0
2,6,2.91810883420101,2.53846153846155,0,0,0,0,0,0,0,0
2,7,3.81234188095506,2.75,0,0,0,0,0,0,0,0
2,8,6.46344335474521,1.94117647058824,0,0,0,0,0,0,0,0
2,9,6.64144405037945,1.40425531914894,0,0,0,0,0,0,0,0
3,4,0.80525952746577,1.02380952380952,0,0,0,0,0,0,0,0
3,5,1.0228130087603,1.19444444444444,0,0,0,0,0,0,0,0
3,6,1.87853147093484,1.65384615384615,0,0,0,0,0,0,0,0
3,7,3.03436910354331,1.79166666666666,0,0,0,0,0,0,0,0
3,8,6.49830991170408,1.26470588235294,0,0,0,0,0,0,0,0
3,9,6.70884803638515,1.09302325581396,0,0,0,0,0,0,0,0
4,5,0.7952852522703,1.16666666666667,0,0,0,0,0,0,0,0
4,6,1.98828750366537,1.61538461538462,0,0,0,0,0,0,0,0
4,7,3.18790903315529,1.74999999999999,0,0,0,0,0,0,0,0
4,8,6.76153216176004,1.23529411764706,0,0,0,0,0,0,0,0
4,9,6.944374727869,1.11904761904762,0,0,0,0,0,0,0,0
5,6,1.1896186396507,1.38461538461539,0,0,0,0,0,0,0,0
5,7,2.4734703466093,1.5,0,0,0,0,0,0,0,0
5,8,6.4552620522536,1.05882352941177,0,0,0,0,0,0,0,0
5,9,6.69928272473878,1.30555555555556,0,0,0,0,0,0,0,0
6,7,1.52328592194637,1.08333333333333,0,0,0,0,0,0,0,0
6,8,6.31983210044207,1.30769230769231,0,0,0,0,0,0,0,0
6,9,6.62103133359415,1.80769230769231,0,0,0,0,0,0,0,0
7,8,5.23235384448189,1.41666666666666,0,0,0,0,0,0,0,0
7,9,5.74154026945217,1.95833333333333,0,0,0,0,0,0,0,0
8,9,1.28608559438078,1.38235294117647,0,0,0,0,0,0,0,0
