id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.93429454265773,1.29268292682927,0,0,0,0,0,0,0,0
1,3,1.84185105481635,1.26829268292683,0,0,0,0,0,0,0,0
1,4,6.04588381554849,1.20588235294118,0,0,0,0,0,0,0,0
1,5,7.98928038737114,1.17142857142857,0,0,0,0,0,0,0,0
1,6,4.76443035394926,1.53658536585366,0,0,0,0,0,0,0,0
1,7,7.47102312651536,1.63414634146341,0,0,0,0,0,0,0,0
2,3,0.925722124207456,1.01923076923077,0,0,0,0,0,0,0,0
2,4,4.22294533168602,1.55882352941177,0,0,0,0,0,0,0,0
2,5,5.91705101960385,1.51428571428571,0,0,0,0,0,0,0,0
2,6,3.51474725632755,1.18867924528302,0,0,0,0,0,0,0,0
2,7,5.99236203660775,1.26415094339622,0,0,0,0,0,0,0,0
3,4,3.36245615756903,1.52941176470588,0,0,0,0,0,0,0,0
3,5,5.09293989055065,1.48571428571428,0,0,0,0,0,0,0,0
3,6,3.02293689117308,1.21153846153846,0,0,0,0,0,0,0,0
3,7,5.50945928895593,1.28846153846154,0,0,0,0,0,0,0,0
4,5,2.23306010799413,1.02941176470589,0,0,0,0,0,0,0,0
4,6,1.09569734066692,1.85294117647059,0,0,0,0,0,0,0,0
4,7,3.7145606717642,1.97058823529412,0,0,0,0,0,0,0,0
5,6,1.54580891375171,1.8,0,0,0,0,0,0,0,0
5,7,2.34741999285117,1.91428571428571,0,0,0,0,0,0,0,0
6,7,2.3951751304081,1.06349206349206,0,0,0,0,0,0,0,0
