id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.56530510509256,1.24528301886793,0,0,0,0,0,0,0,0
1,3,1.88120240649576,1.01515151515152,0,0,0,0,0,0,0,0
1,4,4.59555367430381,1.375,0,0,0,0,0,0,0,0
1,5,5.77387928634627,1.53488372093023,0,0,0,0,0,0,0,0
1,6,2.71505628159803,1.12121212121212,0,0,0,0,0,0,0,0
1,7,4.32736958070746,1.1,0,0,0,0,0,0,0,0
1,8,6.7179219762201,1.17857142857142,0,0,0,0,0,0,0,0
1,9,7.90935017226851,1.29411764705882,0,0,0,0,0,0,0,0
1,10,8.39377806497656,1.69230769230769,0,0,0,0,0,0,0,0
2,3,0.638846616959032,1.26415094339623,0,0,0,0,0,0,0,0
2,4,3.39627052299232,1.10416666666666,0,0,0,0,0,0,0,0
2,5,4.61701638266292,1.23255813953488,0,0,0,0,0,0,0,0
2,6,1.81671478248656,1.39622641509434,0,0,0,0,0,0,0,0
2,7,3.31763998370484,1.13207547169811,0,0,0,0,0,0,0,0
2,8,5.85163620930649,1.05660377358491,0,0,0,0,0,0,0,0
2,9,7.12502595240785,1.03921568627451,0,0,0,0,0,0,0,0
2,10,7.55747511122008,1.35897435897436,0,0,0,0,0,0,0,0
3,4,2.67543611624316,1.39583333333333,0,0,0,0,0,0,0,0
3,5,3.54504659657681,1.55813953488372,0,0,0,0,0,0,0,0
3,6,1.10333276575671,1.1044776119403,0,0,0,0,0,0,0,0
3,7,2.3608395005011,1.11666666666667,0,0,0,0,0,0,0,0
3,8,4.62916577313581,1.19642857142857,0,0,0,0,0,0,0,0
3,9,5.72892638540988,1.31372549019608,0,0,0,0,0,0,0,0
3,10,6.04695640279248,1.71794871794872,0,0,0,0,0,0,0,0
4,5,1.5383437945524,1.11627906976744,0,0,0,0,0,0,0,0
4,6,2.67572422614373,1.54166666666667,0,0,0,0,0,0,0,0
4,7,2.62440796119361,1.25,0,0,0,0,0,0,0,0
4,8,3.74197860044039,1.16666666666667,0,0,0,0,0,0,0,0
4,9,4.63875073338644,1.0625,0,0,0,0,0,0,0,0
4,10,4.27641820632483,1.23076923076923,0,0,0,0,0,0,0,0
5,6,2.99380859635479,1.72093023255814,0,0,0,0,0,0,0,0
5,7,2.27037127560625,1.3953488372093,0,0,0,0,0,0,0,0
5,8,2.53334058285174,1.30232558139535,0,0,0,0,0,0,0,0
5,9,3.40945414200002,1.1860465116279,0,0,0,0,0,0,0,0
5,10,3.07406587814908,1.1025641025641,0,0,0,0,0,0,0,0
6,7,1.31364482685409,1.23333333333334,0,0,0,0,0,0,0,0
6,8,3.58751945750655,1.32142857142857,0,0,0,0,0,0,0,0
6,9,4.66072612368502,1.45098039215687,0,0,0,0,0,0,0,0
6,10,5.15146114063454,1.8974358974359,0,0,0,0,0,0,0,0
7,8,2.51112270062578,1.07142857142857,0,0,0,0,0,0,0,0
7,9,3.68654548929913,1.17647058823529,0,0,0,0,0,0,0,0
7,10,4.31704456641218,1.53846153846154,0,0,0,0,0,0,0,0
8,9,1.12925663304622,1.09803921568628,0,0,0,0,0,0,0,0
8,10,2.20927282755951,1.43589743589744,0,0,0,0,0,0,0,0
9,10,1.76837792731847,1.30769230769231,0,0,0,0,0,0,0,0
