id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.83758975593333,1.4,0,0,0,0,0,0,0,0
1,3,2.99059265772597,1.5,0,0,0,0,0,0,0,0
1,4,3.60657311232041,1.8,0,0,0,0,0,0,0,0
1,5,5.86341833022645,1.53333333333333,0,0,0,0,0,0,0,0
1,6,7.91865893190119,1.53333333333333,0,0,0,0,0,0,0,0
1,7,10.54071378929,1.46666666666667,0,0,0,0,0,0,0,0
1,8,12.1890225975654,1.56666666666668,0,0,0,0,0,0,0,0
1,9,19.8565611037744,1.30434782608696,0,0,0,0,0,0,0,0
2,3,1.06772886074541,1.07142857142857,0,0,0,0,0,0,0,0
2,4,2.52773246677949,1.28571428571429,0,0,0,0,0,0,0,0
2,5,3.56655289975865,1.09523809523809,0,0,0,0,0,0,0,0
2,6,5.33866006806147,1.09523809523809,0,0,0,0,0,0,0,0
2,7,7.53148250826552,1.04761904761905,0,0,0,0,0,0,0,0
2,8,9.05906497659778,1.11904761904762,0,0,0,0,0,0,0,0
2,9,14.1552507664243,1.82608695652174,0,0,0,0,0,0,0,0
3,4,2.23504108055585,1.2,0,0,0,0,0,0,0,0
3,5,2.43214892386874,1.02222222222222,0,0,0,0,0,0,0,0
3,6,4.14914845706075,1.02222222222222,0,0,0,0,0,0,0,0
3,7,6.25300836574025,1.02272727272727,0,0,0,0,0,0,0,0
3,8,7.77541718985999,1.04444444444445,0,0,0,0,0,0,0,0
3,9,12.1899701382866,1.95652173913044,0,0,0,0,0,0,0,0
4,5,3.24260697587605,1.17391304347826,0,0,0,0,0,0,0,0
4,6,4.56632237144948,1.17391304347826,0,0,0,0,0,0,0,0
4,7,6.46716629599408,1.22727272727273,0,0,0,0,0,0,0,0
4,8,7.794821312273,1.14893617021276,0,0,0,0,0,0,0,0
4,9,11.60653208819,2.34782608695652,0,0,0,0,0,0,0,0
5,6,1.70066149700939,1,0,0,0,0,0,0,0,0
5,7,3.74549935684133,1.04545454545455,0,0,0,0,0,0,0,0
5,8,5.33441716354625,1.02173913043479,0,0,0,0,0,0,0,0
5,9,8.82666997907789,2,0,0,0,0,0,0,0,0
6,7,2.02335133313124,1.04545454545455,0,0,0,0,0,0,0,0
6,8,3.66355936826034,1.02173913043479,0,0,0,0,0,0,0,0
6,9,6.56561728954519,2,0,0,0,0,0,0,0,0
7,8,1.74739096833889,1.06818181818183,0,0,0,0,0,0,0,0
7,9,4.06586998442271,1.91304347826087,0,0,0,0,0,0,0,0
8,9,1.63245151817249,2.04347826086958,0,0,0,0,0,0,0,0
