id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.50610313811595,1.203125,0,0,0,0,0,0,0,0
1,3,1.13563764095881,1.50980392156863,0,0,0,0,0,0,0,0
1,4,2.22662844393901,1.71111111111111,0,0,0,0,0,0,0,0
1,5,1.64449448981333,2.13888888888889,0,0,0,0,0,0,0,0
1,6,3.04791146079546,2.1388888888889,0,0,0,0,0,0,0,0
1,7,2.11175898435462,2.08108108108108,0,0,0,0,0,0,0,0
1,8,4.15990559259112,3.84999999999998,0,0,0,0,0,0,0,0
1,9,4.53438084426438,5.13333333333334,0,0,0,0,0,0,0,0
1,10,6.6271001977675,1.50980392156863,0,0,0,0,0,0,0,0
1,11,6.47155511373895,1.18461538461539,0,0,0,0,0,0,0,0
1,12,7.93009457698961,1.60416666666667,0,0,0,0,0,0,0,0
2,3,1.02774368830311,1.25490196078431,0,0,0,0,0,0,0,0
2,4,1.11081180680112,1.42222222222222,0,0,0,0,0,0,0,0
2,5,1.40117807576339,1.77777777777778,0,0,0,0,0,0,0,0
2,6,1.78997206682116,1.77777777777778,0,0,0,0,0,0,0,0
2,7,1.56814305467877,1.72972972972973,0,0,0,0,0,0,0,0
2,8,2.90402996242734,3.19999999999998,0,0,0,0,0,0,0,0
2,9,3.22469441371567,4.26666666666667,0,0,0,0,0,0,0,0
2,10,5.57214921559962,1.25490196078432,0,0,0,0,0,0,0,0
2,11,5.51146981314712,1.015625,0,0,0,0,0,0,0,0
2,12,6.98666847303067,1.33333333333333,0,0,0,0,0,0,0,0
3,4,1.3380856064833,1.13333333333334,0,0,0,0,0,0,0,0
3,5,0.540352150507732,1.41666666666667,0,0,0,0,0,0,0,0
3,6,2.30565086149192,1.41666666666667,0,0,0,0,0,0,0,0
3,7,1.12505739063899,1.37837837837838,0,0,0,0,0,0,0,0
3,8,3.63819474734914,2.54999999999999,0,0,0,0,0,0,0,0
3,9,4.12190836364788,3.40000000000001,0,0,0,0,0,0,0,0
3,10,7.00981077745449,1,0,0,0,0,0,0,0,0
3,11,6.77591142387922,1.27450980392156,0,0,0,0,0,0,0,0
3,12,8.67776125824256,1.0625,0,0,0,0,0,0,0,0
4,5,1.28685568784824,1.25,0,0,0,0,0,0,0,0
4,6,0.898778998676608,1.25,0,0,0,0,0,0,0,0
4,7,0.893245857425854,1.21621621621621,0,0,0,0,0,0,0,0
4,8,2.06967395882974,2.24999999999998,0,0,0,0,0,0,0,0
4,9,2.45820621140249,3,0,0,0,0,0,0,0,0
4,10,6.14139140326162,1.13333333333333,0,0,0,0,0,0,0,0
4,11,6.00539702171554,1.44444444444444,0,0,0,0,0,0,0,0
4,12,7.89230464793386,1.06666666666667,0,0,0,0,0,0,0,0
5,6,2.37905761247112,1,0,0,0,0,0,0,0,0
5,7,0.752303025629916,1.02777777777778,0,0,0,0,0,0,0,0
5,8,3.98918339809959,1.79999999999999,0,0,0,0,0,0,0,0
5,9,4.6558203167639,2.4,0,0,0,0,0,0,0,0
5,10,7.96865971086281,1.41666666666666,0,0,0,0,0,0,0,0
5,11,7.5670061711276,1.80555555555555,0,0,0,0,0,0,0,0
5,12,9.97312147361284,1.33333333333333,0,0,0,0,0,0,0,0
6,7,1.73410806865372,1.02777777777778,0,0,0,0,0,0,0,0
6,8,1.16194989178553,1.79999999999998,0,0,0,0,0,0,0,0
6,9,1.50380780304424,2.4,0,0,0,0,0,0,0,0
6,10,6.01825952808541,1.41666666666667,0,0,0,0,0,0,0,0
6,11,5.88572015932986,1.80555555555556,0,0,0,0,0,0,0,0
6,12,7.95324524815653,1.33333333333334,0,0,0,0,0,0,0,0
7,8,3.01983796923255,1.84999999999999,0,0,0,0,0,0,0,0
7,9,3.58214052896181,2.46666666666667,0,0,0,0,0,0,0,0
7,10,7.38636363636365,1.37837837837838,0,0,0,0,0,0,0,0
7,11,7.06675072309697,1.75675675675675,0,0,0,0,0,0,0,0
7,12,9.34650907204984,1.2972972972973,0,0,0,0,0,0,0,0
8,9,0.404061017820882,1.33333333333334,0,0,0,0,0,0,0,0
8,10,6.8476926525478,2.54999999999998,0,0,0,0,0,0,0,0
8,11,6.54407468591318,3.24999999999997,0,0,0,0,0,0,0,0
8,12,9.26261647774755,2.39999999999999,0,0,0,0,0,0,0,0
9,10,7.1653211626943,3.4,0,0,0,0,0,0,0,0
9,11,6.78576174795433,4.33333333333333,0,0,0,0,0,0,0,0
9,12,9.78484850506485,3.20000000000001,0,0,0,0,0,0,0,0
10,11,0.612311753692407,1.27450980392157,0,0,0,0,0,0,0,0
10,12,1.4595872216718,1.0625,0,0,0,0,0,0,0,0
11,12,0.652050867957122,1.35416666666666,0,0,0,0,0,0,0,0
