id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.06885992901784,1.01923076923077,0,0,0,0,0,0,0,0
1,3,1.37411968829228,1.55223880597015,0,0,0,0,0,0,0,0
1,4,1.80124648199209,2.26086956521739,0,0,0,0,0,0,0,0
1,5,2.17164306486327,2.36363636363636,0,0,0,0,0,0,0,0
1,6,2.5664941082037,2.81081081081081,0,0,0,0,0,0,0,0
1,7,3.08053691275168,2.31111111111111,0,0,0,0,0,0,0,0
1,8,5.07007297367372,2.03921568627452,0,0,0,0,0,0,0,0
2,3,2.49301875322388,1.58208955223881,0,0,0,0,0,0,0,0
2,4,1.98305887631336,2.30434782608696,0,0,0,0,0,0,0,0
2,5,2.04517861214016,2.40909090909091,0,0,0,0,0,0,0,0
2,6,1.99331368024325,2.86486486486486,0,0,0,0,0,0,0,0
2,7,1.57466956176904,2.35555555555555,0,0,0,0,0,0,0,0
2,8,2.29095804904987,2.07843137254903,0,0,0,0,0,0,0,0
3,4,1.20366995652526,1.45652173913044,0,0,0,0,0,0,0,0
3,5,1.45145731937649,1.52272727272727,0,0,0,0,0,0,0,0
3,6,2.00002311377176,1.81081081081081,0,0,0,0,0,0,0,0
3,7,2.92906137016691,1.48888888888889,0,0,0,0,0,0,0,0
3,8,6.12554777434358,1.31372549019608,0,0,0,0,0,0,0,0
4,5,0.576172984998409,1.04545454545454,0,0,0,0,0,0,0,0
4,6,1.11788791583264,1.24324324324324,0,0,0,0,0,0,0,0
4,7,2.2413272587221,1.02222222222222,0,0,0,0,0,0,0,0
4,8,6.06379273349651,1.10869565217391,0,0,0,0,0,0,0,0
5,6,0.586647129408233,1.18918918918919,0,0,0,0,0,0,0,0
5,7,1.87640449438202,1.02272727272727,0,0,0,0,0,0,0,0
5,8,5.94737773636905,1.15909090909091,0,0,0,0,0,0,0,0
6,7,1.46590235704992,1.21621621621622,0,0,0,0,0,0,0,0
6,8,5.93025057656306,1.37837837837837,0,0,0,0,0,0,0,0
7,8,4.23235973466471,1.13333333333333,0,0,0,0,0,0,0,0
