id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,4.14253214379301,1.625,0,0,0,0,0,0,0,0
1,3,4.06054003677276,2.1875,0,0,0,0,0,0,0,0
1,4,4.9097479568711,1.5,0,0,0,0,0,0,0,0
1,5,6.18130162865709,2.34375,0,0,0,0,0,0,0,0
1,6,5.28983411388932,2.13333333333333,0,0,0,0,0,0,0,0
1,7,5.97404687888463,2,0,0,0,0,0,0,0,0
1,8,6.57193558698148,1.88235294117648,0,0,0,0,0,0,0,0
1,9,7.1001205797736,1.23076923076923,0,0,0,0,0,0,0,0
1,10,8.22527643388315,1.23076923076924,0,0,0,0,0,0,0,0
1,11,9.62436645977624,1.39130434782608,0,0,0,0,0,0,0,0
1,12,10.9913645837982,1.28,0,0,0,0,0,0,0,0
1,13,17.100825700678,1.6,0,0,0,0,0,0,0,0
1,14,10.8920211424452,1.65625,0,0,0,0,0,0,0,0
1,15,12.8128843281645,1.46875,0,0,0,0,0,0,0,0
2,3,0.762779680270942,1.34615384615385,0,0,0,0,0,0,0,0
2,4,1.56284996080878,1.08333333333333,0,0,0,0,0,0,0,0
2,5,2.92566045859362,1.44230769230769,0,0,0,0,0,0,0,0
2,6,4.27908131120447,3.46666666666666,0,0,0,0,0,0,0,0
2,7,4.14280653914243,3.25,0,0,0,0,0,0,0,0
2,8,4.28938990819197,3.05882352941177,0,0,0,0,0,0,0,0
2,9,4.02037054954977,2,0,0,0,0,0,0,0,0
2,10,4.53333405847542,2.00000000000001,0,0,0,0,0,0,0,0
2,11,5.35097083610899,2.26086956521738,0,0,0,0,0,0,0,0
2,12,5.98346233840144,2.08,0,0,0,0,0,0,0,0
2,13,9.50198972015733,2.6,0,0,0,0,0,0,0,0
2,14,6.56845343280031,1.01923076923077,0,0,0,0,0,0,0,0
2,15,7.86170123390573,1.1063829787234,0,0,0,0,0,0,0,0
3,4,0.822732535548626,1.45833333333333,0,0,0,0,0,0,0,0
3,5,1.92219652398326,1.07142857142857,0,0,0,0,0,0,0,0
3,6,3.46066377616004,4.66666666666667,0,0,0,0,0,0,0,0
3,7,3.21555255881756,4.37500000000001,0,0,0,0,0,0,0,0
3,8,3.21372814957465,4.11764705882354,0,0,0,0,0,0,0,0
3,9,2.79884803932301,2.6923076923077,0,0,0,0,0,0,0,0
3,10,3.06825210941743,2.69230769230771,0,0,0,0,0,0,0,0
3,11,3.6145669492412,3.04347826086956,0,0,0,0,0,0,0,0
3,12,4.02679391725943,2.8,0,0,0,0,0,0,0,0
3,13,6.60900993687247,3.5,0,0,0,0,0,0,0,0
