id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,11.0147533900567,1.53333333333332,0,0,0,0,0,0,0,0
1,3,11.783480619599,1.53333333333332,0,0,0,0,0,0,0,0
1,4,8.66950731200642,1.47826086956522,0,0,0,0,0,0,0,0
1,5,10.9936496047788,1.43478260869565,0,0,0,0,0,0,0,0
1,6,16.0565950333492,1.13043478260869,0,0,0,0,0,0,0,0
1,7,17.0844511829389,1.08695652173913,0,0,0,0,0,0,0,0
1,8,17.516499895671,1.39130434782608,0,0,0,0,0,0,0,0
1,9,17.29519629827,1.56521739130435,0,0,0,0,0,0,0,0
2,3,1.08576649832681,1,0,0,0,0,0,0,0,0
2,4,1.57354747152662,2.26666666666666,0,0,0,0,0,0,0,0
2,5,4.17296399124437,2.19999999999998,0,0,0,0,0,0,0,0
2,6,9.04891197064424,1.73333333333331,0,0,0,0,0,0,0,0
2,7,10.1280859494773,1.66666666666665,0,0,0,0,0,0,0,0
2,8,11.6000382447349,2.13333333333331,0,0,0,0,0,0,0,0
2,9,11.826195517702,2.39999999999998,0,0,0,0,0,0,0,0
3,4,0.946727633040258,2.26666666666666,0,0,0,0,0,0,0,0
3,5,3.52089496987468,2.19999999999998,0,0,0,0,0,0,0,0
3,6,8.29497816156096,1.73333333333331,0,0,0,0,0,0,0,0
3,7,9.34999999999998,1.66666666666665,0,0,0,0,0,0,0,0
3,8,10.9710099903445,2.13333333333331,0,0,0,0,0,0,0,0
3,9,11.2339423612794,2.39999999999998,0,0,0,0,0,0,0,0
4,5,1.83879143239068,1.03030303030303,0,0,0,0,0,0,0,0
4,6,4.90011337737313,1.30769230769232,0,0,0,0,0,0,0,0
4,7,5.56025209252023,1.36000000000001,0,0,0,0,0,0,0,0
4,8,7.10982325918581,1.06250000000001,0,0,0,0,0,0,0,0
4,9,7.5228359828252,1.05882352941176,0,0,0,0,0,0,0,0
5,6,2.90231658159261,1.26923076923077,0,0,0,0,0,0,0,0
5,7,3.53452481051519,1.32,0,0,0,0,0,0,0,0
5,8,5.3706191724845,1.03125,0,0,0,0,0,0,0,0
5,9,5.86747144620429,1.09090909090909,0,0,0,0,0,0,0,0
6,7,0.684872517512666,1.04,0,0,0,0,0,0,0,0
6,8,3.13024826829524,1.23076923076923,0,0,0,0,0,0,0,0
6,9,3.77853348490736,1.38461538461539,0,0,0,0,0,0,0,0
7,8,2.69113886263093,1.28,0,0,0,0,0,0,0,0
7,9,3.32014770930599,1.44,0,0,0,0,0,0,0,0
8,9,0.939796782862971,1.125,0,0,0,0,0,0,0,0
