id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.09382994732527,1.025,0,0,0,0,0,0,0,0
1,3,2.4002676355403,1.4,0,0,0,0,0,0,0,0
1,4,4.40380545653857,1.55,0,0,0,0,0,0,0,0
1,5,6.20476130809738,1.45,0,0,0,0,0,0,0,0
1,6,9.02219811452636,1.525,0,0,0,0,0,0,0,0
1,7,9.69164673979225,1.75,0,0,0,0,0,0,0,0
2,3,1.54797170147395,1.36585365853659,0,0,0,0,0,0,0,0
2,4,3.55318583906577,1.51219512195122,0,0,0,0,0,0,0,0
2,5,5.27389785372966,1.41463414634146,0,0,0,0,0,0,0,0
2,6,8.09813416836513,1.48780487804878,0,0,0,0,0,0,0,0
2,7,8.83126000724006,1.70731707317073,0,0,0,0,0,0,0,0
3,4,1.85595155163663,1.10714285714286,0,0,0,0,0,0,0,0
3,5,3.33597540721047,1.03571428571429,0,0,0,0,0,0,0,0
3,6,5.8281950382391,1.08928571428572,0,0,0,0,0,0,0,0
3,7,6.64522724212809,1.25,0,0,0,0,0,0,0,0
4,5,1.37853082019309,1.06896551724138,0,0,0,0,0,0,0,0
4,6,3.7662552266343,1.01639344262295,0,0,0,0,0,0,0,0
4,7,4.68949184800125,1.12903225806452,0,0,0,0,0,0,0,0
5,6,2.55772975477898,1.05172413793103,0,0,0,0,0,0,0,0
5,7,3.57935295523158,1.20689655172414,0,0,0,0,0,0,0,0
6,7,1.19350357753173,1.14754098360656,0,0,0,0,0,0,0,0
