id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.924385581845531,1.18867924528302,0,0,0,0,0,0,0,0
1,3,2.3365180385319,1.32075471698113,0,0,0,0,0,0,0,0
1,4,4.04362281495062,2.13207547169811,0,0,0,0,0,0,0,0
1,5,5.23581939712681,2.24528301886792,0,0,0,0,0,0,0,0
1,6,7.54801885714523,1.56603773584906,0,0,0,0,0,0,0,0
1,7,8.29725192908833,1.54716981132075,0,0,0,0,0,0,0,0
1,8,11.0799509206411,1.15094339622642,0,0,0,0,0,0,0,0
2,3,1.36345459158489,1.11111111111111,0,0,0,0,0,0,0,0
2,4,3.20515488241176,1.7936507936508,0,0,0,0,0,0,0,0
2,5,4.35898205435342,1.88888888888889,0,0,0,0,0,0,0,0
2,6,6.29703916102908,1.31746031746032,0,0,0,0,0,0,0,0
2,7,6.98816733905397,1.3015873015873,0,0,0,0,0,0,0,0
2,8,9.32292944988726,1.0327868852459,0,0,0,0,0,0,0,0
3,4,2.10609486534506,1.61428571428571,0,0,0,0,0,0,0,0
3,5,3.25802216610235,1.7,0,0,0,0,0,0,0,0
3,6,4.84024328520991,1.18571428571429,0,0,0,0,0,0,0,0
3,7,5.48027895366397,1.17142857142857,0,0,0,0,0,0,0,0
3,8,7.454385108845,1.14754098360655,0,0,0,0,0,0,0,0
4,5,0.994270521735603,1.05309734513274,0,0,0,0,0,0,0,0
4,6,1.81284061269794,1.36144578313253,0,0,0,0,0,0,0,0
4,7,2.30954911054454,1.37804878048781,0,0,0,0,0,0,0,0
4,8,3.40230370456317,1.85245901639344,0,0,0,0,0,0,0,0
5,6,0.636461181075622,1.43373493975903,0,0,0,0,0,0,0,0
5,7,1.15333856555045,1.45121951219512,0,0,0,0,0,0,0,0
5,8,2.03208826482744,1.95081967213114,0,0,0,0,0,0,0,0
6,7,0.645276686264542,1.01219512195122,0,0,0,0,0,0,0,0
6,8,1.64957965558607,1.36065573770491,0,0,0,0,0,0,0,0
7,8,1.0278768806164,1.34426229508196,0,0,0,0,0,0,0,0
