id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.21699803992169,1.94202898550725,0,0,0,0,0,0,0,0
1,3,1.71807117818414,2.19672131147541,0,0,0,0,0,0,0,0
1,4,2.22155101462805,2.85106382978724,0,0,0,0,0,0,0,0
1,5,2.55592149603182,3.26829268292683,0,0,0,0,0,0,0,0
1,6,3.08089399066915,3.34999999999999,0,0,0,0,0,0,0,0
1,7,3.33167387444092,4.18749999999999,0,0,0,0,0,0,0,0
1,8,4.69675017316416,3.04545454545455,0,0,0,0,0,0,0,0
1,9,5.38031624904163,4.96296296296296,0,0,0,0,0,0,0,0
2,3,0.680454077421313,1.13114754098361,0,0,0,0,0,0,0,0
2,4,1.34164632569766,1.46808510638298,0,0,0,0,0,0,0,0
2,5,1.8281770715548,1.68292682926829,0,0,0,0,0,0,0,0
2,6,2.6516300948192,1.725,0,0,0,0,0,0,0,0
2,7,3.03243583468169,2.15624999999999,0,0,0,0,0,0,0,0
2,8,5.21329829658163,1.56818181818182,0,0,0,0,0,0,0,0
2,9,6.45317334189587,2.55555555555555,0,0,0,0,0,0,0,0
3,4,0.622095445638551,1.29787234042553,0,0,0,0,0,0,0,0
3,5,1.10432375218265,1.48780487804878,0,0,0,0,0,0,0,0
3,6,1.9942570226638,1.525,0,0,0,0,0,0,0,0
3,7,2.34448058236013,1.90624999999999,0,0,0,0,0,0,0,0
3,8,4.7714665904768,1.38636363636364,0,0,0,0,0,0,0,0
3,9,6.03682954458822,2.25925925925925,0,0,0,0,0,0,0,0
4,5,0.517513524397076,1.14634146341463,0,0,0,0,0,0,0,0
4,6,1.55406379596833,1.175,0,0,0,0,0,0,0,0
4,7,1.91143431926548,1.46875,0,0,0,0,0,0,0,0
4,8,4.7693447092279,1.06818181818182,0,0,0,0,0,0,0,0
4,9,6.27203202183951,1.74074074074074,0,0,0,0,0,0,0,0
5,6,1.14129108631304,1.025,0,0,0,0,0,0,0,0
5,7,1.45618435790886,1.28125,0,0,0,0,0,0,0,0
5,8,4.57798251148173,1.07317073170732,0,0,0,0,0,0,0,0
5,9,6.16204548005529,1.51851851851852,0,0,0,0,0,0,0,0
6,7,0.333911535560313,1.25,0,0,0,0,0,0,0,0
6,8,3.57589007044656,1.1,0,0,0,0,0,0,0,0
6,9,4.94435510053776,1.48148148148148,0,0,0,0,0,0,0,0
7,8,3.72377719802066,1.375,0,0,0,0,0,0,0,0
7,9,5.30898216072331,1.18518518518519,0,0,0,0,0,0,0,0
8,9,0.466280150908362,1.62962962962963,0,0,0,0,0,0,0,0
