id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.651176773945659,1.09090909090909,0,0,0,0,0,0,0,0
1,3,4.80124083087002,1.06666666666667,0,0,0,0,0,0,0,0
1,4,5.06641509409715,1.10416666666667,0,0,0,0,0,0,0,0
1,5,5.76604222209356,1.14583333333334,0,0,0,0,0,0,0,0
1,6,6.17127315737477,1.58333333333334,0,0,0,0,0,0,0,0
2,3,5.00701439556844,1.02272727272727,0,0,0,0,0,0,0,0
2,4,5.26932217565798,1.20454545454546,0,0,0,0,0,0,0,0
2,5,5.98707072070413,1.25000000000001,0,0,0,0,0,0,0,0
2,6,6.33891201670724,1.72727272727273,0,0,0,0,0,0,0,0
3,4,0.66858152044413,1.17777777777778,0,0,0,0,0,0,0,0
3,5,1.47512711316686,1.22222222222223,0,0,0,0,0,0,0,0
3,6,2.63900486881512,1.68888888888889,0,0,0,0,0,0,0,0
4,5,0.761120122502296,1.0377358490566,0,0,0,0,0,0,0,0
4,6,1.9785825165287,1.43396226415094,0,0,0,0,0,0,0,0
5,6,1.32844168051357,1.38181818181818,0,0,0,0,0,0,0,0
