id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.50254812908713,1.06666666666666,0,0,0,0,0,0,0,0
1,3,4.32996512469705,1.63333333333333,0,0,0,0,0,0,0,0
1,4,5.16866614882909,1.63333333333333,0,0,0,0,0,0,0,0
1,5,5.13921403370786,2.23333333333333,0,0,0,0,0,0,0,0
2,3,2.33434559008366,1.53125000000001,0,0,0,0,0,0,0,0
2,4,3.17120580508305,1.53125,0,0,0,0,0,0,0,0
2,5,3.49845098142912,2.09375000000001,0,0,0,0,0,0,0,0
3,4,0.701117689236812,1,0,0,0,0,0,0,0,0
3,5,1.35594432696771,1.36734693877551,0,0,0,0,0,0,0,0
4,5,0.778205273867934,1.36734693877551,0,0,0,0,0,0,0,0
