id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.85179792514074,1.02702702702703,0,0,0,0,0,0,0,0
1,3,3.78170868823092,1.49019607843138,0,0,0,0,0,0,0,0
1,4,4.74492358606354,1.76744186046512,0,0,0,0,0,0,0,0
1,5,5.97142857142857,2.62068965517242,0,0,0,0,0,0,0,0
1,6,6.27444312472859,2.53333333333334,0,0,0,0,0,0,0,0
1,7,7.18844094354052,2.92307692307694,0,0,0,0,0,0,0,0
1,8,7.7168212232167,5.0666666666666,0,0,0,0,0,0,0,0
1,9,7.37923607157272,2.71428571428572,0,0,0,0,0,0,0,0
1,10,8.3039737939762,2.81481481481484,0,0,0,0,0,0,0,0
1,11,8.54838709677417,4.47058823529408,0,0,0,0,0,0,0,0
2,3,1.67354952122726,1.45098039215687,0,0,0,0,0,0,0,0
2,4,2.58697773376925,1.72093023255815,0,0,0,0,0,0,0,0
2,5,3.5898837765682,2.55172413793104,0,0,0,0,0,0,0,0
2,6,3.89348283415782,2.46666666666668,0,0,0,0,0,0,0,0
2,7,4.71097654419973,2.84615384615386,0,0,0,0,0,0,0,0
2,8,4.94815948485796,4.93333333333327,0,0,0,0,0,0,0,0
2,9,4.94021349159736,2.64285714285715,0,0,0,0,0,0,0,0
2,10,5.85892709991191,2.74074074074076,0,0,0,0,0,0,0,0
2,11,5.87928519848418,4.35294117647055,0,0,0,0,0,0,0,0
3,4,1.05619601525223,1.18604651162791,0,0,0,0,0,0,0,0
3,5,2.09705895243792,1.75862068965517,0,0,0,0,0,0,0,0
3,6,2.45985911668782,1.7,0,0,0,0,0,0,0,0
3,7,3.42061749561004,1.96153846153846,0,0,0,0,0,0,0,0
3,8,3.53189585604172,3.39999999999994,0,0,0,0,0,0,0,0
3,9,3.73983694668075,1.82142857142857,0,0,0,0,0,0,0,0
3,10,4.91050745826733,1.8888888888889,0,0,0,0,0,0,0,0
3,11,4.82032264279299,2.99999999999996,0,0,0,0,0,0,0,0
4,5,0.951971638232991,1.48275862068965,0,0,0,0,0,0,0,0
4,6,1.40081471080453,1.43333333333333,0,0,0,0,0,0,0,0
4,7,2.45274601884833,1.65384615384615,0,0,0,0,0,0,0,0
4,8,2.38436494585161,2.86666666666662,0,0,0,0,0,0,0,0
4,9,2.85918962027106,1.53571428571428,0,0,0,0,0,0,0,0
4,10,4.15753557300674,1.5925925925926,0,0,0,0,0,0,0,0
4,11,3.87620948866286,2.52941176470585,0,0,0,0,0,0,0,0
5,6,0.670509845588218,1.03448275862069,0,0,0,0,0,0,0,0
5,7,1.95486255355864,1.11538461538462,0,0,0,0,0,0,0,0
5,8,1.75294910893396,1.9333333333333,0,0,0,0,0,0,0,0
5,9,2.49813719457229,1.03571428571429,0,0,0,0,0,0,0,0
5,10,4.0920919878144,1.07407407407408,0,0,0,0,0,0,0,0
5,11,3.65217391304347,1.70588235294116,0,0,0,0,0,0,0,0
6,7,1.22070258290805,1.15384615384615,0,0,0,0,0,0,0,0
6,8,0.836807572611682,1.99999999999997,0,0,0,0,0,0,0,0
6,9,1.77753520111445,1.07142857142857,0,0,0,0,0,0,0,0
6,10,3.33997491618592,1.11111111111111,0,0,0,0,0,0,0,0
6,11,2.77584158666518,1.76470588235292,0,0,0,0,0,0,0,0
7,8,0.756097560975606,1.7333333333333,0,0,0,0,0,0,0,0
7,9,0.646824044317518,1.07692307692308,0,0,0,0,0,0,0,0
7,10,2.30381917034931,1.03846153846154,0,0,0,0,0,0,0,0
7,11,1.5013965015413,1.52941176470586,0,0,0,0,0,0,0,0
8,9,1.52303389116585,1.86666666666664,0,0,0,0,0,0,0,0
8,10,3.64480184631019,1.79999999999996,0,0,0,0,0,0,0,0
8,11,2.96018501322127,1.13333333333333,0,0,0,0,0,0,0,0
9,10,1.60092948208583,1.03703703703704,0,0,0,0,0,0,0,0
9,11,0.849109918868569,1.64705882352939,0,0,0,0,0,0,0,0
10,11,1.46039307512885,1.58823529411762,0,0,0,0,0,0,0,0
