id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.970307087923894,1.11111111111111,0,0,0,0,0,0,0,0
1,3,1.55533677017147,1.42222222222222,0,0,0,0,0,0,0,0
1,4,3.01363363683106,1.26666666666667,0,0,0,0,0,0,0,0
1,5,3.00755771238921,2.37777777777778,0,0,0,0,0,0,0,0
1,6,5.19729619659126,2.11111111111111,0,0,0,0,0,0,0,0
2,3,0.72047400696074,1.28,0,0,0,0,0,0,0,0
2,4,2.01249481564621,1.14,0,0,0,0,0,0,0,0
2,5,2.33645992725817,2.14,0,0,0,0,0,0,0,0
2,6,4.38258362601345,1.9,0,0,0,0,0,0,0,0
3,4,1.24363003675879,1.12280701754386,0,0,0,0,0,0,0,0
3,5,1.68333716796912,1.671875,0,0,0,0,0,0,0,0
3,6,3.55163864983576,1.484375,0,0,0,0,0,0,0,0
4,5,1.04569170797425,1.87719298245614,0,0,0,0,0,0,0,0
4,6,2.76530305202324,1.66666666666667,0,0,0,0,0,0,0,0
5,6,1.46028695682557,1.12631578947368,0,0,0,0,0,0,0,0
