id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.808731969937972,1.28,0,0,0,0,0,0,0,0
1,3,1.19715060210566,1.03225806451613,0,0,0,0,0,0,0,0
1,4,1.72455864169663,1.125,0,0,0,0,0,0,0,0
1,5,2.32453653054465,2.03125,0,0,0,0,0,0,0,0
1,6,6.42928050940499,1.84375,0,0,0,0,0,0,0,0
1,7,9.52111615791772,1.39130434782609,0,0,0,0,0,0,0,0
1,8,8.51578559220467,1.45454545454546,0,0,0,0,0,0,0,0
1,9,8.10422729197547,1.77777777777778,0,0,0,0,0,0,0,0
1,10,7.17264924042695,1.88235294117647,0,0,0,0,0,0,0,0
1,11,6.66361518344354,2.06451612903225,0,0,0,0,0,0,0,0
1,12,6.14064171187338,2.20689655172414,0,0,0,0,0,0,0,0
1,13,3.89743256698856,1.82857142857143,0,0,0,0,0,0,0,0
2,3,0.589894166398534,1.24,0,0,0,0,0,0,0,0
2,4,1.18490120375976,1.44,0,0,0,0,0,0,0,0
2,5,2.02079467316972,2.60000000000001,0,0,0,0,0,0,0,0
2,6,6.41785372004396,2.36,0,0,0,0,0,0,0,0
2,7,9.95349974220403,1.08695652173913,0,0,0,0,0,0,0,0
2,8,8.80921083659619,1.13636363636364,0,0,0,0,0,0,0,0
2,9,8.36082090002103,1.38888888888889,0,0,0,0,0,0,0,0
2,10,7.28590880537092,1.47058823529412,0,0,0,0,0,0,0,0
2,11,6.69481938627513,1.61290322580644,0,0,0,0,0,0,0,0
2,12,6.08912074471175,1.72413793103448,0,0,0,0,0,0,0,0
2,13,3.53695272827842,1.42857142857143,0,0,0,0,0,0,0,0
3,4,0.636475733140908,1.16129032258065,0,0,0,0,0,0,0,0
3,5,1.56390561775639,2.09677419354839,0,0,0,0,0,0,0,0
3,6,5.67924801577562,1.90322580645161,0,0,0,0,0,0,0,0
3,7,8.39836763158004,1.34782608695652,0,0,0,0,0,0,0,0
3,8,7.36352029360113,1.40909090909091,0,0,0,0,0,0,0,0
3,9,6.86615661212594,1.72222222222222,0,0,0,0,0,0,0,0
3,10,5.91821612633871,1.82352941176471,0,0,0,0,0,0,0,0
3,11,5.36847811673476,1.99999999999999,0,0,0,0,0,0,0,0
3,12,4.84396053129966,2.13793103448276,0,0,0,0,0,0,0,0
3,13,2.83645700870054,1.77142857142857,0,0,0,0,0,0,0,0
4,5,1.08969381233749,1.80555555555556,0,0,0,0,0,0,0,0
4,6,4.93165758517318,1.63888888888889,0,0,0,0,0,0,0,0
4,7,6.97454023097552,1.56521739130435,0,0,0,0,0,0,0,0
4,8,6.00833002809567,1.63636363636364,0,0,0,0,0,0,0,0
4,9,5.46351221344359,2,0,0,0,0,0,0,0,0
4,10,4.59216949250759,2.11764705882353,0,0,0,0,0,0,0,0
4,11,4.06485503677293,2.32258064516128,0,0,0,0,0,0,0,0
4,12,3.58909184017791,2.48275862068966,0,0,0,0,0,0,0,0
4,13,2.01249481564621,2.05714285714286,0,0,0,0,0,0,0,0
5,6,2.97178513588391,1.10169491525424,0,0,0,0,0,0,0,0
5,7,3.70343855465419,2.82608695652174,0,0,0,0,0,0,0,0
5,8,3.06830894005451,2.95454545454546,0,0,0,0,0,0,0,0
5,9,2.64387151956938,3.61111111111112,0,0,0,0,0,0,0,0
5,10,2.17310263778785,3.82352941176471,0,0,0,0,0,0,0,0
5,11,1.88501897998849,4.19354838709676,0,0,0,0,0,0,0,0
5,12,1.73339768572749,4.48275862068967,0,0,0,0,0,0,0,0
5,13,1.63553289799454,3.71428571428572,0,0,0,0,0,0,0,0
6,7,1.32911444623246,2.56521739130434,0,0,0,0,0,0,0,0
6,8,1.9166542414261,2.68181818181819,0,0,0,0,0,0,0,0
6,9,2.64709765420398,3.27777777777778,0,0,0,0,0,0,0,0
6,10,3.36303279974912,3.47058823529412,0,0,0,0,0,0,0,0
6,11,3.85289849458861,3.80645161290321,0,0,0,0,0,0,0,0
6,12,4.3442605101315,4.06896551724139,0,0,0,0,0,0,0,0
6,13,5.43794384729586,3.37142857142857,0,0,0,0,0,0,0,0
7,8,1.42655589739592,1.04545454545455,0,0,0,0,0,0,0,0
7,9,2.9148127305224,1.27777777777778,0,0,0,0,0,0,0,0
7,10,4.36343113272113,1.35294117647059,0,0,0,0,0,0,0,0
7,11,5.4357282097726,1.48387096774193,0,0,0,0,0,0,0,0
7,12,6.44789026650492,1.58620689655173,0,0,0,0,0,0,0,0
7,13,8.40391689837975,1.31428571428572,0,0,0,0,0,0,0,0
8,9,1.38315761936231,1.22222222222222,0,0,0,0,0,0,0,0
8,10,2.83054741791683,1.29411764705882,0,0,0,0,0,0,0,0
8,11,3.86889590911355,1.41935483870967,0,0,0,0,0,0,0,0
8,12,4.8665624713044,1.51724137931034,0,0,0,0,0,0,0,0
8,13,6.99307231529792,1.25714285714286,0,0,0,0,0,0,0,0
9,10,1.57382933493763,1.05882352941176,0,0,0,0,0,0,0,0
9,11,2.67980076596077,1.16129032258064,0,0,0,0,0,0,0,0
9,12,3.76319768345137,1.24137931034483,0,0,0,0,0,0,0,0
9,13,6.22286611506106,1.02857142857143,0,0,0,0,0,0,0,0
10,11,1.07736254769302,1.09677419354838,0,0,0,0,0,0,0,0
10,12,2.13549588048789,1.17241379310345,0,0,0,0,0,0,0,0
10,13,4.80681183671739,1.02941176470588,0,0,0,0,0,0,0,0
11,12,1.09188929027728,1.06896551724139,0,0,0,0,0,0,0,0
11,13,3.98046769220257,1.12903225806451,0,0,0,0,0,0,0,0
12,13,3.08272182139826,1.20689655172414,0,0,0,0,0,0,0,0
