id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.56993969769791,1.09756097560976,0,0,0,0,0,0,0,0
1,3,2.91359580232859,1.02439024390244,0,0,0,0,0,0,0,0
1,4,3.49113771351435,1.34146341463415,0,0,0,0,0,0,0,0
1,5,5.80090674215177,1.51851851851852,0,0,0,0,0,0,0,0
1,6,6.52394188943982,1.57692307692307,0,0,0,0,0,0,0,0
1,7,6.97883152871403,1.32258064516129,0,0,0,0,0,0,0,0
1,8,12.9266857160337,1.17142857142858,0,0,0,0,0,0,0,0
1,9,12.6429940272417,1.025,0,0,0,0,0,0,0,0
1,10,11.9091007307368,1.02439024390244,0,0,0,0,0,0,0,0
1,11,6.0027335370942,1.68292682926829,0,0,0,0,0,0,0,0
1,12,8.47862779842617,1.36585365853658,0,0,0,0,0,0,0,0
1,13,7.12479838311233,2.04878048780488,0,0,0,0,0,0,0,0
2,3,1.23583264880143,1.07142857142857,0,0,0,0,0,0,0,0
2,4,2.00159936051149,1.22222222222222,0,0,0,0,0,0,0,0
2,5,3.61679573929094,1.66666666666667,0,0,0,0,0,0,0,0
2,6,4.26974334039165,1.73076923076922,0,0,0,0,0,0,0,0
2,7,4.84784056789672,1.45161290322581,0,0,0,0,0,0,0,0
2,8,10.5928779139571,1.28571428571429,0,0,0,0,0,0,0,0
2,9,10.459624133984,1.125,0,0,0,0,0,0,0,0
2,10,9.81149452218593,1.07142857142857,0,0,0,0,0,0,0,0
2,11,4.6251450527527,1.53333333333333,0,0,0,0,0,0,0,0
2,12,6.81505365913034,1.24444444444444,0,0,0,0,0,0,0,0
2,13,5.86237715414849,1.86666666666666,0,0,0,0,0,0,0,0
3,4,0.974540395719297,1.30952380952381,0,0,0,0,0,0,0,0
3,5,2.21587520396676,1.55555555555555,0,0,0,0,0,0,0,0
3,6,2.87698329365541,1.61538461538461,0,0,0,0,0,0,0,0
3,7,3.57439760779143,1.35483870967742,0,0,0,0,0,0,0,0
3,8,9.62408641369997,1.20000000000001,0,0,0,0,0,0,0,0
3,9,9.54916206445644,1.05,0,0,0,0,0,0,0,0
3,10,8.91275583381974,1,0,0,0,0,0,0,0,0
3,11,3.85276039763707,1.64285714285714,0,0,0,0,0,0,0,0
3,12,5.97709253333258,1.33333333333333,0,0,0,0,0,0,0,0
3,13,5.18219936168399,2,0,0,0,0,0,0,0,0
4,5,0.809392366148543,2.03703703703703,0,0,0,0,0,0,0,0
4,6,1.32766283918037,2.11538461538461,0,0,0,0,0,0,0,0
4,7,1.9902751670738,1.7741935483871,0,0,0,0,0,0,0,0
4,8,7.19198799762798,1.57142857142858,0,0,0,0,0,0,0,0
4,9,7.25270032814409,1.375,0,0,0,0,0,0,0,0
4,10,6.74457698728238,1.3095238095238,0,0,0,0,0,0,0,0
4,11,2.69844542288929,1.25454545454545,0,0,0,0,0,0,0,0
4,12,4.42709155995455,1.01818181818182,0,0,0,0,0,0,0,0
4,13,4.01779721707201,1.52727272727273,0,0,0,0,0,0,0,0
5,6,0.806700314204979,1.03846153846154,0,0,0,0,0,0,0,0
5,7,1.86286700651112,1.14814814814814,0,0,0,0,0,0,0,0
5,8,9.51920398651805,1.29629629629629,0,0,0,0,0,0,0,0
5,9,9.44417653813204,1.48148148148148,0,0,0,0,0,0,0,0
5,10,8.7040056494539,1.55555555555556,0,0,0,0,0,0,0,0
5,11,3.07016119396758,2.55555555555555,0,0,0,0,0,0,0,0
5,12,5.34062560929701,2.07407407407407,0,0,0,0,0,0,0,0
5,13,4.58097256420057,3.1111111111111,0,0,0,0,0,0,0,0
6,7,1.14694450025832,1.19230769230769,0,0,0,0,0,0,0,0
6,8,8.99151560428685,1.34615384615383,0,0,0,0,0,0,0,0
6,9,8.95890269828798,1.53846153846154,0,0,0,0,0,0,0,0
6,10,8.23581931098436,1.61538461538461,0,0,0,0,0,0,0,0
6,11,2.76200978653983,2.65384615384614,0,0,0,0,0,0,0,0
6,12,4.94397523620704,2.15384615384614,0,0,0,0,0,0,0,0
6,13,4.26901192431192,3.23076923076921,0,0,0,0,0,0,0,0
7,8,7.33228454809381,1.12903225806451,0,0,0,0,0,0,0,0
7,9,7.42269556445439,1.29032258064517,0,0,0,0,0,0,0,0
7,10,6.80867394638911,1.35483870967743,0,0,0,0,0,0,0,0
7,11,2.1569654610123,2.22580645161291,0,0,0,0,0,0,0,0
7,12,3.98762784733697,1.80645161290323,0,0,0,0,0,0,0,0
7,13,3.55831782010611,2.70967741935484,0,0,0,0,0,0,0,0
8,9,0.599258801446515,1.14285714285715,0,0,0,0,0,0,0,0
8,10,0.770185714451051,1.20000000000001,0,0,0,0,0,0,0,0
8,11,3.35828922352971,1.97142857142858,0,0,0,0,0,0,0,0
8,12,2.12474736914375,1.6,0,0,0,0,0,0,0,0
8,13,1.13507608204296,2.40000000000001,0,0,0,0,0,0,0,0
9,10,0.68390609233219,1.05,0,0,0,0,0,0,0,0
9,11,3.52604029876805,1.725,0,0,0,0,0,0,0,0
9,12,2.32385070907224,1.39999999999999,0,0,0,0,0,0,0,0
9,13,1.2765647597549,2.09999999999999,0,0,0,0,0,0,0,0
10,11,3.05878079039794,1.64285714285714,0,0,0,0,0,0,0,0
10,12,1.78457689725251,1.33333333333333,0,0,0,0,0,0,0,0
10,13,0.849020896528022,1.99999999999999,0,0,0,0,0,0,0,0
11,12,1.32619153971061,1.23214285714286,0,0,0,0,0,0,0,0
11,13,1.53678186221499,1.21739130434782,0,0,0,0,0,0,0,0
12,13,0.495386882411421,1.5,0,0,0,0,0,0,0,0
