id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.60322310660608,1.63888888888888,0,0,0,0,0,0,0,0
1,3,1.70703878145286,2.77777777777777,0,0,0,0,0,0,0,0
1,4,3.2371503884508,1.83333333333333,0,0,0,0,0,0,0,0
1,5,3.37855727006523,3.02777777777777,0,0,0,0,0,0,0,0
1,6,4.59474716228519,1.52777777777778,0,0,0,0,0,0,0,0
1,7,5.55797408747198,1.52777777777777,0,0,0,0,0,0,0,0
1,8,7.25695278477396,1.41666666666666,0,0,0,0,0,0,0,0
1,9,7.91873905669809,1.61111111111111,0,0,0,0,0,0,0,0
2,3,1.11384695419966,1.69491525423729,0,0,0,0,0,0,0,0
2,4,2.232,1.11864406779661,0,0,0,0,0,0,0,0
2,5,2.6086712741023,1.84745762711864,0,0,0,0,0,0,0,0
2,6,3.27589008249115,1.07272727272727,0,0,0,0,0,0,0,0
2,7,4.02134387053441,1.07272727272727,0,0,0,0,0,0,0,0
2,8,5.32212751841912,1.15686274509804,0,0,0,0,0,0,0,0
2,9,5.95584846248025,1.01724137931034,0,0,0,0,0,0,0,0
3,4,0.663033843175089,1.51515151515152,0,0,0,0,0,0,0,0
3,5,1.26609054954258,1.09,0,0,0,0,0,0,0,0
3,6,1.42848966616029,1.81818181818181,0,0,0,0,0,0,0,0
3,7,1.90166146754589,1.81818181818182,0,0,0,0,0,0,0,0
3,8,2.80260018235117,1.96078431372549,0,0,0,0,0,0,0,0
3,9,3.35262072036194,1.72413793103448,0,0,0,0,0,0,0,0
4,5,0.912605599145567,1.65151515151515,0,0,0,0,0,0,0,0
4,6,0.965103854039217,1.2,0,0,0,0,0,0,0,0
4,7,1.52639952140366,1.2,0,0,0,0,0,0,0,0
4,8,2.67631936954721,1.29411764705882,0,0,0,0,0,0,0,0
4,9,3.39021553804192,1.13793103448275,0,0,0,0,0,0,0,0
5,6,0.725712228878201,1.98181818181818,0,0,0,0,0,0,0,0
5,7,0.445163713376683,1.98181818181818,0,0,0,0,0,0,0,0
5,8,1.10510180526502,2.13725490196078,0,0,0,0,0,0,0,0
5,9,1.61531316362716,1.87931034482758,0,0,0,0,0,0,0,0
6,7,0.844476462589554,1,0,0,0,0,0,0,0,0
6,8,2.01376979293187,1.07843137254902,0,0,0,0,0,0,0,0
6,9,2.90314047308579,1.05454545454545,0,0,0,0,0,0,0,0
7,8,1.21174094869138,1.07843137254902,0,0,0,0,0,0,0,0
7,9,2.11156080008415,1.05454545454546,0,0,0,0,0,0,0,0
8,9,1.0708823421953,1.13725490196079,0,0,0,0,0,0,0,0
