id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.928545195752773,1.28571428571428,0,0,0,0,0,0,0,0
1,3,1.75482192828788,1.17391304347826,0,0,0,0,0,0,0,0
1,4,2.34855987936106,1.28571428571428,0,0,0,0,0,0,0,0
1,5,4.74990468184861,1.09259259259259,0,0,0,0,0,0,0,0
1,6,4.74945779818405,1.81481481481481,0,0,0,0,0,0,0,0
1,7,3.95052297910311,3.57407407407407,0,0,0,0,0,0,0,0
2,3,1.15909090909091,1.09523809523809,0,0,0,0,0,0,0,0
2,4,1.76948978643799,1,0,0,0,0,0,0,0,0
2,5,4.5941554274704,1.4047619047619,0,0,0,0,0,0,0,0
2,6,4.65041692227916,2.33333333333333,0,0,0,0,0,0,0,0
2,7,3.83643158855141,4.59523809523809,0,0,0,0,0,0,0,0
3,4,0.5692036266531,1.09523809523809,0,0,0,0,0,0,0,0
3,5,3.46112849094613,1.28260869565217,0,0,0,0,0,0,0,0
3,6,3.81942550500355,2.1304347826087,0,0,0,0,0,0,0,0
3,7,3.35533810477834,4.19565217391304,0,0,0,0,0,0,0,0
4,5,3.12250292352165,1.4047619047619,0,0,0,0,0,0,0,0
4,6,3.58911335762435,2.33333333333333,0,0,0,0,0,0,0,0
4,7,3.20506615719212,4.59523809523809,0,0,0,0,0,0,0,0
5,6,1.19395749691619,1.66101694915255,0,0,0,0,0,0,0,0
5,7,1.74229397903966,3.27118644067797,0,0,0,0,0,0,0,0
6,7,0.88530500573374,1.96938775510204,0,0,0,0,0,0,0,0
