id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.11592744035059,1.68,0,0,0,0,0,0,0,0
1,3,2.09185540515847,1.84615384615385,0,0,0,0,0,0,0,0
1,4,2.54848020133627,1.04166666666667,0,0,0,0,0,0,0,0
1,5,2.15666369907537,3.90697674418606,0,0,0,0,0,0,0,0
1,6,4.0243627478474,2.27027027027028,0,0,0,0,0,0,0,0
1,7,4.26591473457966,2.66666666666667,0,0,0,0,0,0,0,0
2,3,1.28379055866379,1.0989010989011,0,0,0,0,0,0,0,0
2,4,2.14189226604394,1.75,0,0,0,0,0,0,0,0
2,5,1.13850792847187,2.32558139534884,0,0,0,0,0,0,0,0
2,6,3.89692891403285,1.35135135135135,0,0,0,0,0,0,0,0
2,7,4.21575968912877,1.58730158730159,0,0,0,0,0,0,0,0
3,4,1.3189007255094,1.92307692307692,0,0,0,0,0,0,0,0
3,5,1.01944231912052,2.11627906976745,0,0,0,0,0,0,0,0
3,6,2.6236754933837,1.22972972972973,0,0,0,0,0,0,0,0
3,7,2.88319000726269,1.44444444444444,0,0,0,0,0,0,0,0
4,5,2.20626942576355,4.06976744186048,0,0,0,0,0,0,0,0
4,6,0.618526050061959,2.36486486486487,0,0,0,0,0,0,0,0
4,7,0.870245057438285,2.77777777777778,0,0,0,0,0,0,0,0
5,6,4.65457404462046,1.72093023255814,0,0,0,0,0,0,0,0
5,7,5.14206332484725,1.46511627906977,0,0,0,0,0,0,0,0
6,7,0.445793619988394,1.17460317460317,0,0,0,0,0,0,0,0
