id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.09739277328424,1.24324324324324,0,0,0,0,0,0,0,0
1,3,2.4701718399661,1.36633663366336,0,0,0,0,0,0,0,0
1,4,3.38708455849302,1.79220779220779,0,0,0,0,0,0,0,0
1,5,4.09808422245008,1.64285714285714,0,0,0,0,0,0,0,0
1,6,5.44504062730024,3.83333333333333,0,0,0,0,0,0,0,0
1,7,3.95028083891512,4.75862068965516,0,0,0,0,0,0,0,0
1,8,2.37884699298491,3.45,0,0,0,0,0,0,0,0
1,9,1.36829219648862,3,0,0,0,0,0,0,0,0
1,10,1.05186489298123,3.28571428571428,0,0,0,0,0,0,0,0
1,11,1.0116357449864,4.92857142857142,0,0,0,0,0,0,0,0
1,12,0.286905568042799,2.46428571428571,0,0,0,0,0,0,0,0
1,13,1.65459637237244,1.94366197183098,0,0,0,0,0,0,0,0
2,3,1.59073501195155,1.0990099009901,0,0,0,0,0,0,0,0
2,4,2.49660815629972,1.44155844155844,0,0,0,0,0,0,0,0
2,5,3.30652732416211,1.32142857142857,0,0,0,0,0,0,0,0
2,6,4.72191664793276,3.08333333333333,0,0,0,0,0,0,0,0
2,7,2.98111402269798,3.82758620689654,0,0,0,0,0,0,0,0
2,8,1.42254677043153,2.775,0,0,0,0,0,0,0,0
2,9,1.50555788052934,2.41304347826087,0,0,0,0,0,0,0,0
2,10,1.7135903787044,2.64285714285714,0,0,0,0,0,0,0,0
2,11,2.11497332317829,3.9642857142857,0,0,0,0,0,0,0,0
2,12,1.30983147898979,1.98214285714285,0,0,0,0,0,0,0,0
2,13,0.58729555841846,1.56338028169014,0,0,0,0,0,0,0,0
3,4,0.780979706430215,1.31168831168831,0,0,0,0,0,0,0,0
3,5,1.7553840790998,1.20238095238096,0,0,0,0,0,0,0,0
3,6,2.61518698012585,2.80555555555556,0,0,0,0,0,0,0,0
3,7,0.67666078834613,3.48275862068966,0,0,0,0,0,0,0,0
3,8,1.32631698497401,2.52500000000001,0,0,0,0,0,0,0,0
3,9,2.8393355016589,2.19565217391305,0,0,0,0,0,0,0,0
3,10,3.42575985774885,2.40476190476191,0,0,0,0,0,0,0,0
3,11,4.15660765243141,3.60714285714286,0,0,0,0,0,0,0,0
3,12,3.44773722362403,1.80357142857143,0,0,0,0,0,0,0,0
3,13,1.424133811112,1.42253521126761,0,0,0,0,0,0,0,0
4,5,1.15869727530347,1.09090909090909,0,0,0,0,0,0,0,0
4,6,2.00105696872683,2.13888888888889,0,0,0,0,0,0,0,0
4,7,0.987145937626038,2.6551724137931,0,0,0,0,0,0,0,0
4,8,2.76587852391575,1.925,0,0,0,0,0,0,0,0
