id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,3.77513612923991,1.13235294117647,0,0,0,0,0,0,0,0
1,3,3.37588652482269,1.07352941176471,0,0,0,0,0,0,0,0
1,4,2.2922832693165,1.08823529411765,0,0,0,0,0,0,0,0
1,5,2.50906654734506,1.11475409836066,0,0,0,0,0,0,0,0
1,6,2.1926873426216,1.36764705882353,0,0,0,0,0,0,0,0
1,7,5.40418295471115,1.10294117647059,0,0,0,0,0,0,0,0
1,8,4.64943425165708,1.17647058823529,0,0,0,0,0,0,0,0
1,9,4.37867367794643,1.08823529411765,0,0,0,0,0,0,0,0
1,10,4.02338480713743,1.03030303030303,0,0,0,0,0,0,0,0
1,11,2.82229336798112,1.26470588235294,0,0,0,0,0,0,0,0
1,12,5.36070798333995,1.42647058823529,0,0,0,0,0,0,0,0
1,13,4.67046154291783,1.32352941176471,0,0,0,0,0,0,0,0
1,14,4.55373530086141,1.5,0,0,0,0,0,0,0,0
2,3,0.754512351713933,1.05479452054794,0,0,0,0,0,0,0,0
2,4,2.10091444332698,1.04054054054054,0,0,0,0,0,0,0,0
2,5,3.05468090057322,1.26229508196721,0,0,0,0,0,0,0,0
2,6,3.75175160936972,1.20779220779221,0,0,0,0,0,0,0,0
2,7,1.49473915863423,1.02666666666667,0,0,0,0,0,0,0,0
2,8,0.896823429320301,1.03896103896104,0,0,0,0,0,0,0,0
2,9,0.687881531103502,1.04054054054054,0,0,0,0,0,0,0,0
2,10,1.31684096445946,1.16666666666667,0,0,0,0,0,0,0,0
2,11,2.04368158566259,1.11688311688312,0,0,0,0,0,0,0,0
2,12,1.94168688824718,1.25974025974026,0,0,0,0,0,0,0,0
2,13,1.2842042986048,1.16883116883117,0,0,0,0,0,0,0,0
2,14,1.57658738717359,1.32467532467533,0,0,0,0,0,0,0,0
3,4,1.42359027924788,1.01369863013699,0,0,0,0,0,0,0,0
3,5,2.31860279325679,1.19672131147541,0,0,0,0,0,0,0,0
3,6,3.18013525970133,1.27397260273972,0,0,0,0,0,0,0,0
3,7,2.19153402950617,1.02739726027397,0,0,0,0,0,0,0,0
3,8,1.51656523004164,1.0958904109589,0,0,0,0,0,0,0,0
3,9,1.00735414206328,1.01369863013698,0,0,0,0,0,0,0,0
3,10,0.784700502173854,1.10606060606061,0,0,0,0,0,0,0,0
3,11,1.39006516385537,1.17808219178082,0,0,0,0,0,0,0,0
3,12,2.46190350300971,1.32876712328767,0,0,0,0,0,0,0,0
3,13,1.60816960929668,1.23287671232877,0,0,0,0,0,0,0,0
3,14,1.72988143984447,1.3972602739726,0,0,0,0,0,0,0,0
4,5,0.796597703508218,1.21311475409836,0,0,0,0,0,0,0,0
4,6,1.92082144451095,1.25675675675676,0,0,0,0,0,0,0,0
4,7,3.57956655174155,1.01351351351351,0,0,0,0,0,0,0,0
4,8,2.86251708255167,1.08108108108108,0,0,0,0,0,0,0,0
4,9,2.36834685743186,1,0,0,0,0,0,0,0,0
4,10,1.63413835499486,1.12121212121212,0,0,0,0,0,0,0,0
4,11,0.729752740659464,1.16216216216216,0,0,0,0,0,0,0,0
4,12,3.63466640893549,1.31081081081081,0,0,0,0,0,0,0,0
4,13,2.76715083359608,1.21621621621622,0,0,0,0,0,0,0,0
4,14,2.67464613014275,1.37837837837838,0,0,0,0,0,0,0,0
5,6,1.41249812493439,1.52459016393443,0,0,0,0,0,0,0,0
5,7,4.64510965264773,1.22950819672131,0,0,0,0,0,0,0,0
5,8,3.82354363664795,1.31147540983607,0,0,0,0,0,0,0,0
5,9,3.29170716753747,1.21311475409836,0,0,0,0,0,0,0,0
5,10,2.41475664655868,1.08196721311475,0,0,0,0,0,0,0,0
5,11,0.943594061736036,1.40983606557377,0,0,0,0,0,0,0,0
5,12,4.50634689229888,1.59016393442623,0,0,0,0,0,0,0,0
5,13,3.57044552185126,1.47540983606558,0,0,0,0,0,0,0,0
5,14,3.3351952595272,1.67213114754099,0,0,0,0,0,0,0,0
6,7,5.05455638502857,1.24,0,0,0,0,0,0,0,0
6,8,4.37327838519435,1.1625,0,0,0,0,0,0,0,0
6,9,3.95900774635361,1.25675675675676,0,0,0,0,0,0,0,0
6,10,3.26444782401922,1.40909090909091,0,0,0,0,0,0,0,0
6,11,1.90240485214537,1.08139534883721,0,0,0,0,0,0,0,0
6,12,4.87757318977446,1.04301075268817,0,0,0,0,0,0,0,0
6,13,4.10934774985041,1.03333333333333,0,0,0,0,0,0,0,0
6,14,3.83848808719387,1.09677419354839,0,0,0,0,0,0,0,0
7,8,0.597775968252826,1.06666666666667,0,0,0,0,0,0,0,0
7,9,1.27998032168109,1.01351351351351,0,0,0,0,0,0,0,0
7,10,2.43393674653068,1.13636363636364,0,0,0,0,0,0,0,0
7,11,3.23638247448605,1.14666666666667,0,0,0,0,0,0,0,0
7,12,0.744662819658046,1.29333333333333,0,0,0,0,0,0,0,0
7,13,0.9329790748384,1.2,0,0,0,0,0,0,0,0
7,14,1.31765657087709,1.36,0,0,0,0,0,0,0,0
8,9,0.656326169791858,1.08108108108108,0,0,0,0,0,0,0,0
8,10,1.74291854632123,1.21212121212121,0,0,0,0,0,0,0,0
8,11,2.59085173281067,1.075,0,0,0,0,0,0,0,0
8,12,1.11472806550631,1.2125,0,0,0,0,0,0,0,0
8,13,0.68298652126912,1.125,0,0,0,0,0,0,0,0
8,14,1.11001250549151,1.275,0,0,0,0,0,0,0,0
9,10,1.09574781099764,1.12121212121212,0,0,0,0,0,0,0,0
9,11,2.06475255781413,1.16216216216216,0,0,0,0,0,0,0,0
9,12,1.5879104491139,1.31081081081081,0,0,0,0,0,0,0,0
9,13,0.71953803178085,1.21621621621622,0,0,0,0,0,0,0,0
9,14,1.01488470317756,1.37837837837838,0,0,0,0,0,0,0,0
10,11,1.18998955394749,1.30303030303031,0,0,0,0,0,0,0,0
10,12,2.50370646240884,1.46969696969697,0,0,0,0,0,0,0,0
10,13,1.49371354169455,1.36363636363636,0,0,0,0,0,0,0,0
10,14,1.44025480392421,1.54545454545455,0,0,0,0,0,0,0,0
11,12,3.21677424407907,1.12790697674418,0,0,0,0,0,0,0,0
11,13,2.34455392548436,1.04651162790698,0,0,0,0,0,0,0,0
11,14,2.17490757310783,1.18604651162791,0,0,0,0,0,0,0,0
12,13,0.947067731110937,1.07777777777778,0,0,0,0,0,0,0,0
12,14,1.09271931627199,1.05154639175258,0,0,0,0,0,0,0,0
13,14,0.449850476701857,1.13333333333333,0,0,0,0,0,0,0,0
