id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.6602259794683,1.22988505747126,0,0,0,0,0,0,0,0
1,3,1.4821388070922,1.6551724137931,0,0,0,0,0,0,0,0
1,4,0.824486248349217,1.27586206896552,0,0,0,0,0,0,0,0
1,5,1.59875397156271,1.51724137931034,0,0,0,0,0,0,0,0
2,3,2.4857045926233,1.34579439252337,0,0,0,0,0,0,0,0
2,4,1.46596777822963,1.0373831775701,0,0,0,0,0,0,0,0
2,5,0.730062578960681,1.23364485981309,0,0,0,0,0,0,0,0
3,4,1.22268699002906,1.2972972972973,0,0,0,0,0,0,0,0
3,5,2.05570208155247,1.09090909090909,0,0,0,0,0,0,0,0
4,5,1.07296980586823,1.18918918918919,0,0,0,0,0,0,0,0
