id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.07341138734876,1.5,0,0,0,0,0,0,0,0
1,3,2.25533883235989,1.72,0,0,0,0,0,0,0,0
1,4,3.44707674539241,2.63265306122449,0,0,0,0,0,0,0,0
1,5,3.82209834052794,2.86666666666667,0,0,0,0,0,0,0,0
1,6,4.25070439007365,3.30769230769233,0,0,0,0,0,0,0,0
1,7,4.70993770798455,3.39473684210525,0,0,0,0,0,0,0,0
1,8,5.34738217021629,4.44827586206897,0,0,0,0,0,0,0,0
1,9,3.50083973546838,1.5,0,0,0,0,0,0,0,0
1,10,4.93878439180886,2.38888888888888,0,0,0,0,0,0,0,0
1,11,5.49743630787798,3.22500000000001,0,0,0,0,0,0,0,0
1,12,5.85742447562094,3.58333333333333,0,0,0,0,0,0,0,0
1,13,5.92072834142646,3.30769230769231,0,0,0,0,0,0,0,0
2,3,1.44368190051794,1.14666666666667,0,0,0,0,0,0,0,0
2,4,2.84773151121118,1.75510204081632,0,0,0,0,0,0,0,0
2,5,3.33071202021764,1.91111111111111,0,0,0,0,0,0,0,0
2,6,3.88084939156366,2.20512820512822,0,0,0,0,0,0,0,0
2,7,4.49430932815586,2.26315789473684,0,0,0,0,0,0,0,0
2,8,5.35180481191173,2.96551724137931,0,0,0,0,0,0,0,0
2,9,3.03582472268908,1,0,0,0,0,0,0,0,0
2,10,4.80771594970639,1.59259259259259,0,0,0,0,0,0,0,0
2,11,5.543172139634,2.15,0,0,0,0,0,0,0,0
2,12,6.03439594543062,2.38888888888889,0,0,0,0,0,0,0,0
2,13,6.11724382381477,2.2051282051282,0,0,0,0,0,0,0,0
3,4,1.24146409151884,1.53061224489796,0,0,0,0,0,0,0,0
3,5,1.70841463221185,1.66666666666667,0,0,0,0,0,0,0,0
3,6,2.22953743648116,1.92307692307694,0,0,0,0,0,0,0,0
3,7,2.89111130046017,1.97368421052631,0,0,0,0,0,0,0,0
3,8,3.70282206866456,2.58620689655173,0,0,0,0,0,0,0,0
3,9,1.90514218906139,1.14666666666667,0,0,0,0,0,0,0,0
3,10,3.47290282374784,1.38888888888889,0,0,0,0,0,0,0,0
3,11,4.10641988963853,1.87500000000001,0,0,0,0,0,0,0,0
3,12,4.57576072745106,2.08333333333333,0,0,0,0,0,0,0,0
3,13,4.6972435156293,1.92307692307692,0,0,0,0,0,0,0,0
4,5,0.555335452601625,1.08888888888889,0,0,0,0,0,0,0,0
4,6,1.14389549383956,1.25641025641026,0,0,0,0,0,0,0,0
4,7,1.98833963826838,1.28947368421052,0,0,0,0,0,0,0,0
4,8,2.96553177326173,1.6896551724138,0,0,0,0,0,0,0,0
4,9,1.23239314625691,1.75510204081632,0,0,0,0,0,0,0,0
4,10,2.86777776461008,1.10204081632653,0,0,0,0,0,0,0,0
4,11,3.58434010708839,1.225,0,0,0,0,0,0,0,0
4,12,4.16507143626662,1.36111111111111,0,0,0,0,0,0,0,0
4,13,4.33574478622066,1.25641025641026,0,0,0,0,0,0,0,0
5,6,0.58636239790594,1.15384615384616,0,0,0,0,0,0,0,0
5,7,1.46755692463465,1.18421052631578,0,0,0,0,0,0,0,0
5,8,2.43550856542171,1.55172413793103,0,0,0,0,0,0,0,0
5,9,1.0421175431956,1.91111111111111,0,0,0,0,0,0,0,0
5,10,2.50710652022704,1.2,0,0,0,0,0,0,0,0
5,11,3.18517326368962,1.125,0,0,0,0,0,0,0,0
5,12,3.75473079636175,1.25,0,0,0,0,0,0,0,0
5,13,3.94074592660449,1.15384615384615,0,0,0,0,0,0,0,0
6,7,0.942341814736197,1.02631578947368,0,0,0,0,0,0,0,0
6,8,1.92618992118035,1.34482758620689,0,0,0,0,0,0,0,0
6,9,0.887278986565107,2.20512820512822,0,0,0,0,0,0,0,0
6,10,2.15732798935346,1.38461538461539,0,0,0,0,0,0,0,0
6,11,2.81531053379525,1.02564102564103,0,0,0,0,0,0,0,0
6,12,3.40041827492509,1.08333333333333,0,0,0,0,0,0,0,0
6,13,3.61261031944827,1.00000000000001,0,0,0,0,0,0,0,0
7,8,0.871953532476328,1.31034482758621,0,0,0,0,0,0,0,0
7,9,0.888854563448699,2.26315789473684,0,0,0,0,0,0,0,0
7,10,1.45156521999588,1.42105263157895,0,0,0,0,0,0,0,0
7,11,1.95935860105996,1.05263157894736,0,0,0,0,0,0,0,0
7,12,2.47389585497081,1.05555555555556,0,0,0,0,0,0,0,0
7,13,2.7187560279816,1.02631578947368,0,0,0,0,0,0,0,0
8,9,1.21816745444538,2.96551724137931,0,0,0,0,0,0,0,0
8,10,1.0367748153333,1.86206896551725,0,0,0,0,0,0,0,0
8,11,1.44651911820628,1.37931034482758,0,0,0,0,0,0,0,0
8,12,1.93191813809687,1.24137931034483,0,0,0,0,0,0,0,0
8,13,2.22180527614845,1.3448275862069,0,0,0,0,0,0,0,0
9,10,1.13681438184759,1.59259259259259,0,0,0,0,0,0,0,0
9,11,1.47876972147148,2.15,0,0,0,0,0,0,0,0
9,12,1.88050008501444,2.38888888888889,0,0,0,0,0,0,0,0
9,13,2.08247545003536,2.2051282051282,0,0,0,0,0,0,0,0
10,11,0.290369022637365,1.35,0,0,0,0,0,0,0,0
10,12,0.795667279554139,1.5,0,0,0,0,0,0,0,0
10,13,1.10376226241105,1.38461538461539,0,0,0,0,0,0,0,0
11,12,0.587997446618535,1.11111111111111,0,0,0,0,0,0,0,0
11,13,0.957015603617003,1.02564102564102,0,0,0,0,0,0,0,0
12,13,0.414192655120242,1.08333333333333,0,0,0,0,0,0,0,0
