id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.75017856231871,1.35294117647059,0,0,0,0,0,0,0,0
1,3,3.54360413414241,1.21052631578948,0,0,0,0,0,0,0,0
1,4,4.54961832061069,1.11290322580645,0,0,0,0,0,0,0,0
1,5,4.69320070021515,1.31884057971014,0,0,0,0,0,0,0,0
1,6,6.18415390229463,1.23188405797102,0,0,0,0,0,0,0,0
2,3,2.19153190059615,1.11764705882353,0,0,0,0,0,0,0,0
2,4,3.41603237039863,1.2156862745098,0,0,0,0,0,0,0,0
2,5,3.8132355973749,1.7843137254902,0,0,0,0,0,0,0,0
2,6,5.46546645122003,1.66666666666667,0,0,0,0,0,0,0,0
3,4,1.27279719946531,1.08771929824561,0,0,0,0,0,0,0,0
3,5,2.0911043283171,1.59649122807018,0,0,0,0,0,0,0,0
3,6,3.60299198993115,1.49122807017544,0,0,0,0,0,0,0,0
4,5,1.03517940210821,1.46774193548387,0,0,0,0,0,0,0,0
4,6,2.45091571237064,1.37096774193549,0,0,0,0,0,0,0,0
5,6,1.14907661455436,1.07058823529412,0,0,0,0,0,0,0,0
