id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.56176635669122,1.7936507936508,0,0,0,0,0,0,0,0
1,3,2.09882725019609,1.50666666666667,0,0,0,0,0,0,0,0
1,4,3.06287477191787,1.73846153846154,0,0,0,0,0,0,0,0
1,5,2.60785905772924,1.88333333333333,0,0,0,0,0,0,0,0
1,6,3.51986505423148,1.29885057471264,0,0,0,0,0,0,0,0
1,7,4.35832636232712,1.43037974683544,0,0,0,0,0,0,0,0
1,8,5.285151868101,1.39506172839506,0,0,0,0,0,0,0,0
2,3,0.978368217405942,1.19047619047619,0,0,0,0,0,0,0,0
2,4,2.32896377507788,1.03174603174603,0,0,0,0,0,0,0,0
2,5,2.16059874242574,1.05,0,0,0,0,0,0,0,0
2,6,3.01067729552301,1.38095238095239,0,0,0,0,0,0,0,0
2,7,4.14291650785211,1.25396825396825,0,0,0,0,0,0,0,0
2,8,5.40837149732583,1.28571428571429,0,0,0,0,0,0,0,0
3,4,1.16647471695966,1.15384615384615,0,0,0,0,0,0,0,0
3,5,1.26026103943475,1.25,0,0,0,0,0,0,0,0
3,6,1.95710166153428,1.16,0,0,0,0,0,0,0,0
3,7,2.94488215652807,1.05333333333334,0,0,0,0,0,0,0,0
3,8,4.12834945598956,1.08,0,0,0,0,0,0,0,0
4,5,1.23161032798528,1.08333333333333,0,0,0,0,0,0,0,0
4,6,1.04478987005818,1.33846153846155,0,0,0,0,0,0,0,0
4,7,2.03331151324055,1.21538461538462,0,0,0,0,0,0,0,0
4,8,3.30731857618579,1.24615384615385,0,0,0,0,0,0,0,0
5,6,1.96970201809205,1.45,0,0,0,0,0,0,0,0
5,7,2.92136828040921,1.31666666666667,0,0,0,0,0,0,0,0
5,8,4.16104192552062,1.35,0,0,0,0,0,0,0,0
6,7,0.825323190279669,1.10126582278481,0,0,0,0,0,0,0,0
6,8,1.94847533277919,1.07407407407408,0,0,0,0,0,0,0,0
7,8,1.19071932041099,1.0253164556962,0,0,0,0,0,0,0,0
