id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,3.94226476105817,1.0952380952381,0,0,0,0,0,0,0,0
1,3,4.49823918067649,1.04347826086956,0,0,0,0,0,0,0,0
1,4,6.35557446331262,1.43750000000001,0,0,0,0,0,0,0,0
1,5,5.48219448404985,1.2608695652174,0,0,0,0,0,0,0,0
1,6,9.31269707136317,2.87500000000001,0,0,0,0,0,0,0,0
1,7,8.35717390872238,1.27777777777777,0,0,0,0,0,0,0,0
1,8,7.99740534868964,1.02173913043478,0,0,0,0,0,0,0,0
1,9,6.49224274647022,2.02173913043478,0,0,0,0,0,0,0,0
1,10,8.02141176390374,1.76086956521739,0,0,0,0,0,0,0,0
2,3,0.846197011762657,1.14285714285714,0,0,0,0,0,0,0,0
2,4,2.02702702702703,1.3125,0,0,0,0,0,0,0,0
2,5,2.23257698635455,1.38095238095239,0,0,0,0,0,0,0,0
2,6,4.02256565922281,2.62500000000001,0,0,0,0,0,0,0,0
2,7,4.37367430839905,1.16666666666666,0,0,0,0,0,0,0,0
2,8,4.46394185917623,1.11904761904762,0,0,0,0,0,0,0,0
2,9,4.11522650205761,2.21428571428572,0,0,0,0,0,0,0,0
2,10,5.46260398554225,1.92857142857143,0,0,0,0,0,0,0,0
3,4,0.976281209488334,1.5,0,0,0,0,0,0,0,0
3,5,1.39022166187084,1.20833333333334,0,0,0,0,0,0,0,0
3,6,2.52820998003034,3.00000000000001,0,0,0,0,0,0,0,0
3,7,3.19600178936772,1.33333333333332,0,0,0,0,0,0,0,0
3,8,3.39267583294945,1.02127659574468,0,0,0,0,0,0,0,0
3,9,3.40379725050555,1.93750000000001,0,0,0,0,0,0,0,0
3,10,4.62276862759405,1.6875,0,0,0,0,0,0,0,0
4,5,0.884991455632884,1.81250000000001,0,0,0,0,0,0,0,0
4,6,1.74714548939438,2,0,0,0,0,0,0,0,0
4,7,2.81267060228442,1.12500000000001,0,0,0,0,0,0,0,0
4,8,3.14015911427091,1.46875000000001,0,0,0,0,0,0,0,0
4,9,3.25789625371957,2.90625000000001,0,0,0,0,0,0,0,0
4,10,4.63103356975432,2.53125000000001,0,0,0,0,0,0,0,0
5,6,0.698140073139971,3.62500000000003,0,0,0,0,0,0,0,0
5,7,1.38481874321579,1.61111111111111,0,0,0,0,0,0,0,0
5,8,1.67716421932799,1.23404255319149,0,0,0,0,0,0,0,0
5,9,2.20292018258011,1.60344827586207,0,0,0,0,0,0,0,0
5,10,3.23067244533472,1.39655172413793,0,0,0,0,0,0,0,0
6,7,2.07727917175242,2.25000000000002,0,0,0,0,0,0,0,0
6,8,2.67990854339424,2.93750000000002,0,0,0,0,0,0,0,0
6,9,3.01516800713826,5.81250000000003,0,0,0,0,0,0,0,0
6,10,4.57579848413987,5.06250000000002,0,0,0,0,0,0,0,0
7,8,0.833766278399801,1.30555555555555,0,0,0,0,0,0,0,0
7,9,1.74480609133978,2.58333333333332,0,0,0,0,0,0,0,0
7,10,2.89284359869191,2.24999999999999,0,0,0,0,0,0,0,0
8,9,1.14165114940544,1.97872340425532,0,0,0,0,0,0,0,0
8,10,2.15151767836392,1.72340425531914,0,0,0,0,0,0,0,0
9,10,0.669139290934614,1.14814814814815,0,0,0,0,0,0,0,0
