id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.803991565911322,1.0241935483871,0,0,0,0,0,0,0,0
1,3,2.10734335123634,1.01612903225807,0,0,0,0,0,0,0,0
1,4,3.90990473816676,1.85074626865671,0,0,0,0,0,0,0,0
1,5,3.81609387742493,1.10483870967742,0,0,0,0,0,0,0,0
1,6,3.72350847906586,1.26612903225806,0,0,0,0,0,0,0,0
2,3,1.28506527962252,1.00793650793651,0,0,0,0,0,0,0,0
2,4,3.04566338738075,1.8955223880597,0,0,0,0,0,0,0,0
2,5,3.06419728177455,1.07874015748031,0,0,0,0,0,0,0,0
2,6,2.98943454602692,1.23622047244095,0,0,0,0,0,0,0,0
3,4,2.16340944155819,1.88059701492537,0,0,0,0,0,0,0,0
3,5,1.98995947216598,1.08730158730159,0,0,0,0,0,0,0,0
3,6,1.88704490035816,1.24603174603174,0,0,0,0,0,0,0,0
4,5,1.61931731952538,2.04477611940298,0,0,0,0,0,0,0,0
4,6,2.08023259896972,2.34328358208955,0,0,0,0,0,0,0,0
5,6,0.562665640895137,1.14598540145985,0,0,0,0,0,0,0,0
