id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.45513920335145,1.38372093023256,0,0,0,0,0,0,0,0
1,3,1.89127822232048,1.56976744186046,0,0,0,0,0,0,0,0
1,4,0.894897715889633,1.075,0,0,0,0,0,0,0,0
1,5,1.97993074107704,1.33720930232558,0,0,0,0,0,0,0,0
1,6,2.66046300373174,1.80232558139535,0,0,0,0,0,0,0,0
2,3,0.479345866306281,1.1344537815126,0,0,0,0,0,0,0,0
2,4,1.85865125297617,1.4875,0,0,0,0,0,0,0,0
2,5,2.69236195848173,1.03478260869565,0,0,0,0,0,0,0,0
2,6,3.12125954949958,1.30252100840336,0,0,0,0,0,0,0,0
3,4,2.20738227460029,1.6875,0,0,0,0,0,0,0,0
3,5,2.90047168577802,1.17391304347826,0,0,0,0,0,0,0,0
3,6,3.2387406721592,1.14814814814815,0,0,0,0,0,0,0,0
4,5,1.36580768695242,1.4375,0,0,0,0,0,0,0,0
4,6,2.14682854301853,1.9375,0,0,0,0,0,0,0,0
5,6,0.902746913052634,1.34782608695652,0,0,0,0,0,0,0,0
