id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.64589474603799,1.04411764705882,0,0,0,0,0,0,0,0
1,3,2.67658209430997,1.09859154929578,0,0,0,0,0,0,0,0
1,4,2.15359394042802,1.07575757575758,0,0,0,0,0,0,0,0
1,5,3.48564473781842,1.24561403508772,0,0,0,0,0,0,0,0
1,6,3.67134472887872,1.14516129032258,0,0,0,0,0,0,0,0
1,7,3.06752500272745,1.04411764705882,0,0,0,0,0,0,0,0
1,8,3.01064070855267,1.91891891891892,0,0,0,0,0,0,0,0
1,9,2.16475872893372,1.47916666666667,0,0,0,0,0,0,0,0
2,3,1.58232520341193,1.14705882352941,0,0,0,0,0,0,0,0
2,4,0.865478619756955,1.03030303030303,0,0,0,0,0,0,0,0
2,5,2.30567994309704,1.19298245614035,0,0,0,0,0,0,0,0
2,6,4.49916494553162,1.09677419354839,0,0,0,0,0,0,0,0
2,7,3.77251745864463,1,0,0,0,0,0,0,0,0
2,8,3.90195020720423,1.83783783783784,0,0,0,0,0,0,0,0
2,9,2.80575307132776,1.41666666666667,0,0,0,0,0,0,0,0
3,4,0.809854429839624,1.18181818181818,0,0,0,0,0,0,0,0
3,5,0.42636048684913,1.36842105263158,0,0,0,0,0,0,0,0
3,6,5.82277372714679,1.25806451612903,0,0,0,0,0,0,0,0
3,7,5.09318771310053,1.14705882352941,0,0,0,0,0,0,0,0
3,8,5.56100383969512,2.10810810810811,0,0,0,0,0,0,0,0
3,9,4.4066205144964,1.625,0,0,0,0,0,0,0,0
4,5,1.40687997232429,1.1578947368421,0,0,0,0,0,0,0,0
4,6,5.45885265102705,1.06451612903226,0,0,0,0,0,0,0,0
4,7,4.68103223875111,1.03030303030303,0,0,0,0,0,0,0,0
4,8,5.07747498187195,1.78378378378378,0,0,0,0,0,0,0,0
4,9,3.84835868568861,1.375,0,0,0,0,0,0,0,0
5,6,7.32557693261521,1.08771929824561,0,0,0,0,0,0,0,0
5,7,6.40241954264167,1.19298245614035,0,0,0,0,0,0,0,0
5,8,7.40352925028944,1.54054054054054,0,0,0,0,0,0,0,0
5,9,5.82559837028627,1.1875,0,0,0,0,0,0,0,0
6,7,0.556670150811711,1.09677419354839,0,0,0,0,0,0,0,0
6,8,1.77777777777778,1.67567567567568,0,0,0,0,0,0,0,0
6,9,2.36449285181431,1.29166666666667,0,0,0,0,0,0,0,0
7,8,1.0088497300281,1.83783783783784,0,0,0,0,0,0,0,0
7,9,1.630427458668,1.41666666666667,0,0,0,0,0,0,0,0
8,9,0.991660730018189,1.2972972972973,0,0,0,0,0,0,0,0
