id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.439637634876724,1.58064516129032,0,0,0,0,0,0,0,0
1,3,1.05233229721556,1.55555555555556,0,0,0,0,0,0,0,0
1,4,1.95692094781427,1.58163265306122,0,0,0,0,0,0,0,0
1,5,3.72133580748149,2.64864864864865,0,0,0,0,0,0,0,0
1,6,5.77563071501719,3.26666666666666,0,0,0,0,0,0,0,0
1,7,3.52644214347523,1.43877551020408,0,0,0,0,0,0,0,0
1,8,4.60439898518719,1.12244897959184,0,0,0,0,0,0,0,0
1,9,7.03290221822146,1.75,0,0,0,0,0,0,0,0
1,10,6.07926453664776,1.05376344086022,0,0,0,0,0,0,0,0
2,3,0.944847077573931,1.01612903225806,0,0,0,0,0,0,0,0
2,4,2.31544236237374,2.5,0,0,0,0,0,0,0,0
2,5,4.74100138937586,1.67567567567568,0,0,0,0,0,0,0,0
2,6,7.66984742653422,2.06666666666666,0,0,0,0,0,0,0,0
2,7,4.12073897485053,2.27419354838709,0,0,0,0,0,0,0,0
2,8,5.49332772919038,1.7741935483871,0,0,0,0,0,0,0,0
2,9,8.93997507077149,1.10714285714286,0,0,0,0,0,0,0,0
2,10,7.38124574592301,1.5,0,0,0,0,0,0,0,0
3,4,1.96891079355747,2.46031746031746,0,0,0,0,0,0,0,0
3,5,3.54633613748049,1.7027027027027,0,0,0,0,0,0,0,0
3,6,6.34088674571098,2.09999999999999,0,0,0,0,0,0,0,0
3,7,3.63138366576031,2.23809523809524,0,0,0,0,0,0,0,0
3,8,4.86767326778058,1.74603174603175,0,0,0,0,0,0,0,0
3,9,7.90704505398641,1.125,0,0,0,0,0,0,0,0
3,10,6.6485762936446,1.47619047619048,0,0,0,0,0,0,0,0
4,5,1.50044300460545,4.18918918918919,0,0,0,0,0,0,0,0
4,6,2.27731853134486,5.16666666666665,0,0,0,0,0,0,0,0
4,7,1.22900557829012,1.09929078014184,0,0,0,0,0,0,0,0
4,8,1.86601770407242,1.40909090909091,0,0,0,0,0,0,0,0
4,9,3.23138305323552,2.76785714285715,0,0,0,0,0,0,0,0
4,10,2.84521455037561,1.66666666666667,0,0,0,0,0,0,0,0
5,6,3.53709300906525,1.23333333333333,0,0,0,0,0,0,0,0
5,7,2.44578250032254,3.81081081081081,0,0,0,0,0,0,0,0
5,8,3.46671899489548,2.97297297297298,0,0,0,0,0,0,0,0
5,9,6.30441395639315,1.51351351351351,0,0,0,0,0,0,0,0
5,10,5.32121465868339,2.51351351351351,0,0,0,0,0,0,0,0
6,7,1.97315349156512,4.69999999999998,0,0,0,0,0,0,0,0
6,8,2.47495619421138,3.66666666666666,0,0,0,0,0,0,0,0
6,9,4.12923332769254,1.86666666666666,0,0,0,0,0,0,0,0
6,10,3.97248285097896,3.09999999999999,0,0,0,0,0,0,0,0
7,8,0.556928792437913,1.28181818181818,0,0,0,0,0,0,0,0
7,9,1.93198396333397,2.51785714285715,0,0,0,0,0,0,0,0
7,10,1.48807567063933,1.51612903225806,0,0,0,0,0,0,0,0
8,9,1.55253481409021,1.96428571428572,0,0,0,0,0,0,0,0
8,10,1.04080871346944,1.18279569892473,0,0,0,0,0,0,0,0
9,10,1.36320934358127,1.66071428571429,0,0,0,0,0,0,0,0
