id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.50645697155015,1.5483870967742,0,0,0,0,0,0,0,0
1,3,1.08815872686784,1.51612903225807,0,0,0,0,0,0,0,0
1,4,1.31662621767892,1.7741935483871,0,0,0,0,0,0,0,0
1,5,3.02373300179416,2.16129032258065,0,0,0,0,0,0,0,0
1,6,5.14608091272675,2.5483870967742,0,0,0,0,0,0,0,0
1,7,5.45294342661731,2.09677419354839,0,0,0,0,0,0,0,0
1,8,3.56105602845661,1.96774193548388,0,0,0,0,0,0,0,0
1,9,2.18741507203216,2.45161290322581,0,0,0,0,0,0,0,0
1,10,2.34260642832909,2.96774193548388,0,0,0,0,0,0,0,0
1,11,4.53301925293015,3.48387096774195,0,0,0,0,0,0,0,0
2,3,1.41303782690946,1.02127659574468,0,0,0,0,0,0,0,0
2,4,2.44893170012222,1.14583333333333,0,0,0,0,0,0,0,0
2,5,4.02078719638816,1.39583333333333,0,0,0,0,0,0,0,0
2,6,5.75479054659928,1.64583333333333,0,0,0,0,0,0,0,0
2,7,2.9019263061488,1.35416666666667,0,0,0,0,0,0,0,0
2,8,1.21104392499487,1.27083333333333,0,0,0,0,0,0,0,0
2,9,0.713379274715893,1.58333333333333,0,0,0,0,0,0,0,0
2,10,2.79077379365418,1.91666666666667,0,0,0,0,0,0,0,0
2,11,4.92548435394662,2.25,0,0,0,0,0,0,0,0
3,4,1.17176345906435,1.17021276595744,0,0,0,0,0,0,0,0
3,5,2.88692459914012,1.42553191489361,0,0,0,0,0,0,0,0
3,6,4.75222561271289,1.68085106382978,0,0,0,0,0,0,0,0
3,7,4.11732046434601,1.38297872340425,0,0,0,0,0,0,0,0
3,8,2.35820445633696,1.29787234042553,0,0,0,0,0,0,0,0
3,9,1.23162011014364,1.61702127659574,0,0,0,0,0,0,0,0
3,10,1.98343379693674,1.95744680851063,0,0,0,0,0,0,0,0
3,11,4.15628606327214,2.29787234042553,0,0,0,0,0,0,0,0
4,5,1.7225600467775,1.21818181818182,0,0,0,0,0,0,0,0
4,6,3.57680736162928,1.43636363636364,0,0,0,0,0,0,0,0
4,7,4.79774976189649,1.18181818181818,0,0,0,0,0,0,0,0
4,8,3.13454250540531,1.10909090909091,0,0,0,0,0,0,0,0
4,9,1.89263721738159,1.38181818181818,0,0,0,0,0,0,0,0
4,10,1.18991240294347,1.67272727272727,0,0,0,0,0,0,0,0
4,11,3.23853170756619,1.96363636363637,0,0,0,0,0,0,0,0
5,6,1.85515313908318,1.17910447761194,0,0,0,0,0,0,0,0
5,7,5.94295367196376,1.03076923076923,0,0,0,0,0,0,0,0
5,8,4.45524894524004,1.0983606557377,0,0,0,0,0,0,0,0
5,9,3.15492360613311,1.13432835820896,0,0,0,0,0,0,0,0
5,10,1.02158191216337,1.37313432835821,0,0,0,0,0,0,0,0
5,11,1.95085747761316,1.61194029850747,0,0,0,0,0,0,0,0
6,7,7.277989818794,1.21538461538462,0,0,0,0,0,0,0,0
6,8,5.94296445644867,1.29508196721311,0,0,0,0,0,0,0,0
6,9,4.58775005556324,1.03947368421053,0,0,0,0,0,0,0,0
6,10,2.17563509142141,1.16455696202532,0,0,0,0,0,0,0,0
6,11,0.797939093821808,1.36708860759494,0,0,0,0,0,0,0,0
7,8,1.71738769907797,1.0655737704918,0,0,0,0,0,0,0,0
7,9,2.39427624229332,1.16923076923077,0,0,0,0,0,0,0,0
7,10,4.38005892925904,1.41538461538462,0,0,0,0,0,0,0,0
7,11,6.17113952301054,1.66153846153846,0,0,0,0,0,0,0,0
8,9,0.884688395686171,1.24590163934426,0,0,0,0,0,0,0,0
8,10,3.0835407136774,1.50819672131148,0,0,0,0,0,0,0,0
8,11,5.04292002023139,1.77049180327869,0,0,0,0,0,0,0,0
9,10,2.09026059198455,1.21052631578947,0,0,0,0,0,0,0,0
9,11,3.97791189963848,1.42105263157895,0,0,0,0,0,0,0,0
10,11,1.90432402705002,1.17391304347826,0,0,0,0,0,0,0,0
