id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.53388475122226,1.57142857142857,0,0,0,0,0,0,0,0
1,3,5.10553621082057,1.04081632653061,0,0,0,0,0,0,0,0
1,4,2.2694688181873,2.04081632653062,0,0,0,0,0,0,0,0
1,5,6.31901579962802,1.02083333333333,0,0,0,0,0,0,0,0
1,6,3.35024727971333,2.08163265306123,0,0,0,0,0,0,0,0
1,7,5.57391251991666,1.73469387755102,0,0,0,0,0,0,0,0
2,3,6.19621387673554,1.50980392156863,0,0,0,0,0,0,0,0
2,4,0.686969408797306,1.2987012987013,0,0,0,0,0,0,0,0
2,5,7.01932418399378,1.60416666666666,0,0,0,0,0,0,0,0
2,6,1.36446724258614,1.32467532467532,0,0,0,0,0,0,0,0
2,7,6.17112630547029,1.1038961038961,0,0,0,0,0,0,0,0
3,4,4.98596336821476,1.9607843137255,0,0,0,0,0,0,0,0
3,5,1.21724506254559,1.0625,0,0,0,0,0,0,0,0
3,6,5.81613050806889,2,0,0,0,0,0,0,0,0
3,7,1.89050681127052,1.66666666666667,0,0,0,0,0,0,0,0
4,5,5.57076872679621,2.08333333333333,0,0,0,0,0,0,0,0
4,6,0.832213409472588,1.02,0,0,0,0,0,0,0,0
4,7,5.07202182619568,1.17647058823529,0,0,0,0,0,0,0,0
5,6,6.32617490185727,2.12499999999999,0,0,0,0,0,0,0,0
5,7,1.0393632077691,1.77083333333333,0,0,0,0,0,0,0,0
6,7,5.62550578240251,1.2,0,0,0,0,0,0,0,0
