id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.35547358910655,2.41935483870967,0,0,0,0,0,0,0,0
1,3,1.46537837326355,4.4516129032258,0,0,0,0,0,0,0,0
1,4,5.75441270853862,1.1923076923077,0,0,0,0,0,0,0,0
1,5,6.884846484208,1.06896551724139,0,0,0,0,0,0,0,0
1,6,8.0329156887159,1.16129032258064,0,0,0,0,0,0,0,0
1,7,9.150345547907,1.29032258064516,0,0,0,0,0,0,0,0
1,8,3.42213716258481,4.06451612903225,0,0,0,0,0,0,0,0
1,9,5.22571022324029,3.19354838709677,0,0,0,0,0,0,0,0
1,10,6.9606557377623,2.74193548387096,0,0,0,0,0,0,0,0
1,11,10.6782134060193,1.67741935483871,0,0,0,0,0,0,0,0
2,3,0.646081718846416,1.84,0,0,0,0,0,0,0,0
2,4,4.44466241881802,2.88461538461539,0,0,0,0,0,0,0,0
2,5,5.07138392465436,2.58620689655173,0,0,0,0,0,0,0,0
2,6,5.86705097574726,2.08333333333333,0,0,0,0,0,0,0,0
2,7,6.59383340261178,1.87499999999999,0,0,0,0,0,0,0,0
2,8,2.95934600361125,1.68,0,0,0,0,0,0,0,0
2,9,4.39658553063405,1.32,0,0,0,0,0,0,0,0
2,10,5.66950794271425,1.13333333333333,0,0,0,0,0,0,0,0
2,11,7.79314772516876,1.44230769230769,0,0,0,0,0,0,0,0
3,4,2.94585407251238,5.30769230769231,0,0,0,0,0,0,0,0
3,5,3.27939313061157,4.75862068965519,0,0,0,0,0,0,0,0
3,6,3.81644247801584,3.83333333333333,0,0,0,0,0,0,0,0
3,7,4.2784836443727,3.44999999999999,0,0,0,0,0,0,0,0
3,8,2.0736448272559,1.0952380952381,0,0,0,0,0,0,0,0
3,9,3.12237427298636,1.39393939393939,0,0,0,0,0,0,0,0
3,10,4.01411423266141,1.62352941176471,0,0,0,0,0,0,0,0
3,11,5.163200815316,2.65384615384616,0,0,0,0,0,0,0,0
4,5,1.61572847731192,1.11538461538461,0,0,0,0,0,0,0,0
4,6,3.41790900655754,1.38461538461539,0,0,0,0,0,0,0,0
4,7,4.92710872290326,1.53846153846154,0,0,0,0,0,0,0,0
4,8,2.13216772245429,4.84615384615385,0,0,0,0,0,0,0,0
4,9,3.07916871898894,3.80769230769231,0,0,0,0,0,0,0,0
4,10,4.40453021023348,3.26923076923077,0,0,0,0,0,0,0,0
4,11,7.22433337879115,2,0,0,0,0,0,0,0,0
5,6,1.92529103309868,1.24137931034483,0,0,0,0,0,0,0,0
5,7,3.438083169299,1.3793103448276,0,0,0,0,0,0,0,0
5,8,1.77901982857647,4.34482758620691,0,0,0,0,0,0,0,0
5,9,2.34980987429037,3.41379310344829,0,0,0,0,0,0,0,0
5,10,3.50926531618841,2.93103448275863,0,0,0,0,0,0,0,0
5,11,5.86684800401461,1.79310344827587,0,0,0,0,0,0,0,0
6,7,1.4984987871061,1.11111111111111,0,0,0,0,0,0,0,0
6,8,1.75312988991488,3.5,0,0,0,0,0,0,0,0
6,9,1.59795823085104,2.75,0,0,0,0,0,0,0,0
6,10,2.32276987379718,2.36111111111111,0,0,0,0,0,0,0,0
6,11,4.00258181140933,1.44444444444444,0,0,0,0,0,0,0,0
7,8,1.87071230368351,3.14999999999999,0,0,0,0,0,0,0,0
7,9,1.12287847220915,2.47499999999999,0,0,0,0,0,0,0,0
7,10,1.35050805254911,2.12499999999999,0,0,0,0,0,0,0,0
7,11,2.59147395126318,1.29999999999999,0,0,0,0,0,0,0,0
8,9,0.94745924046667,1.27272727272727,0,0,0,0,0,0,0,0
8,10,1.80844038841215,1.48235294117647,0,0,0,0,0,0,0,0
8,11,2.63106148441669,2.42307692307692,0,0,0,0,0,0,0,0
9,10,0.916417807200131,1.16470588235294,0,0,0,0,0,0,0,0
9,11,1.68978022866126,1.90384615384616,0,0,0,0,0,0,0,0
10,11,0.637673858915083,1.63461538461538,0,0,0,0,0,0,0,0
