id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.33926898848273,1.33333333333333,0,0,0,0,0,0,0,0
1,3,2.46614675554499,1.72549019607843,0,0,0,0,0,0,0,0
1,4,3.09182146961949,2.37837837837838,0,0,0,0,0,0,0,0
1,5,3.83347825813002,2.75,0,0,0,0,0,0,0,0
1,6,4.81077638519166,2.66666666666666,0,0,0,0,0,0,0,0
1,7,5.85021424553187,2.58823529411765,0,0,0,0,0,0,0,0
1,8,6.54459798071651,3.03448275862069,0,0,0,0,0,0,0,0
1,9,6.62018013407731,1.95555555555556,0,0,0,0,0,0,0,0
1,10,8.07679853383833,2.09523809523809,0,0,0,0,0,0,0,0
2,3,1.16722224647416,1.29411764705883,0,0,0,0,0,0,0,0
2,4,1.78389967454071,1.78378378378378,0,0,0,0,0,0,0,0
2,5,2.59709413752826,2.06250000000001,0,0,0,0,0,0,0,0
2,6,3.79729469427967,2,0,0,0,0,0,0,0,0
2,7,5.09333878708259,1.94117647058824,0,0,0,0,0,0,0,0
2,8,5.88941489082172,2.27586206896552,0,0,0,0,0,0,0,0
2,9,6.10309661801854,1.46666666666667,0,0,0,0,0,0,0,0
2,10,7.85957865794242,1.57142857142857,0,0,0,0,0,0,0,0
3,4,0.746980837706582,1.37837837837838,0,0,0,0,0,0,0,0
3,5,1.45319385863273,1.59375,0,0,0,0,0,0,0,0
3,6,2.84981699694906,1.54545454545454,0,0,0,0,0,0,0,0
3,7,4.40636532340679,1.5,0,0,0,0,0,0,0,0
3,8,5.28831258531491,1.75862068965517,0,0,0,0,0,0,0,0
3,9,5.66306564503715,1.13333333333333,0,0,0,0,0,0,0,0
3,10,7.70368387776087,1.21428571428571,0,0,0,0,0,0,0,0
4,5,1.1342373798912,1.15625,0,0,0,0,0,0,0,0
4,6,2.96991719804867,1.12121212121212,0,0,0,0,0,0,0,0
4,7,4.93761919519947,1.08823529411765,0,0,0,0,0,0,0,0
4,8,5.82190931732654,1.27586206896552,0,0,0,0,0,0,0,0
4,9,6.34621069961457,1.21621621621621,0,0,0,0,0,0,0,0
4,10,8.79867034863004,1.13513513513513,0,0,0,0,0,0,0,0
5,6,1.99626870871545,1.03125,0,0,0,0,0,0,0,0
5,7,4.13736251675405,1.0625,0,0,0,0,0,0,0,0
5,8,5.03521594608981,1.10344827586207,0,0,0,0,0,0,0,0
5,9,5.74871563823521,1.40625,0,0,0,0,0,0,0,0
5,10,8.3446793955643,1.3125,0,0,0,0,0,0,0,0
6,7,2.15256792565014,1.03030303030303,0,0,0,0,0,0,0,0
6,8,2.98509129361523,1.13793103448276,0,0,0,0,0,0,0,0
6,9,4.01486799571432,1.36363636363636,0,0,0,0,0,0,0,0
6,10,6.50831946221312,1.27272727272727,0,0,0,0,0,0,0,0
7,8,1.69514594601223,1.17241379310345,0,0,0,0,0,0,0,0
7,9,2.15134021046642,1.3235294117647,0,0,0,0,0,0,0,0
7,10,4.53321460180728,1.23529411764706,0,0,0,0,0,0,0,0
8,9,2.42039061375547,1.55172413793103,0,0,0,0,0,0,0,0
8,10,4.82031836634738,1.44827586206897,0,0,0,0,0,0,0,0
9,10,2.01152709332798,1.07142857142857,0,0,0,0,0,0,0,0
