id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,4.10293089755522,1.27027027027028,0,0,0,0,0,0,0,0
1,3,3.30973507068617,1.74074074074075,0,0,0,0,0,0,0,0
1,4,2.34741454148724,1.51612903225807,0,0,0,0,0,0,0,0
1,5,6.89075954802953,1.14634146341464,0,0,0,0,0,0,0,0
1,6,6.78084884886183,1.67857142857144,0,0,0,0,0,0,0,0
1,7,5.25918050572868,2.04347826086958,0,0,0,0,0,0,0,0
1,8,4.56416793361325,1.74074074074075,0,0,0,0,0,0,0,0
2,3,1.56694679731796,1.37037037037037,0,0,0,0,0,0,0,0
2,4,2.38869888285258,1.19354838709677,0,0,0,0,0,0,0,0
2,5,3.4592109934073,1.10810810810811,0,0,0,0,0,0,0,0
2,6,2.697357900793,1.32142857142857,0,0,0,0,0,0,0,0
2,7,0.804501225743145,1.60869565217391,0,0,0,0,0,0,0,0
2,8,0.656435985550001,1.37037037037037,0,0,0,0,0,0,0,0
3,4,1.0718814511979,1.14814814814815,0,0,0,0,0,0,0,0
3,5,5.4122642032913,1.51851851851852,0,0,0,0,0,0,0,0
3,6,4.93812960208034,1.03703703703704,0,0,0,0,0,0,0,0
3,7,2.63370461517613,1.17391304347826,0,0,0,0,0,0,0,0
3,8,1.91342094119845,1,0,0,0,0,0,0,0,0
4,5,5.95912646883793,1.32258064516128,0,0,0,0,0,0,0,0
4,6,5.62803749900476,1.10714285714286,0,0,0,0,0,0,0,0
4,7,3.54096156137701,1.34782608695653,0,0,0,0,0,0,0,0
4,8,2.78633705738987,1.14814814814815,0,0,0,0,0,0,0,0
5,6,1.41836604401848,1.46428571428571,0,0,0,0,0,0,0,0
5,7,3.72714388808643,1.78260869565218,0,0,0,0,0,0,0,0
5,8,3.95325738406149,1.51851851851852,0,0,0,0,0,0,0,0
6,7,2.76533159377486,1.21739130434783,0,0,0,0,0,0,0,0
6,8,3.11249149489362,1.03703703703704,0,0,0,0,0,0,0,0
7,8,0.608276253029822,1.17391304347826,0,0,0,0,0,0,0,0
