id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.05030685334548,1.14018691588785,0,0,0,0,0,0,0,0
1,3,2.14622569228453,1.03389830508475,0,0,0,0,0,0,0,0
1,4,2.79031134518088,1.07017543859649,0,0,0,0,0,0,0,0
1,5,4.0303645879691,1.05172413793103,0,0,0,0,0,0,0,0
1,6,1.37892203561842,1.97540983606557,0,0,0,0,0,0,0,0
1,7,2.79764624100259,1.86885245901639,0,0,0,0,0,0,0,0
2,3,1.23670609900196,1.10280373831776,0,0,0,0,0,0,0,0
2,4,1.97742216000686,1.06542056074766,0,0,0,0,0,0,0,0
2,5,3.32751743160519,1.08411214953271,0,0,0,0,0,0,0,0
2,6,1.34119080415639,2.25233644859813,0,0,0,0,0,0,0,0
2,7,2.43226254577032,2.13084112149533,0,0,0,0,0,0,0,0
3,4,0.78568967408988,1.03508771929825,0,0,0,0,0,0,0,0
3,5,2.0497946886849,1.01724137931034,0,0,0,0,0,0,0,0
3,6,1.42683926878887,2.04237288135593,0,0,0,0,0,0,0,0
3,7,1.80347747144501,1.93220338983051,0,0,0,0,0,0,0,0
4,5,1.32656441867699,1.01754385964913,0,0,0,0,0,0,0,0
4,6,1.42467556175386,2.1140350877193,0,0,0,0,0,0,0,0
4,7,1.32704091278828,2,0,0,0,0,0,0,0,0
5,6,1.98184962949429,2.07758620689655,0,0,0,0,0,0,0,0
5,7,0.948770588746461,1.96551724137931,0,0,0,0,0,0,0,0
6,7,1.2272655136985,1.05701754385965,0,0,0,0,0,0,0,0
