id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,3.26509749900436,2.38709677419356,0,0,0,0,0,0,0,0
1,3,3.76530631085276,2.74074074074076,0,0,0,0,0,0,0,0
1,4,3.66234110676101,1.85000000000001,0,0,0,0,0,0,0,0
1,5,4.46535701431656,1.94736842105263,0,0,0,0,0,0,0,0
1,6,4.90375678581209,2,0,0,0,0,0,0,0,0
1,7,6.59995617315776,2.05555555555556,0,0,0,0,0,0,0,0
1,8,6.92616201274869,1.80487804878049,0,0,0,0,0,0,0,0
1,9,9.5174511389066,4.11111111111114,0,0,0,0,0,0,0,0
2,3,0.659919283069127,1.14814814814815,0,0,0,0,0,0,0,0
2,4,1.05172702549828,1.29032258064516,0,0,0,0,0,0,0,0
2,5,2.29003851769318,1.22580645161291,0,0,0,0,0,0,0,0
2,6,2.96523250458179,1.19354838709678,0,0,0,0,0,0,0,0
2,7,5.74696642400465,1.16129032258065,0,0,0,0,0,0,0,0
2,8,6.31982599580748,1.32258064516129,0,0,0,0,0,0,0,0
2,9,10.8995068839086,1.72222222222223,0,0,0,0,0,0,0,0
3,4,0.568928912016299,1.48148148148149,0,0,0,0,0,0,0,0
3,5,1.8845368900451,1.40740740740742,0,0,0,0,0,0,0,0
3,6,2.57855110115158,1.37037037037038,0,0,0,0,0,0,0,0
3,7,5.54788586228507,1.33333333333334,0,0,0,0,0,0,0,0
3,8,6.16288772582362,1.51851851851853,0,0,0,0,0,0,0,0
3,9,11.0670236443987,1.5,0,0,0,0,0,0,0,0
4,5,1.08179605690918,1.05263157894736,0,0,0,0,0,0,0,0
4,6,1.6511903024004,1.08108108108107,0,0,0,0,0,0,0,0
4,7,4.09751715242347,1.11111111111111,0,0,0,0,0,0,0,0
4,8,4.70410872822822,1.025,0,0,0,0,0,0,0,0
4,9,7.9310532233662,2.22222222222223,0,0,0,0,0,0,0,0
5,6,0.602955682911734,1.02702702702703,0,0,0,0,0,0,0,0
5,7,3.06947196511568,1.05555555555556,0,0,0,0,0,0,0,0
5,8,3.75968545732522,1.07894736842105,0,0,0,0,0,0,0,0
5,9,6.71544917731207,2.11111111111113,0,0,0,0,0,0,0,0
6,7,2.53850068710104,1.02777777777778,0,0,0,0,0,0,0,0
6,8,3.259462530768,1.10810810810811,0,0,0,0,0,0,0,0
6,9,6.05588300813882,2.05555555555557,0,0,0,0,0,0,0,0
7,8,0.920246947431525,1.13888888888889,0,0,0,0,0,0,0,0
7,9,2.77320611452433,2.00000000000001,0,0,0,0,0,0,0,0
8,9,1.34069832207221,2.27777777777779,0,0,0,0,0,0,0,0
