id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.533709187089708,1.16666666666667,0,0,0,0,0,0,0,0
1,3,0.892657107719742,1.68,0,0,0,0,0,0,0,0
1,4,2.41550165757036,1.16666666666667,0,0,0,0,0,0,0,0
1,5,3.26976074930146,1.83333333333333,0,0,0,0,0,0,0,0
1,6,6.06329917998356,1.45238095238095,0,0,0,0,0,0,0,0
2,3,0.302280146140752,1.44,0,0,0,0,0,0,0,0
2,4,2.07112161716458,1,0,0,0,0,0,0,0,0
2,5,3.14896306121142,2.13888888888888,0,0,0,0,0,0,0,0
2,6,6.07450115211097,1.69444444444444,0,0,0,0,0,0,0,0
3,4,2.1477912505907,1.44,0,0,0,0,0,0,0,0
3,5,3.3290197002349,3.08,0,0,0,0,0,0,0,0
3,6,6.65246368803361,2.44,0,0,0,0,0,0,0,0
4,5,1.92737593061532,2.13888888888889,0,0,0,0,0,0,0,0
4,6,4.57682034985275,1.69444444444444,0,0,0,0,0,0,0,0
5,6,1.72465290457293,1.26229508196721,0,0,0,0,0,0,0,0
