id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.02346872256052,1.02222222222222,0,0,0,0,0,0,0,0
1,3,2.35337110451275,1.5,0,0,0,0,0,0,0,0
1,4,3.29860025483051,1.07142857142857,0,0,0,0,0,0,0,0
1,5,0.604974825064979,1.875,0,0,0,0,0,0,0,0
1,6,1.51437055813642,1.34328358208955,0,0,0,0,0,0,0,0
1,7,4.20632429354894,1.28571428571429,0,0,0,0,0,0,0,0
1,8,6.03615805638261,1.8,0,0,0,0,0,0,0,0
1,9,4.24036224867641,1.77777777777778,0,0,0,0,0,0,0,0
1,10,1.50035007316902,2.64444444444445,0,0,0,0,0,0,0,0
2,3,1.12594220316824,1.53333333333333,0,0,0,0,0,0,0,0
2,4,2.20308790851492,1.0952380952381,0,0,0,0,0,0,0,0
2,5,1.11183338202617,1.91666666666667,0,0,0,0,0,0,0,0
2,6,0.592164333074536,1.37313432835821,0,0,0,0,0,0,0,0
2,7,3.04747028549658,1.31428571428572,0,0,0,0,0,0,0,0
2,8,4.68203948629653,1.84000000000001,0,0,0,0,0,0,0,0
2,9,3.46768410922631,1.73913043478261,0,0,0,0,0,0,0,0
2,10,1.39098501146203,2.58695652173913,0,0,0,0,0,0,0,0
3,4,1.62483676768005,1.4,0,0,0,0,0,0,0,0
3,5,2.80213090089201,1.25,0,0,0,0,0,0,0,0
3,6,1.04332937132641,1.11666666666667,0,0,0,0,0,0,0,0
3,7,2.48117170259365,1.16666666666667,0,0,0,0,0,0,0,0
3,8,4.4889303701181,1.2,0,0,0,0,0,0,0,0
3,9,3.248028645601,2.66666666666666,0,0,0,0,0,0,0,0
3,10,1.81158954322518,3.96666666666667,0,0,0,0,0,0,0,0
4,5,4.03943485850742,1.75,0,0,0,0,0,0,0,0
4,6,2.42693321382147,1.25373134328358,0,0,0,0,0,0,0,0
4,7,1.20864723261424,1.2,0,0,0,0,0,0,0,0
4,8,2.39369670514869,1.68,0,0,0,0,0,0,0,0
4,9,1.9923681989138,1.9047619047619,0,0,0,0,0,0,0,0
4,10,1.85536849946764,2.83333333333334,0,0,0,0,0,0,0,0
5,6,1.52375022388891,1.39583333333333,0,0,0,0,0,0,0,0
5,7,5.20394879126612,1.45833333333333,0,0,0,0,0,0,0,0
5,8,8.0204341278076,1.04166666666666,0,0,0,0,0,0,0,0
5,9,4.88919852369916,3.33333333333333,0,0,0,0,0,0,0,0
5,10,1.90221680520996,4.95833333333333,0,0,0,0,0,0,0,0
6,7,3.20437956204379,1.04477611940298,0,0,0,0,0,0,0,0
6,8,5.22256493063243,1.34000000000001,0,0,0,0,0,0,0,0
6,9,3.7251117992486,2.38805970149253,0,0,0,0,0,0,0,0
6,10,1.79722680456488,3.55223880597015,0,0,0,0,0,0,0,0
7,8,1.43451985773018,1.4,0,0,0,0,0,0,0,0
7,9,1.91908630590899,2.28571428571429,0,0,0,0,0,0,0,0
7,10,2.5265874125882,3.4,0,0,0,0,0,0,0,0
8,9,1.50169971725919,3.20000000000001,0,0,0,0,0,0,0,0
8,10,3.17802429902857,4.76000000000001,0,0,0,0,0,0,0,0
9,10,2.4768938015117,1.4875,0,0,0,0,0,0,0,0
