id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.715866868880812,1.03571428571429,0,0,0,0,0,0,0,0
1,3,1.27380811958204,1.18367346938776,0,0,0,0,0,0,0,0
1,4,2.01953502409775,1.34883720930233,0,0,0,0,0,0,0,0
1,5,2.3565069488546,1.06896551724138,0,0,0,0,0,0,0,0
1,6,3.3562237955298,1.26086956521739,0,0,0,0,0,0,0,0
1,7,4.31578968240186,1.13793103448276,0,0,0,0,0,0,0,0
1,8,5.49099922465912,1.26086956521739,0,0,0,0,0,0,0,0
1,9,6.36464648988122,1.09433962264151,0,0,0,0,0,0,0,0
1,10,7.41682849964467,1.16,0,0,0,0,0,0,0,0
1,11,7.82073251718943,1.18367346938776,0,0,0,0,0,0,0,0
1,12,7.67365352246746,1,0,0,0,0,0,0,0,0
2,3,0.521727463801993,1.14285714285714,0,0,0,0,0,0,0,0
2,4,1.2361672122307,1.30232558139535,0,0,0,0,0,0,0,0
2,5,1.72900048839857,1.10714285714286,0,0,0,0,0,0,0,0
2,6,2.63304204658216,1.21739130434783,0,0,0,0,0,0,0,0
2,7,3.74698660615611,1.17857142857143,0,0,0,0,0,0,0,0
2,8,4.80942062212197,1.21739130434783,0,0,0,0,0,0,0,0
2,9,5.73282190836921,1.05660377358491,0,0,0,0,0,0,0,0
2,10,6.80008088448953,1.12,0,0,0,0,0,0,0,0
2,11,7.22010923215591,1.14285714285714,0,0,0,0,0,0,0,0
2,12,7.13144407632333,1.03571428571429,0,0,0,0,0,0,0,0
3,4,0.736087084927696,1.13953488372093,0,0,0,0,0,0,0,0
3,5,1.39386576853713,1.26530612244898,0,0,0,0,0,0,0,0
3,6,2.27565703884587,1.06521739130435,0,0,0,0,0,0,0,0
3,7,3.54071110946382,1.3469387755102,0,0,0,0,0,0,0,0
3,8,4.60779779873386,1.06521739130435,0,0,0,0,0,0,0,0
3,9,5.59016994374947,1.08163265306122,0,0,0,0,0,0,0,0
3,10,6.74934952482567,1.0204081632653,0,0,0,0,0,0,0,0
3,11,7.21463931240941,1,0,0,0,0,0,0,0,0
3,12,7.13422097483735,1.18367346938776,0,0,0,0,0,0,0,0
4,5,0.928656894723727,1.44186046511628,0,0,0,0,0,0,0,0
4,6,1.70034565799043,1.06976744186047,0,0,0,0,0,0,0,0
4,7,3.16189170086826,1.53488372093023,0,0,0,0,0,0,0,0
4,8,4.17459205018968,1.06976744186047,0,0,0,0,0,0,0,0
4,9,5.23440350323915,1.23255813953488,0,0,0,0,0,0,0,0
4,10,6.47331475427902,1.16279069767442,0,0,0,0,0,0,0,0
4,11,6.98398113102859,1.13953488372093,0,0,0,0,0,0,0,0
4,12,6.93533790607098,1.34883720930233,0,0,0,0,0,0,0,0
5,6,0.654270030627019,1.34782608695652,0,0,0,0,0,0,0,0
5,7,1.97755039541506,1.06451612903226,0,0,0,0,0,0,0,0
5,8,2.68251783226859,1.34782608695652,0,0,0,0,0,0,0,0
5,9,3.79940299757689,1.16981132075472,0,0,0,0,0,0,0,0
5,10,4.63166577012229,1.24,0,0,0,0,0,0,0,0
5,11,4.99307206101057,1.26530612244898,0,0,0,0,0,0,0,0
5,12,5.07603984968159,1.06896551724138,0,0,0,0,0,0,0,0
6,7,1.73361498562032,1.43478260869565,0,0,0,0,0,0,0,0
6,8,2.41343514251897,1,0,0,0,0,0,0,0,0
6,9,3.69970092852304,1.15217391304348,0,0,0,0,0,0,0,0
6,10,4.71087919740042,1.08695652173913,0,0,0,0,0,0,0,0
6,11,5.17116445573479,1.06521739130435,0,0,0,0,0,0,0,0
6,12,5.282216592509,1.26086956521739,0,0,0,0,0,0,0,0
7,8,0.679979741594993,1.43478260869565,0,0,0,0,0,0,0,0
7,9,2.07196969085712,1.24528301886792,0,0,0,0,0,0,0,0
7,10,2.35811713217068,1.32,0,0,0,0,0,0,0,0
7,11,2.62569821482057,1.3469387755102,0,0,0,0,0,0,0,0
7,12,2.87243981832266,1.13793103448275,0,0,0,0,0,0,0,0
8,9,1.74001443665605,1.15217391304348,0,0,0,0,0,0,0,0
8,10,2.40092303575336,1.08695652173913,0,0,0,0,0,0,0,0
8,11,2.89343511401289,1.06521739130435,0,0,0,0,0,0,0,0
8,12,3.26676943544822,1.26086956521739,0,0,0,0,0,0,0,0
9,10,1.66834992135375,1.06,0,0,0,0,0,0,0,0
9,11,2.39458651926203,1.08163265306123,0,0,0,0,0,0,0,0
9,12,2.88119319852386,1.09433962264151,0,0,0,0,0,0,0,0
10,11,0.742407063636889,1.0204081632653,0,0,0,0,0,0,0,0
10,12,1.37402540594654,1.16000000000001,0,0,0,0,0,0,0,0
11,12,0.707137661234652,1.18367346938776,0,0,0,0,0,0,0,0
