id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.0492555238933,1.16326530612245,0,0,0,0,0,0,0,0
1,3,3.97571718819308,1.20408163265306,0,0,0,0,0,0,0,0
1,4,6.47966414872072,1,0,0,0,0,0,0,0,0
1,5,10.0900725499033,1.16666666666667,0,0,0,0,0,0,0,0
1,6,11.3537555246634,1.02040816326531,0,0,0,0,0,0,0,0
1,7,12.4652358127294,1.02040816326531,0,0,0,0,0,0,0,0
2,3,1.86991482443826,1.03508771929824,0,0,0,0,0,0,0,0
2,4,3.96043308993839,1.16326530612245,0,0,0,0,0,0,0,0
2,5,7.10358876695887,1.35714285714286,0,0,0,0,0,0,0,0
2,6,8.48729867497004,1.14,0,0,0,0,0,0,0,0
2,7,9.51964011442209,1.14,0,0,0,0,0,0,0,0
3,4,1.91245735672444,1.20408163265306,0,0,0,0,0,0,0,0
3,5,4.84159428211702,1.40476190476191,0,0,0,0,0,0,0,0
3,6,6.38027059569869,1.18,0,0,0,0,0,0,0,0
3,7,7.38552623796247,1.18,0,0,0,0,0,0,0,0
4,5,3.11485643913112,1.16666666666667,0,0,0,0,0,0,0,0
4,6,4.94042665455401,1.02040816326531,0,0,0,0,0,0,0,0
4,7,6.05118796840729,1.02040816326531,0,0,0,0,0,0,0,0
5,6,2.25689449882532,1.19047619047619,0,0,0,0,0,0,0,0
5,7,3.435625240615,1.19047619047619,0,0,0,0,0,0,0,0
6,7,1.11628849317728,1,0,0,0,0,0,0,0,0
