id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.7842302417108,2.30769230769231,0,0,0,0,0,0,0,0
1,3,2.44709452309024,2,0,0,0,0,0,0,0,0
1,4,3.35397887045267,2.22222222222223,0,0,0,0,0,0,0,0
1,5,3.43443044768707,3,0,0,0,0,0,0,0,0
1,6,4.19309806586258,2.30769230769232,0,0,0,0,0,0,0,0
1,7,4.16675116860141,1.76470588235295,0,0,0,0,0,0,0,0
1,8,3.92712541811269,1.2,0,0,0,0,0,0,0,0
1,9,5.09488954757973,1.76470588235295,0,0,0,0,0,0,0,0
1,10,5.82065178322337,3.1578947368421,0,0,0,0,0,0,0,0
1,11,5.94177277923634,2.22222222222222,0,0,0,0,0,0,0,0
1,12,6.8589492128459,2.22222222222222,0,0,0,0,0,0,0,0
1,13,5.75256441604364,1.39534883720931,0,0,0,0,0,0,0,0
1,14,6.71960613250239,1.33333333333334,0,0,0,0,0,0,0,0
1,15,7.61780244738755,1.71428571428571,0,0,0,0,0,0,0,0
1,16,6.60156876793015,1.06666666666667,0,0,0,0,0,0,0,0
2,3,1.19789355937489,1.15384615384615,0,0,0,0,0,0,0,0
2,4,2.62108002925472,1.03846153846154,0,0,0,0,0,0,0,0
2,5,3.18765636778694,1.3,0,0,0,0,0,0,0,0
2,6,4.08145611561226,1,0,0,0,0,0,0,0,0
2,7,3.99402331267887,1.30769230769231,0,0,0,0,0,0,0,0
2,8,3.66576680387443,1.92307692307693,0,0,0,0,0,0,0,0
2,9,5.44245144928073,1.30769230769231,0,0,0,0,0,0,0,0
2,10,6.91143264703983,1.36842105263158,0,0,0,0,0,0,0,0
2,11,6.92763798356467,1.03846153846154,0,0,0,0,0,0,0,0
2,12,8.43752826558034,1.03846153846154,0,0,0,0,0,0,0,0
2,13,6.3633586684528,1.65384615384615,0,0,0,0,0,0,0,0
2,14,7.80492674988799,1.73076923076923,0,0,0,0,0,0,0,0
2,15,9.40546536982073,1.34615384615385,0,0,0,0,0,0,0,0
2,16,7.39377449173073,2.46153846153846,0,0,0,0,0,0,0,0
3,4,1.26047473310078,1.11111111111111,0,0,0,0,0,0,0,0
3,5,2.11366979445703,1.5,0,0,0,0,0,0,0,0
3,6,2.63657554647026,1.15384615384616,0,0,0,0,0,0,0,0
3,7,2.69910286021115,1.13333333333333,0,0,0,0,0,0,0,0
3,8,2.65556608842634,1.66666666666667,0,0,0,0,0,0,0,0
3,9,4.0548305008502,1.13333333333333,0,0,0,0,0,0,0,0
3,10,5.00936233005453,1.57894736842105,0,0,0,0,0,0,0,0
3,11,5.28073089692955,1.11111111111111,0,0,0,0,0,0,0,0
