id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.66672957151509,1.25287356321839,0,0,0,0,0,0,0,0
1,3,0.958843933320804,1.5,0,0,0,0,0,0,0,0
1,4,1.54624201824701,1.89130434782609,0,0,0,0,0,0,0,0
1,5,2.49322030492188,1.55357142857143,0,0,0,0,0,0,0,0
1,6,3.23827268610816,1.27941176470589,0,0,0,0,0,0,0,0
1,7,6.11051702946214,1.64150943396226,0,0,0,0,0,0,0,0
1,8,4.84964389659863,1.20833333333334,0,0,0,0,0,0,0,0
1,9,2.59577676487762,1.59770114942529,0,0,0,0,0,0,0,0
2,3,1.34836950658695,1.87931034482758,0,0,0,0,0,0,0,0
2,4,1.90938315082367,2.36956521739131,0,0,0,0,0,0,0,0
2,5,2.64443209787921,1.94642857142857,0,0,0,0,0,0,0,0
2,6,3.1584952807177,1.60294117647059,0,0,0,0,0,0,0,0
2,7,5.72196584720068,2.0566037735849,0,0,0,0,0,0,0,0
2,8,4.5498302610418,1.51388888888889,0,0,0,0,0,0,0,0
2,9,2.45222960197687,1.27522935779817,0,0,0,0,0,0,0,0
3,4,0.684383063433624,1.26086956521739,0,0,0,0,0,0,0,0
3,5,1.92087237798891,1.03571428571429,0,0,0,0,0,0,0,0
3,6,2.8834983721483,1.17241379310345,0,0,0,0,0,0,0,0
3,7,6.46373010218255,1.09433962264151,0,0,0,0,0,0,0,0
3,8,4.86502431016141,1.24137931034483,0,0,0,0,0,0,0,0
3,9,2.32698350337929,2.39655172413793,0,0,0,0,0,0,0,0
4,5,1.4819820056697,1.21739130434783,0,0,0,0,0,0,0,0
4,6,2.66810902820628,1.47826086956522,0,0,0,0,0,0,0,0
4,7,6.56569541558047,1.15217391304348,0,0,0,0,0,0,0,0
4,8,4.8469909103281,1.56521739130435,0,0,0,0,0,0,0,0
4,9,2.25667098072949,3.02173913043479,0,0,0,0,0,0,0,0
5,6,1.32400591967642,1.21428571428571,0,0,0,0,0,0,0,0
5,7,4.57746683137894,1.0566037735849,0,0,0,0,0,0,0,0
5,8,3.32350949028753,1.28571428571429,0,0,0,0,0,0,0,0
5,9,1.596256303992,2.48214285714286,0,0,0,0,0,0,0,0
6,7,3.07616805739793,1.28301886792452,0,0,0,0,0,0,0,0
6,8,1.92259656481031,1.05882352941177,0,0,0,0,0,0,0,0
6,9,0.842756357796409,2.04411764705883,0,0,0,0,0,0,0,0
7,8,1.34751920208953,1.35849056603773,0,0,0,0,0,0,0,0
7,9,2.18840507070154,2.62264150943396,0,0,0,0,0,0,0,0
8,9,1.24753524884889,1.93055555555556,0,0,0,0,0,0,0,0
