id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.959014281015786,2.64102564102564,0,0,0,0,0,0,0,0
1,3,0.781613698451681,1,0,0,0,0,0,0,0,0
1,4,1.5248449101466,1.42718446601942,0,0,0,0,0,0,0,0
1,5,1.01880761966317,1.13186813186813,0,0,0,0,0,0,0,0
1,6,1.38106748163159,1.47142857142857,0,0,0,0,0,0,0,0
1,7,1.73030275786514,2.14583333333333,0,0,0,0,0,0,0,0
1,8,2.19745705777738,2.10204081632653,0,0,0,0,0,0,0,0
1,9,2.47943716736902,1.45070422535211,0,0,0,0,0,0,0,0
1,10,3.37611979703795,2.64102564102564,0,0,0,0,0,0,0,0
1,11,2.12674979299957,1.20388349514563,0,0,0,0,0,0,0,0
1,12,2.48846902424867,1,0,0,0,0,0,0,0,0
1,13,2.86349851958908,1.05102040816327,0,0,0,0,0,0,0,0
1,14,3.18765253230814,1.39189189189189,0,0,0,0,0,0,0,0
1,15,3.4978027121326,1.25609756097561,0,0,0,0,0,0,0,0
1,16,4.68173607279206,2.39534883720931,0,0,0,0,0,0,0,0
1,17,5.44867208813957,1.05102040816327,0,0,0,0,0,0,0,0
2,3,1.05257545867794,2.64102564102564,0,0,0,0,0,0,0,0
2,4,1.56233450967758,3.76923076923077,0,0,0,0,0,0,0,0
2,5,2.05788999769267,2.33333333333333,0,0,0,0,0,0,0,0
2,6,3.00183710549253,1.79487179487179,0,0,0,0,0,0,0,0
2,7,4.31161667059773,1.23076923076923,0,0,0,0,0,0,0,0
2,8,4.90880154871106,1.25641025641025,0,0,0,0,0,0,0,0
2,9,4.7927286522277,1.82051282051282,0,0,0,0,0,0,0,0
2,10,7.38410343667022,1,0,0,0,0,0,0,0,0
2,11,3.11551356613312,3.17948717948718,0,0,0,0,0,0,0,0
2,12,3.90748624060175,2.64102564102564,0,0,0,0,0,0,0,0
2,13,4.70299623475306,2.51282051282051,0,0,0,0,0,0,0,0
2,14,5.69472292693015,1.89743589743589,0,0,0,0,0,0,0,0
2,15,6.0624496319493,2.1025641025641,0,0,0,0,0,0,0,0
2,16,9.41224062838594,1.1025641025641,0,0,0,0,0,0,0,0
2,17,8.68755738770056,2.51282051282051,0,0,0,0,0,0,0,0
3,4,0.943160643792986,1.42718446601942,0,0,0,0,0,0,0,0
3,5,0.733518013956583,1.13186813186813,0,0,0,0,0,0,0,0
3,6,1.2069718507411,1.47142857142857,0,0,0,0,0,0,0,0
3,7,1.86044395225625,2.14583333333333,0,0,0,0,0,0,0,0
3,8,2.06384001210556,2.10204081632653,0,0,0,0,0,0,0,0
3,9,2.31317376982737,1.45070422535211,0,0,0,0,0,0,0,0
3,10,3.17212679680321,2.64102564102564,0,0,0,0,0,0,0,0
3,11,1.58022723924639,1.20388349514563,0,0,0,0,0,0,0,0
3,12,1.96963589227033,1,0,0,0,0,0,0,0,0
3,13,2.49108208678874,1.05102040816327,0,0,0,0,0,0,0,0
3,14,2.85136155124263,1.39189189189189,0,0,0,0,0,0,0,0
3,15,3.23089993501281,1.25609756097561,0,0,0,0,0,0,0,0
3,16,4.36077661406781,2.39534883720931,0,0,0,0,0,0,0,0
3,17,5.25732247611189,1.05102040816327,0,0,0,0,0,0,0,0
4,5,1.45878214130191,1.61538461538462,0,0,0,0,0,0,0,0
4,6,1.88305667468091,2.1,0,0,0,0,0,0,0,0
4,7,2.53949732817656,3.0625,0,0,0,0,0,0,0,0
4,8,2.54739027427994,3,0,0,0,0,0,0,0,0
4,9,2.60588009311156,2.07042253521127,0,0,0,0,0,0,0,0
4,10,3.281001802686,3.76923076923077,0,0,0,0,0,0,0,0
4,11,1.45288613450997,1.18548387096774,0,0,0,0,0,0,0,0
4,12,1.8667704733041,1.42718446601942,0,0,0,0,0,0,0,0
4,13,2.44736341228748,1.5,0,0,0,0,0,0,0,0
4,14,2.82379045086403,1.98648648648649,0,0,0,0,0,0,0,0
4,15,3.14694195136158,1.79268292682927,0,0,0,0,0,0,0,0
4,16,3.99792189785957,3.4186046511628,0,0,0,0,0,0,0,0
4,17,4.77519622201719,1.5,0,0,0,0,0,0,0,0
5,6,0.414337393295849,1.3,0,0,0,0,0,0,0,0
5,7,1.06499122250915,1.89583333333333,0,0,0,0,0,0,0,0
5,8,1.22507808997248,1.85714285714286,0,0,0,0,0,0,0,0
5,9,1.61970885967925,1.28169014084507,0,0,0,0,0,0,0,0
5,10,2.39135523953611,2.33333333333333,0,0,0,0,0,0,0,0
5,11,1.36138509939651,1.36263736263736,0,0,0,0,0,0,0,0
5,12,1.62776453690563,1.13186813186813,0,0,0,0,0,0,0,0
5,13,2.0217041301667,1.07692307692308,0,0,0,0,0,0,0,0
5,14,2.28465556616631,1.22972972972973,0,0,0,0,0,0,0,0
5,15,2.69406952863993,1.10975609756098,0,0,0,0,0,0,0,0
5,16,3.76327382677631,2.11627906976745,0,0,0,0,0,0,0,0
5,17,4.88315073591952,1.07692307692308,0,0,0,0,0,0,0,0
6,7,0.771884578761742,1.45833333333333,0,0,0,0,0,0,0,0
6,8,0.890677021999065,1.42857142857143,0,0,0,0,0,0,0,0
6,9,1.41843971631206,1.01428571428571,0,0,0,0,0,0,0,0
6,10,2.28221036154254,1.79487179487179,0,0,0,0,0,0,0,0
6,11,1.48562746251583,1.77142857142857,0,0,0,0,0,0,0,0
6,12,1.70296708599643,1.47142857142857,0,0,0,0,0,0,0,0
6,13,2.01049542071965,1.4,0,0,0,0,0,0,0,0
6,14,2.25967783197539,1.05714285714286,0,0,0,0,0,0,0,0
6,15,2.6990126567561,1.17142857142857,0,0,0,0,0,0,0,0
6,16,3.96089626137304,1.62790697674419,0,0,0,0,0,0,0,0
6,17,5.1422129501746,1.4,0,0,0,0,0,0,0,0
7,8,0.945423217988484,1.02083333333333,0,0,0,0,0,0,0,0
7,9,1.52284118185873,1.47916666666666,0,0,0,0,0,0,0,0
7,10,2.5974468393471,1.23076923076923,0,0,0,0,0,0,0,0
7,11,2.07747779953762,2.58333333333333,0,0,0,0,0,0,0,0
