id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.94939259576905,1.22857142857143,0,0,0,0,0,0,0,0
1,3,3.82483808499534,1.43333333333333,0,0,0,0,0,0,0,0
1,4,3.02768780161302,1.44186046511628,0,0,0,0,0,0,0,0
1,5,5.71188724375292,1.62790697674419,0,0,0,0,0,0,0,0
1,6,7.95985467137523,1.13953488372093,0,0,0,0,0,0,0,0
1,7,9.15153474753248,1.02380952380952,0,0,0,0,0,0,0,0
1,8,1.26746544033903,3.02325581395349,0,0,0,0,0,0,0,0
1,9,3.45561137861306,1.7906976744186,0,0,0,0,0,0,0,0
1,10,6.75723692533064,2.16279069767442,0,0,0,0,0,0,0,0
1,11,7.65982697884871,1.95348837209303,0,0,0,0,0,0,0,0
1,12,9.47086658162157,1.62790697674418,0,0,0,0,0,0,0,0
2,3,1.9926492133775,1.16666666666666,0,0,0,0,0,0,0,0
2,4,1.92032275779396,1.77142857142858,0,0,0,0,0,0,0,0
2,5,4.7237807218784,2.00000000000001,0,0,0,0,0,0,0,0
2,6,6.91789596485079,1.4,0,0,0,0,0,0,0,0
2,7,8.13665125267706,1.2,0,0,0,0,0,0,0,0
2,8,1.38839476977225,3.71428571428572,0,0,0,0,0,0,0,0
2,9,2.5199775772407,2.2,0,0,0,0,0,0,0,0
2,10,6.03313199264072,2.65714285714286,0,0,0,0,0,0,0,0
2,11,6.91628801441295,2.40000000000001,0,0,0,0,0,0,0,0
2,12,8.75113727626976,2,0,0,0,0,0,0,0,0
3,4,1.67986660060887,2.06666666666666,0,0,0,0,0,0,0,0
3,5,3.85155812626526,2.33333333333333,0,0,0,0,0,0,0,0
3,6,5.86387537807612,1.63333333333333,0,0,0,0,0,0,0,0
3,7,7.05186364475359,1.39999999999999,0,0,0,0,0,0,0,0
3,8,2.0341613751126,4.33333333333331,0,0,0,0,0,0,0,0
3,9,2.10265835426808,2.56666666666665,0,0,0,0,0,0,0,0
3,10,5.40857592186194,3.09999999999999,0,0,0,0,0,0,0,0
3,11,6.21582685887811,2.79999999999999,0,0,0,0,0,0,0,0
3,12,7.99202727723073,2.33333333333332,0,0,0,0,0,0,0,0
4,5,2.59902591769393,1.12903225806452,0,0,0,0,0,0,0,0
4,6,3.94442358226335,1.26530612244898,0,0,0,0,0,0,0,0
4,7,4.65135224023314,1.47619047619048,0,0,0,0,0,0,0,0
4,8,1.29980008144949,2.09677419354838,0,0,0,0,0,0,0,0
4,9,0.699619481483084,1.24193548387097,0,0,0,0,0,0,0,0
4,10,3.91098136458499,1.5,0,0,0,0,0,0,0,0
4,11,4.56869852283245,1.35483870967742,0,0,0,0,0,0,0,0
4,12,5.84856335321781,1.12903225806451,0,0,0,0,0,0,0,0
5,6,0.829254665717572,1.42857142857143,0,0,0,0,0,0,0,0
5,7,1.2776595411381,1.66666666666667,0,0,0,0,0,0,0,0
5,8,2.92559822942249,1.85714285714285,0,0,0,0,0,0,0,0
5,9,1.80261840292835,1.1,0,0,0,0,0,0,0,0
5,10,1.72034210277535,1.32857142857143,0,0,0,0,0,0,0,0
5,11,2.12571855441295,1.2,0,0,0,0,0,0,0,0
5,12,3.06436063844466,1,0,0,0,0,0,0,0,0
6,7,0.505613937157244,1.16666666666667,0,0,0,0,0,0,0,0
6,8,3.81207453198987,2.65306122448979,0,0,0,0,0,0,0,0
6,9,2.8815644983543,1.57142857142857,0,0,0,0,0,0,0,0
6,10,1.56865308007154,1.89795918367347,0,0,0,0,0,0,0,0
6,11,1.85555927735614,1.71428571428571,0,0,0,0,0,0,0,0
6,12,2.83968964846966,1.42857142857143,0,0,0,0,0,0,0,0
7,8,4.23147986520655,3.0952380952381,0,0,0,0,0,0,0,0
7,9,3.42898333330622,1.83333333333333,0,0,0,0,0,0,0,0
7,10,1.43286909890448,2.21428571428572,0,0,0,0,0,0,0,0
7,11,1.62917003757676,2,0,0,0,0,0,0,0,0
7,12,2.61027514872299,1.66666666666667,0,0,0,0,0,0,0,0
8,9,1.55031071875878,1.68831168831169,0,0,0,0,0,0,0,0
8,10,3.72473828882456,1.39784946236559,0,0,0,0,0,0,0,0
8,11,4.20826499628723,1.54761904761905,0,0,0,0,0,0,0,0
8,12,5.05418885678009,1.85714285714286,0,0,0,0,0,0,0,0
9,10,3.03160971093681,1.20779220779221,0,0,0,0,0,0,0,0
9,11,3.60874375910035,1.09090909090909,0,0,0,0,0,0,0,0
9,12,4.69413880767563,1.1,0,0,0,0,0,0,0,0
10,11,0.535860144695112,1.10714285714286,0,0,0,0,0,0,0,0
10,12,1.31192270335191,1.32857142857143,0,0,0,0,0,0,0,0
11,12,0.784210216515293,1.2,0,0,0,0,0,0,0,0
