id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.63848462852839,3.46666666666667,0,0,0,0,0,0,0,0
1,3,2.14239178274314,1.51666666666667,0,0,0,0,0,0,0,0
1,4,4.32918819929658,1.03333333333333,0,0,0,0,0,0,0,0
1,5,5.68310373285661,1.25,0,0,0,0,0,0,0,0
1,6,6.39099245977192,1.30434782608696,0,0,0,0,0,0,0,0
1,7,6.81540279082162,1.30434782608696,0,0,0,0,0,0,0,0
1,8,8.18434304476421,1.53846153846154,0,0,0,0,0,0,0,0
1,9,9.8213717530824,1.15384615384615,0,0,0,0,0,0,0,0
1,10,7.37862616877643,1.48333333333333,0,0,0,0,0,0,0,0
1,11,5.17057416095476,2.01666666666667,0,0,0,0,0,0,0,0
1,12,3.74546375452028,3.03333333333333,0,0,0,0,0,0,0,0
2,3,0.759793792770351,2.28571428571429,0,0,0,0,0,0,0,0
2,4,2.20321812266102,3.35483870967742,0,0,0,0,0,0,0,0
2,5,2.73367457546986,4.33333333333333,0,0,0,0,0,0,0,0
2,6,3.02740546183818,4.52173913043479,0,0,0,0,0,0,0,0
2,7,3.23553070412226,4.52173913043478,0,0,0,0,0,0,0,0
2,8,3.71774126208236,5.33333333333334,0,0,0,0,0,0,0,0
2,9,4.61582850429531,4,0,0,0,0,0,0,0,0
2,10,3.93170419870434,2.33707865168539,0,0,0,0,0,0,0,0
2,11,2.95681572189359,1.71900826446281,0,0,0,0,0,0,0,0
2,12,2.14123904970501,1.14285714285714,0,0,0,0,0,0,0,0
3,4,2.47007810205188,1.46774193548387,0,0,0,0,0,0,0,0
3,5,3.47788714313504,1.89583333333333,0,0,0,0,0,0,0,0
3,6,4.04135081172102,1.97826086956522,0,0,0,0,0,0,0,0
3,7,4.42623548311361,1.97826086956521,0,0,0,0,0,0,0,0
3,8,5.40980919284207,2.33333333333334,0,0,0,0,0,0,0,0
3,9,6.93036629738941,1.75,0,0,0,0,0,0,0,0
3,10,5.36618642893847,1.02247191011236,0,0,0,0,0,0,0,0
3,11,3.66125560850775,1.32967032967033,0,0,0,0,0,0,0,0
3,12,2.46959804755692,2,0,0,0,0,0,0,0,0
4,5,0.959424758784446,1.29166666666667,0,0,0,0,0,0,0,0
4,6,1.62736585189447,1.34782608695652,0,0,0,0,0,0,0,0
4,7,2.115512792648,1.34782608695652,0,0,0,0,0,0,0,0
4,8,3.2213537356532,1.58974358974359,0,0,0,0,0,0,0,0
4,9,5.38927836817137,1.19230769230769,0,0,0,0,0,0,0,0
4,10,3.93878869718027,1.43548387096774,0,0,0,0,0,0,0,0
4,11,2.26592196270463,1.95161290322581,0,0,0,0,0,0,0,0
4,12,1.60932034909935,2.93548387096774,0,0,0,0,0,0,0,0
5,6,0.749528295906748,1.04347826086957,0,0,0,0,0,0,0,0
5,7,1.30833764640945,1.04347826086956,0,0,0,0,0,0,0,0
5,8,2.52708932825532,1.23076923076923,0,0,0,0,0,0,0,0
5,9,5.09943134084576,1.08333333333333,0,0,0,0,0,0,0,0
5,10,3.60476061760486,1.85416666666667,0,0,0,0,0,0,0,0
5,11,1.90591339379327,2.52083333333333,0,0,0,0,0,0,0,0
5,12,1.52685475544808,3.79166666666666,0,0,0,0,0,0,0,0
6,7,0.574855122703362,1,0,0,0,0,0,0,0,0
6,8,1.76097645137116,1.17948717948718,0,0,0,0,0,0,0,0
6,9,4.48573564088434,1.1304347826087,0,0,0,0,0,0,0,0
6,10,3.15108359875851,1.93478260869566,0,0,0,0,0,0,0,0
6,11,1.56405535016187,2.6304347826087,0,0,0,0,0,0,0,0
6,12,1.4556448639132,3.95652173913044,0,0,0,0,0,0,0,0
7,8,1.13978083245015,1.17948717948718,0,0,0,0,0,0,0,0
7,9,3.96024864700511,1.13043478260869,0,0,0,0,0,0,0,0
7,10,2.79648024903891,1.93478260869565,0,0,0,0,0,0,0,0
7,11,1.34852905176853,2.63043478260869,0,0,0,0,0,0,0,0
7,12,1.46887267992523,3.95652173913043,0,0,0,0,0,0,0,0
8,9,3.22165493185407,1.33333333333334,0,0,0,0,0,0,0,0
8,10,2.27048240073145,2.28205128205129,0,0,0,0,0,0,0,0
8,11,1.09695957651137,3.10256410256411,0,0,0,0,0,0,0,0
8,12,1.60491301550919,4.66666666666667,0,0,0,0,0,0,0,0
9,10,0.609268981416015,1.71153846153846,0,0,0,0,0,0,0,0
9,11,1.45428287765098,2.32692307692308,0,0,0,0,0,0,0,0
9,12,2.0699691893912,3.5,0,0,0,0,0,0,0,0
10,11,0.942833092526356,1.35955056179775,0,0,0,0,0,0,0,0
10,12,1.53180983189578,2.04494382022472,0,0,0,0,0,0,0,0
11,12,0.7946397008307,1.50413223140496,0,0,0,0,0,0,0,0
