id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.93961788284575,1.35185185185185,0,0,0,0,0,0,0,0
1,3,1.90301788606808,1.38888888888889,0,0,0,0,0,0,0,0
1,4,4.29919747867063,1.0188679245283,0,0,0,0,0,0,0,0
1,5,4.67723333717763,1.25925925925926,0,0,0,0,0,0,0,0
1,6,8.94369119482362,2.45454545454546,0,0,0,0,0,0,0,0
1,7,9.81310694434922,3.00000000000002,0,0,0,0,0,0,0,0
1,8,1.52363469524174,1.21224489795918,0,0,0,0,0,0,0,0
2,3,1.02704925296007,1.02739726027397,0,0,0,0,0,0,0,0
2,4,3.05658609708757,1.37735849056604,0,0,0,0,0,0,0,0
2,5,3.51368160947945,1.07352941176471,0,0,0,0,0,0,0,0
2,6,6.29487766080826,3.31818181818182,0,0,0,0,0,0,0,0
2,7,6.88038467483899,4.05555555555559,0,0,0,0,0,0,0,0
2,8,0.673250479244875,1.63877551020408,0,0,0,0,0,0,0,0
3,4,1.83558839766027,1.41509433962264,0,0,0,0,0,0,0,0
3,5,2.40812397496087,1.10294117647059,0,0,0,0,0,0,0,0
3,6,4.59804216053581,3.40909090909091,0,0,0,0,0,0,0,0
3,7,5.09814645108149,4.16666666666669,0,0,0,0,0,0,0,0
3,8,0.801717822815718,1.68367346938776,0,0,0,0,0,0,0,0
4,5,0.917355371900827,1.28301886792453,0,0,0,0,0,0,0,0
4,6,2.94183616131151,2.40909090909091,0,0,0,0,0,0,0,0
4,7,3.47590681532913,2.94444444444446,0,0,0,0,0,0,0,0
4,8,3.23895569427233,1.18979591836735,0,0,0,0,0,0,0,0
5,6,1.26929551764398,3.09090909090909,0,0,0,0,0,0,0,0
5,7,1.60524087579864,3.77777777777781,0,0,0,0,0,0,0,0
5,8,3.79342738733283,1.5265306122449,0,0,0,0,0,0,0,0
6,7,0.728010988928051,1.22222222222223,0,0,0,0,0,0,0,0
6,8,8.01502128654092,2.02479338842975,0,0,0,0,0,0,0,0
7,8,8.96601949791663,2.47474747474749,0,0,0,0,0,0,0,0
