id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.364896805417949,1.2,0,0,0,0,0,0,0,0
1,3,1.02691539431907,1.71111111111111,0,0,0,0,0,0,0,0
1,4,2.62071196963419,1.91111111111111,0,0,0,0,0,0,0,0
1,5,5.24410261578642,1.8,0,0,0,0,0,0,0,0
1,6,7.34495403050655,2.49999999999999,0,0,0,0,0,0,0,0
1,7,4.79423548415709,1.48888888888889,0,0,0,0,0,0,0,0
1,8,4.1828113884218,2.33333333333333,0,0,0,0,0,0,0,0
1,9,8.62612913224863,1.125,0,0,0,0,0,0,0,0
2,3,0.70696255147022,1.42592592592593,0,0,0,0,0,0,0,0
2,4,2.1983876280732,1.59259259259259,0,0,0,0,0,0,0,0
2,5,4.19218644326945,2.16,0,0,0,0,0,0,0,0
2,6,5.93291327060688,2.99999999999999,0,0,0,0,0,0,0,0
2,7,4.14234300033314,1.24074074074074,0,0,0,0,0,0,0,0
2,8,3.71910888454999,1.94444444444444,0,0,0,0,0,0,0,0
2,9,7.41825834094753,1.35,0,0,0,0,0,0,0,0
3,4,1.3624605293243,1.11688311688312,0,0,0,0,0,0,0,0
3,5,2.43707821989855,3.08,0,0,0,0,0,0,0,0
3,6,3.58972062740619,4.27777777777777,0,0,0,0,0,0,0,0
3,7,2.88902243281079,1.14925373134328,0,0,0,0,0,0,0,0
3,8,2.80451315679081,1.36363636363636,0,0,0,0,0,0,0,0
3,9,5.2415745053005,1.925,0,0,0,0,0,0,0,0
4,5,0.300014879375617,3.44,0,0,0,0,0,0,0,0
4,6,1.1482637394713,4.77777777777776,0,0,0,0,0,0,0,0
4,7,1.26804123532317,1.28358208955224,0,0,0,0,0,0,0,0
4,8,1.51772871498507,1.22093023255814,0,0,0,0,0,0,0,0
4,9,3.10463571334423,2.15,0,0,0,0,0,0,0,0
5,6,2.30924494647561,1.38888888888889,0,0,0,0,0,0,0,0
5,7,1.85538734306792,2.68,0,0,0,0,0,0,0,0
5,8,2.01416580879665,4.2,0,0,0,0,0,0,0,0
5,9,5.6328705620874,1.6,0,0,0,0,0,0,0,0
6,7,0.88735835167685,3.72222222222222,0,0,0,0,0,0,0,0
6,8,1.44351877272884,5.83333333333332,0,0,0,0,0,0,0,0
6,9,4.70496992273497,2.22222222222222,0,0,0,0,0,0,0,0
7,8,0.618195790745109,1.56716417910448,0,0,0,0,0,0,0,0
7,9,1.84576481698771,1.675,0,0,0,0,0,0,0,0
8,9,0.783813659332676,2.625,0,0,0,0,0,0,0,0
