id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.17414435162324,1.20930232558139,0,0,0,0,0,0,0,0
1,3,2.4913643956122,1.48571428571429,0,0,0,0,0,0,0,0
1,4,4.34424358594115,2.00000000000001,0,0,0,0,0,0,0,0
1,5,4.81159302821175,2.60000000000002,0,0,0,0,0,0,0,0
1,6,5.66432893189136,1.73333333333333,0,0,0,0,0,0,0,0
1,7,6.43253903419768,1.6774193548387,0,0,0,0,0,0,0,0
1,8,6.69360392206254,1.48571428571428,0,0,0,0,0,0,0,0
1,9,7.91775285806601,1.23809523809524,0,0,0,0,0,0,0,0
2,3,1.34914198267449,1.22857142857143,0,0,0,0,0,0,0,0
2,4,3.29524553594979,1.65384615384616,0,0,0,0,0,0,0,0
2,5,3.72894272648359,2.15000000000002,0,0,0,0,0,0,0,0
2,6,4.83755636511486,1.43333333333333,0,0,0,0,0,0,0,0
2,7,5.70910361916864,1.38709677419354,0,0,0,0,0,0,0,0
2,8,6.03956383863492,1.22857142857143,0,0,0,0,0,0,0,0
2,9,7.45598387214793,1.02380952380952,0,0,0,0,0,0,0,0
3,4,2.0024172438823,1.34615384615385,0,0,0,0,0,0,0,0
3,5,2.3645452797875,1.75000000000001,0,0,0,0,0,0,0,0
3,6,3.81566376150054,1.16666666666667,0,0,0,0,0,0,0,0
3,7,4.80706741718395,1.12903225806451,0,0,0,0,0,0,0,0
3,8,5.22864949200116,1,0,0,0,0,0,0,0,0
3,9,6.87487867692212,1.2,0,0,0,0,0,0,0,0
4,5,0.391907747333044,1.30000000000001,0,0,0,0,0,0,0,0
4,6,2.25063766474286,1.15384615384616,0,0,0,0,0,0,0,0
4,7,3.42325615044963,1.19230769230771,0,0,0,0,0,0,0,0
4,8,4.00053745381499,1.34615384615386,0,0,0,0,0,0,0,0
4,9,6.00554818451571,1.61538461538462,0,0,0,0,0,0,0,0
5,6,2.4331050121193,1.50000000000001,0,0,0,0,0,0,0,0
5,7,3.71106598770358,1.55000000000003,0,0,0,0,0,0,0,0
5,8,4.34408498767754,1.75000000000002,0,0,0,0,0,0,0,0
5,9,6.52620189193036,2.10000000000002,0,0,0,0,0,0,0,0
6,7,1.14296511564284,1.03333333333334,0,0,0,0,0,0,0,0
6,8,1.81544980326245,1.16666666666667,0,0,0,0,0,0,0,0
6,9,3.93035924126944,1.4,0,0,0,0,0,0,0,0
7,8,0.760901789666039,1.12903225806451,0,0,0,0,0,0,0,0
7,9,2.97364415821033,1.35483870967741,0,0,0,0,0,0,0,0
8,9,2.1670807151809,1.2,0,0,0,0,0,0,0,0
