id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.95113135904452,1.95081967213115,0,0,0,0,0,0,0,0
1,3,3.08247362608179,1.56578947368421,0,0,0,0,0,0,0,0
1,4,2.38630036276006,2.24528301886792,0,0,0,0,0,0,0,0
1,5,3.2032612391958,3.50000000000001,0,0,0,0,0,0,0,0
1,6,3.42545933070261,2.33333333333333,0,0,0,0,0,0,0,0
1,7,4.00885057213173,2.24528301886792,0,0,0,0,0,0,0,0
2,3,1.87003823394879,1.24590163934426,0,0,0,0,0,0,0,0
2,4,0.527484083451682,1.15094339622641,0,0,0,0,0,0,0,0
2,5,1.48555370353757,1.79411764705882,0,0,0,0,0,0,0,0
2,6,2.06391030941418,1.19607843137254,0,0,0,0,0,0,0,0
2,7,2.98690328916905,1.15094339622641,0,0,0,0,0,0,0,0
3,4,1.52325088268725,1.43396226415094,0,0,0,0,0,0,0,0
3,5,1.05552462377955,2.23529411764706,0,0,0,0,0,0,0,0
3,6,0.552865816741478,1.49019607843137,0,0,0,0,0,0,0,0
3,7,0.72109692163148,1.43396226415094,0,0,0,0,0,0,0,0
4,5,0.931318248227801,1.55882352941177,0,0,0,0,0,0,0,0
4,6,1.65501970885134,1.03921568627451,0,0,0,0,0,0,0,0
4,7,2.64529714958678,1,0,0,0,0,0,0,0,0
5,6,1.13241023537253,1.50000000000001,0,0,0,0,0,0,0,0
5,7,2.29539970875708,1.55882352941177,0,0,0,0,0,0,0,0
6,7,1.11459687036702,1.03921568627451,0,0,0,0,0,0,0,0
