id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.8281186212522,1.09433962264151,0,0,0,0,0,0,0,0
1,3,2.86779369492696,1.31818181818182,0,0,0,0,0,0,0,0
1,4,3.84512678594608,1.38095238095238,0,0,0,0,0,0,0,0
1,5,4.78969709113761,1.26086956521739,0,0,0,0,0,0,0,0
1,6,4.32576482636019,1.10344827586207,0,0,0,0,0,0,0,0
1,7,5.45867795432247,1.05454545454545,0,0,0,0,0,0,0,0
1,8,6.16351068791155,1.15517241379311,0,0,0,0,0,0,0,0
1,9,7.39551745721268,1.13793103448276,0,0,0,0,0,0,0,0
2,3,1.05658787425311,1.20454545454545,0,0,0,0,0,0,0,0
2,4,2.10149663065223,1.26190476190476,0,0,0,0,0,0,0,0
2,5,3.23379070223896,1.15217391304348,0,0,0,0,0,0,0,0
2,6,3.06419494669349,1.20754716981132,0,0,0,0,0,0,0,0
2,7,4.12386451928142,1.0377358490566,0,0,0,0,0,0,0,0
2,8,4.98930105325385,1.26415094339623,0,0,0,0,0,0,0,0
2,9,6.29512731577026,1.24528301886793,0,0,0,0,0,0,0,0
3,4,1.13006267265668,1.04761904761905,0,0,0,0,0,0,0,0
3,5,2.41867732448956,1.04545454545455,0,0,0,0,0,0,0,0
3,6,2.37820608811155,1.45454545454546,0,0,0,0,0,0,0,0
3,7,3.46576534632278,1.25,0,0,0,0,0,0,0,0
3,8,4.47094707485164,1.52272727272728,0,0,0,0,0,0,0,0
3,9,5.87979450925577,1.5,0,0,0,0,0,0,0,0
4,5,1.37316744899346,1.0952380952381,0,0,0,0,0,0,0,0
4,6,1.53147236944371,1.52380952380952,0,0,0,0,0,0,0,0
4,7,2.54390713124534,1.30952380952381,0,0,0,0,0,0,0,0
4,8,3.66405525348589,1.5952380952381,0,0,0,0,0,0,0,0
4,9,5.09343427387965,1.57142857142857,0,0,0,0,0,0,0,0
5,6,0.443967834439083,1.39130434782609,0,0,0,0,0,0,0,0
5,7,1.24878138815268,1.19565217391304,0,0,0,0,0,0,0,0
5,8,2.46551912512302,1.45652173913044,0,0,0,0,0,0,0,0
5,9,3.83261463611717,1.43478260869565,0,0,0,0,0,0,0,0
6,7,0.748654136925794,1.16363636363636,0,0,0,0,0,0,0,0
6,8,1.85502465888012,1.046875,0,0,0,0,0,0,0,0
6,9,3.01347074270844,1.03125,0,0,0,0,0,0,0,0
7,8,1.26325277700383,1.21818181818182,0,0,0,0,0,0,0,0
7,9,2.51057458937191,1.2,0,0,0,0,0,0,0,0
8,9,1.13615963920647,1.01515151515151,0,0,0,0,0,0,0,0
