id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.438718643828714,1.26666666666667,0,0,0,0,0,0,0,0
1,3,2.4089414169964,1.57894736842105,0,0,0,0,0,0,0,0
1,4,4.52606460083979,1.21052631578947,0,0,0,0,0,0,0,0
1,5,7.78441250492962,2.92307692307689,0,0,0,0,0,0,0,0
1,6,7.46481970065354,2.11111111111111,0,0,0,0,0,0,0,0
1,7,8.89516937250717,2.00000000000001,0,0,0,0,0,0,0,0
1,8,7.56583524013618,1,0,0,0,0,0,0,0,0
1,9,8.90224690738242,1.1875,0,0,0,0,0,0,0,0
1,10,7.59670225265646,1.34210526315789,0,0,0,0,0,0,0,0
2,3,2.30453123162409,1.99999999999999,0,0,0,0,0,0,0,0
2,4,4.61888961485747,1.53333333333333,0,0,0,0,0,0,0,0
2,5,8.56069855572738,2.30769230769228,0,0,0,0,0,0,0,0
2,6,8.1080217908631,1.66666666666667,0,0,0,0,0,0,0,0
2,7,9.75817558958391,1.57894736842106,0,0,0,0,0,0,0,0
2,8,8.03050251156397,1.26666666666666,0,0,0,0,0,0,0,0
2,9,9.58663058389823,1.06666666666667,0,0,0,0,0,0,0,0
2,10,7.98789283518186,1.69999999999999,0,0,0,0,0,0,0,0
3,4,1.36906263650353,1.30434782608696,0,0,0,0,0,0,0,0
3,5,2.20616002432235,4.61538461538455,0,0,0,0,0,0,0,0
3,6,2.33336855425658,3.33333333333333,0,0,0,0,0,0,0,0
3,7,3.43040310141988,3.15789473684212,0,0,0,0,0,0,0,0
3,8,3.45942446937473,1.57894736842105,0,0,0,0,0,0,0,0
3,9,4.20742041855219,1.87499999999999,0,0,0,0,0,0,0,0
3,10,3.96727953066608,1.17647058823529,0,0,0,0,0,0,0,0
4,5,0.373266365178735,3.53846153846149,0,0,0,0,0,0,0,0
4,6,0.650458071765585,2.55555555555555,0,0,0,0,0,0,0,0
4,7,1.97127297951434,2.42105263157896,0,0,0,0,0,0,0,0
4,8,2.32740378748998,1.21052631578947,0,0,0,0,0,0,0,0
4,9,3.13316651534614,1.4375,0,0,0,0,0,0,0,0
4,10,3.05154639175258,1.10869565217391,0,0,0,0,0,0,0,0
5,6,0.684296885019234,1.38461538461537,0,0,0,0,0,0,0,0
5,7,3.43877817145857,1.46153846153844,0,0,0,0,0,0,0,0
5,8,3.49019607843136,2.92307692307688,0,0,0,0,0,0,0,0
5,9,5.02929688530053,2.46153846153844,0,0,0,0,0,0,0,0
5,10,4.36485990074423,3.92307692307687,0,0,0,0,0,0,0,0
6,7,2.40540540540541,1.05555555555555,0,0,0,0,0,0,0,0
6,8,2.80408321079479,2.11111111111111,0,0,0,0,0,0,0,0
6,9,4.10394931742583,1.77777777777778,0,0,0,0,0,0,0,0
6,10,3.7472387089174,2.83333333333333,0,0,0,0,0,0,0,0
7,8,1.1941428824731,2.00000000000001,0,0,0,0,0,0,0,0
7,9,2.2813453742578,1.6842105263158,0,0,0,0,0,0,0,0
7,10,2.42646967878044,2.6842105263158,0,0,0,0,0,0,0,0
8,9,0.706818107248742,1.1875,0,0,0,0,0,0,0,0
8,10,1.14568180338026,1.3421052631579,0,0,0,0,0,0,0,0
9,10,0.711251669549178,1.59375,0,0,0,0,0,0,0,0
