id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.60956723794904,1.07017543859649,0,0,0,0,0,0,0,0
1,3,2.24689899514179,1.17307692307692,0,0,0,0,0,0,0,0
1,4,3.72327349443591,1.64864864864865,0,0,0,0,0,0,0,0
1,5,4.58589616538098,1.84848484848485,0,0,0,0,0,0,0,0
1,6,5.78700989704713,1.64864864864865,0,0,0,0,0,0,0,0
1,7,6.42488561674417,1.60526315789473,0,0,0,0,0,0,0,0
1,8,7.43620065132419,1.84848484848485,0,0,0,0,0,0,0,0
1,9,5.79031186870227,2.73877551020409,0,0,0,0,0,0,0,0
1,10,6.35989067097729,3.65170068027212,0,0,0,0,0,0,0,0
2,3,0.588301634564455,1.09615384615385,0,0,0,0,0,0,0,0
2,4,1.86473916414448,1.54054054054054,0,0,0,0,0,0,0,0
2,5,2.70824073915791,1.72727272727273,0,0,0,0,0,0,0,0
2,6,4.03507146408033,1.54054054054054,0,0,0,0,0,0,0,0
2,7,4.71959432971935,1.5,0,0,0,0,0,0,0,0
2,8,5.68456867208536,1.72727272727273,0,0,0,0,0,0,0,0
2,9,3.68673849186413,2.55918367346939,0,0,0,0,0,0,0,0
2,10,4.12913150909885,3.41224489795919,0,0,0,0,0,0,0,0
3,4,1.24901172901004,1.4054054054054,0,0,0,0,0,0,0,0
3,5,2.12319534605478,1.57575757575758,0,0,0,0,0,0,0,0
3,6,3.54575837789817,1.4054054054054,0,0,0,0,0,0,0,0
3,7,4.27366324490643,1.36842105263158,0,0,0,0,0,0,0,0
3,8,5.26987915398237,1.57575757575758,0,0,0,0,0,0,0,0
3,9,3.07396247176585,2.33469387755103,0,0,0,0,0,0,0,0
3,10,3.49748832035805,3.11292517006803,0,0,0,0,0,0,0,0
4,5,1.05608054733007,1.12121212121212,0,0,0,0,0,0,0,0
4,6,2.77738046018167,1,0,0,0,0,0,0,0,0
4,7,3.65909521299703,1.02702702702703,0,0,0,0,0,0,0,0
4,8,4.82597140480546,1.12121212121212,0,0,0,0,0,0,0,0
4,9,1.9921500595597,1.66122448979592,0,0,0,0,0,0,0,0
4,10,2.41272219027269,2.21496598639456,0,0,0,0,0,0,0,0
5,6,1.94369729733657,1.12121212121212,0,0,0,0,0,0,0,0
5,7,2.88735829591382,1.15151515151516,0,0,0,0,0,0,0,0
5,8,4.06162357219876,1,0,0,0,0,0,0,0,0
5,9,1.32683152677933,1.48163265306123,0,0,0,0,0,0,0,0
5,10,1.58635967192417,1.97551020408163,0,0,0,0,0,0,0,0
6,7,0.920869154657707,1.02702702702703,0,0,0,0,0,0,0,0
6,8,1.89111779924262,1.12121212121212,0,0,0,0,0,0,0,0
6,9,1.74477720102155,1.66122448979592,0,0,0,0,0,0,0,0
6,10,1.67691045299832,2.21496598639456,0,0,0,0,0,0,0,0
7,8,0.892784450238899,1.15151515151516,0,0,0,0,0,0,0,0
7,9,2.78031615243995,1.7061224489796,0,0,0,0,0,0,0,0
7,10,2.81490300515428,2.2748299319728,0,0,0,0,0,0,0,0
8,9,4.15735283661674,1.48163265306123,0,0,0,0,0,0,0,0
8,10,4.35062890061723,1.97551020408163,0,0,0,0,0,0,0,0
9,10,0.348734846747654,1.33333333333333,0,0,0,0,0,0,0,0
