id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.10970505653529,1.13333333333333,0,0,0,0,0,0,0,0
1,3,2.61484655776609,1.58823529411765,0,0,0,0,0,0,0,0
1,4,2.44157509148001,1,0,0,0,0,0,0,0,0
1,5,5.37122541641748,2.26666666666666,0,0,0,0,0,0,0,0
1,6,5.16071428571429,1.54545454545455,0,0,0,0,0,0,0,0
1,7,6.39407909311259,1.54545454545454,0,0,0,0,0,0,0,0
1,8,6.92087734208482,1.21428571428571,0,0,0,0,0,0,0,0
1,9,8.30980701111546,1.61904761904763,0,0,0,0,0,0,0,0
1,10,8.90562684649387,1.14705882352941,0,0,0,0,0,0,0,0
1,11,11.8257976388875,1.54545454545454,0,0,0,0,0,0,0,0
1,12,8.45509453583079,1.91176470588235,0,0,0,0,0,0,0,0
1,13,12.2325827082614,1.41176470588235,0,0,0,0,0,0,0,0
2,3,1.91814494899407,1.8,0,0,0,0,0,0,0,0
2,4,1.50657737624889,1.13333333333333,0,0,0,0,0,0,0,0
2,5,4.31666309166161,2,0,0,0,0,0,0,0,0
2,6,4.21785616763867,1.36363636363637,0,0,0,0,0,0,0,0
2,7,5.53929614438043,1.36363636363636,0,0,0,0,0,0,0,0
2,8,6.20023588980125,1.07142857142857,0,0,0,0,0,0,0,0
2,9,7.59643879412856,1.42857142857144,0,0,0,0,0,0,0,0
2,10,8.40579710144928,1.3,0,0,0,0,0,0,0,0
2,11,11.3852000889351,1.36363636363636,0,0,0,0,0,0,0,0
2,12,8.06933939223942,2.16666666666666,0,0,0,0,0,0,0,0
2,13,11.9654952644292,1.6,0,0,0,0,0,0,0,0
3,4,0.736097033668257,1.58823529411765,0,0,0,0,0,0,0,0
3,5,0.480233087703795,3.59999999999999,0,0,0,0,0,0,0,0
3,6,0.781760567237524,2.45454545454546,0,0,0,0,0,0,0,0
3,7,1.69425458977051,2.45454545454545,0,0,0,0,0,0,0,0
3,8,2.42695182923758,1.92857142857142,0,0,0,0,0,0,0,0
