id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.39109595139679,1.07017543859649,0,0,0,0,0,0,0,0
1,3,2.39517667443868,1.41860465116279,0,0,0,0,0,0,0,0
1,4,2.82990371474406,1.74285714285714,0,0,0,0,0,0,0,0
1,5,3.28603669944245,2.25925925925926,0,0,0,0,0,0,0,0
1,6,3.60187063824955,1.60526315789474,0,0,0,0,0,0,0,0
1,7,4.64211427052117,1.22,0,0,0,0,0,0,0,0
1,8,5.46348617595617,1.32608695652174,0,0,0,0,0,0,0,0
1,9,6.08552579112887,1.525,0,0,0,0,0,0,0,0
2,3,1.00424100693011,1.32558139534884,0,0,0,0,0,0,0,0
2,4,1.36325322566201,1.62857142857143,0,0,0,0,0,0,0,0
2,5,1.5974132292376,2.11111111111111,0,0,0,0,0,0,0,0
2,6,2.15241924058897,1.5,0,0,0,0,0,0,0,0
2,7,3.40403802690812,1.14,0,0,0,0,0,0,0,0
2,8,4.21645466729497,1.23913043478261,0,0,0,0,0,0,0,0
2,9,4.82453299396341,1.425,0,0,0,0,0,0,0,0
3,4,0.320512820512822,1.22857142857143,0,0,0,0,0,0,0,0
3,5,0.594189552659584,1.59259259259259,0,0,0,0,0,0,0,0
3,6,1.32926906857423,1.13157894736842,0,0,0,0,0,0,0,0
3,7,2.87436873181374,1.16279069767442,0,0,0,0,0,0,0,0
3,8,3.78818354277059,1.06976744186047,0,0,0,0,0,0,0,0
3,9,4.45049869090696,1.075,0,0,0,0,0,0,0,0
4,5,0.468852963024149,1.29629629629629,0,0,0,0,0,0,0,0
4,6,1.16639632643332,1.08571428571428,0,0,0,0,0,0,0,0
4,7,2.86849007216648,1.42857142857143,0,0,0,0,0,0,0,0
4,8,3.86989285651769,1.31428571428572,0,0,0,0,0,0,0,0
4,9,4.60193196144595,1.14285714285714,0,0,0,0,0,0,0,0
5,6,1.08229429765917,1.4074074074074,0,0,0,0,0,0,0,0
5,7,2.98802918908299,1.85185185185185,0,0,0,0,0,0,0,0
5,8,4.11143794025563,1.70370370370371,0,0,0,0,0,0,0,0
5,9,4.98427020053535,1.48148148148148,0,0,0,0,0,0,0,0
6,7,1.81821732919867,1.31578947368421,0,0,0,0,0,0,0,0
6,8,2.73819875580716,1.21052631578948,0,0,0,0,0,0,0,0
6,9,3.37948815221184,1.05263157894737,0,0,0,0,0,0,0,0
7,8,0.729836002316808,1.08695652173913,0,0,0,0,0,0,0,0
7,9,1.18133634311129,1.25,0,0,0,0,0,0,0,0
8,9,0.486847009661819,1.15,0,0,0,0,0,0,0,0
