id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.524078432226513,1.20689655172414,0,0,0,0,0,0,0,0
1,3,1.65061522615285,1.03571428571429,0,0,0,0,0,0,0,0
1,4,3.31882708990819,1.17241379310345,0,0,0,0,0,0,0,0
1,5,3.72567809093886,1.10344827586207,0,0,0,0,0,0,0,0
1,6,5.08663826990763,1.06896551724138,0,0,0,0,0,0,0,0
1,7,5.14702834910071,1.11538461538462,0,0,0,0,0,0,0,0
1,8,6.95498972581324,1.17241379310345,0,0,0,0,0,0,0,0
1,9,10.651054896779,1.24137931034483,0,0,0,0,0,0,0,0
2,3,1.03076876793995,1.25,0,0,0,0,0,0,0,0
2,4,2.61199469335082,1.02941176470588,0,0,0,0,0,0,0,0
2,5,2.94090455152807,1.09375,0,0,0,0,0,0,0,0
2,6,4.16710741470547,1.12903225806451,0,0,0,0,0,0,0,0
2,7,4.16319213727106,1.34615384615385,0,0,0,0,0,0,0,0
2,8,5.91320332264769,1.02941176470588,0,0,0,0,0,0,0,0
2,9,9.32432661653457,1.02857142857143,0,0,0,0,0,0,0,0
3,4,1.86183812590568,1.21428571428572,0,0,0,0,0,0,0,0
3,5,2.21973471888472,1.14285714285714,0,0,0,0,0,0,0,0
3,6,3.57823867479367,1.10714285714286,0,0,0,0,0,0,0,0
3,7,3.50592287406649,1.07692307692308,0,0,0,0,0,0,0,0
3,8,5.54988726905976,1.21428571428572,0,0,0,0,0,0,0,0
3,9,9.34752484367519,1.28571428571429,0,0,0,0,0,0,0,0
4,5,0.375133891004241,1.0625,0,0,0,0,0,0,0,0
4,6,1.49990137742847,1.09677419354839,0,0,0,0,0,0,0,0
4,7,1.23344594080523,1.30769230769231,0,0,0,0,0,0,0,0
4,8,3.37803432737961,1,0,0,0,0,0,0,0,0
4,9,6.9107724250046,1.05882352941177,0,0,0,0,0,0,0,0
5,6,1.23809523809524,1.03225806451613,0,0,0,0,0,0,0,0
5,7,1.01416835654157,1.23076923076923,0,0,0,0,0,0,0,0
5,8,3.19700560083243,1.0625,0,0,0,0,0,0,0,0
5,9,6.83981638900446,1.125,0,0,0,0,0,0,0,0
6,7,0.498690189598313,1.1923076923077,0,0,0,0,0,0,0,0
6,8,2.0462116822364,1.09677419354839,0,0,0,0,0,0,0,0
6,9,5.77804742398853,1.16129032258065,0,0,0,0,0,0,0,0
7,8,2.60266956967051,1.30769230769231,0,0,0,0,0,0,0,0
7,9,6.6122147556644,1.38461538461539,0,0,0,0,0,0,0,0
8,9,3.63084855433131,1.05882352941177,0,0,0,0,0,0,0,0
