id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.09385364585918,1.18181818181818,0,0,0,0,0,0,0,0
1,3,2.74754990326184,1.15909090909091,0,0,0,0,0,0,0,0
1,4,2.9392522771532,2.13636363636364,0,0,0,0,0,0,0,0
1,5,3.7771928869233,1.52272727272727,0,0,0,0,0,0,0,0
1,6,4.43838837695961,2.11363636363636,0,0,0,0,0,0,0,0
1,7,5.43344833380886,1.86363636363637,0,0,0,0,0,0,0,0
2,3,0.584543426154967,1.01960784313725,0,0,0,0,0,0,0,0
2,4,1.41600374880366,1.80769230769231,0,0,0,0,0,0,0,0
2,5,1.83518714866648,1.28846153846154,0,0,0,0,0,0,0,0
2,6,2.81603190177584,1.78846153846154,0,0,0,0,0,0,0,0
2,7,3.61189404188957,1.57692307692308,0,0,0,0,0,0,0,0
3,4,1.03597593386763,1.84313725490196,0,0,0,0,0,0,0,0
3,5,1.34764416148368,1.31372549019608,0,0,0,0,0,0,0,0
3,6,2.41796341326771,1.82352941176471,0,0,0,0,0,0,0,0
3,7,3.18645339159408,1.6078431372549,0,0,0,0,0,0,0,0
4,5,0.21668029245357,1.40298507462687,0,0,0,0,0,0,0,0
4,6,1.20082949587624,1.01075268817205,0,0,0,0,0,0,0,0
4,7,1.65248138609939,1.14634146341463,0,0,0,0,0,0,0,0
5,6,1.23734216165134,1.38805970149254,0,0,0,0,0,0,0,0
5,7,1.80287245344051,1.22388059701493,0,0,0,0,0,0,0,0
6,7,0.461585554897243,1.13414634146341,0,0,0,0,0,0,0,0
