id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.36394637594229,1.3,0,0,0,0,0,0,0,0
1,3,1.9000140893056,1.73333333333333,0,0,0,0,0,0,0,0
1,4,1.90250657029089,1.85714285714287,0,0,0,0,0,0,0,0
1,5,3.02859839990477,1.92592592592592,0,0,0,0,0,0,0,0
1,6,3.52831073311425,1.67741935483871,0,0,0,0,0,0,0,0
1,7,4.35446775884378,1.44444444444445,0,0,0,0,0,0,0,0
1,8,5.59890641993358,1.44444444444444,0,0,0,0,0,0,0,0
1,9,6.03869007134641,2.2608695652174,0,0,0,0,0,0,0,0
1,10,6.66340906804941,2.88888888888889,0,0,0,0,0,0,0,0
2,3,1.17142857142857,1.33333333333333,0,0,0,0,0,0,0,0
2,4,2.32283124283684,1.42857142857144,0,0,0,0,0,0,0,0
2,5,3.04173831483596,1.48148148148148,0,0,0,0,0,0,0,0
2,6,2.619453265405,1.29032258064517,0,0,0,0,0,0,0,0
2,7,3.4783909500095,1.11111111111112,0,0,0,0,0,0,0,0
2,8,4.83847475452114,1.11111111111111,0,0,0,0,0,0,0,0
2,9,6.08104332589966,1.73913043478262,0,0,0,0,0,0,0,0
2,10,6.69278721561026,2.22222222222223,0,0,0,0,0,0,0,0
3,4,1.68339798481154,1.07142857142858,0,0,0,0,0,0,0,0
3,5,2.14616696121788,1.11111111111111,0,0,0,0,0,0,0,0
3,6,2.28927837649436,1.03333333333333,0,0,0,0,0,0,0,0
3,7,3.59946557608559,1.19999999999999,0,0,0,0,0,0,0,0
3,8,5.47271804422187,1.2,0,0,0,0,0,0,0,0
3,9,5.81383185149319,1.30434782608696,0,0,0,0,0,0,0,0
3,10,6.60456097666182,1.66666666666667,0,0,0,0,0,0,0,0
4,5,1.69783527708055,1.03703703703703,0,0,0,0,0,0,0,0
4,6,3.59338023309101,1.10714285714286,0,0,0,0,0,0,0,0
4,7,4.94105884401311,1.28571428571429,0,0,0,0,0,0,0,0
4,8,6.99598796856099,1.28571428571429,0,0,0,0,0,0,0,0
4,9,6.1421392579126,1.21739130434782,0,0,0,0,0,0,0,0
4,10,7.22576779497123,1.55555555555555,0,0,0,0,0,0,0,0
5,6,2.82274606769073,1.14814814814814,0,0,0,0,0,0,0,0
5,7,4.19672453832654,1.33333333333333,0,0,0,0,0,0,0,0
5,8,6.3755406254345,1.33333333333333,0,0,0,0,0,0,0,0
5,9,4.39840880319235,1.17391304347827,0,0,0,0,0,0,0,0
5,10,5.33333333333333,1.5,0,0,0,0,0,0,0,0
6,7,1.55939795661003,1.16129032258064,0,0,0,0,0,0,0,0
6,8,3.57368416822118,1.16129032258065,0,0,0,0,0,0,0,0
6,9,4.15149501225315,1.34782608695652,0,0,0,0,0,0,0,0
6,10,4.45870496659909,1.72222222222222,0,0,0,0,0,0,0,0
7,8,1.91132508492065,1.00000000000001,0,0,0,0,0,0,0,0
7,9,4.28049161263621,1.56521739130435,0,0,0,0,0,0,0,0
7,10,4.29438016018837,1.99999999999999,0,0,0,0,0,0,0,0
8,9,6.14983364755174,1.56521739130435,0,0,0,0,0,0,0,0
8,10,6.18912050456503,2,0,0,0,0,0,0,0,0
9,10,0.887818279180552,1.27777777777777,0,0,0,0,0,0,0,0
