id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.0990544991397,1.10416666666667,0,0,0,0,0,0,0,0
1,3,2.51757558821676,1.20454545454545,0,0,0,0,0,0,0,0
1,4,3.54001412426561,1.12765957446808,0,0,0,0,0,0,0,0
1,5,4.93831650690948,1.20454545454545,0,0,0,0,0,0,0,0
1,6,6.63962106608762,1.43243243243243,0,0,0,0,0,0,0,0
1,7,8.12466639817492,1.17777777777778,0,0,0,0,0,0,0,0
1,8,2.95744153777704,1.15094339622642,0,0,0,0,0,0,0,0
1,9,3.13959802049312,1.13207547169811,0,0,0,0,0,0,0,0
1,10,3.09896498850826,1.35849056603774,0,0,0,0,0,0,0,0
1,11,4.63477154414713,1.65625,0,0,0,0,0,0,0,0
1,12,3.81069823560487,1.39622641509434,0,0,0,0,0,0,0,0
1,13,3.83328363864097,1.62264150943396,0,0,0,0,0,0,0,0
1,14,5.28135982426318,1.18867924528302,0,0,0,0,0,0,0,0
1,15,4.93477901184517,1.54716981132076,0,0,0,0,0,0,0,0
1,16,6.66751581752389,1,0,0,0,0,0,0,0,0
1,17,6.17732970779483,1.39622641509434,0,0,0,0,0,0,0,0
2,3,1.4489582986507,1.09090909090909,0,0,0,0,0,0,0,0
2,4,2.5579813717189,1.02127659574468,0,0,0,0,0,0,0,0
2,5,4.00036919373704,1.09090909090909,0,0,0,0,0,0,0,0
2,6,5.7252068154421,1.29729729729729,0,0,0,0,0,0,0,0
2,7,7.37844416639228,1.06666666666666,0,0,0,0,0,0,0,0
2,8,3.35530312877026,1.27083333333333,0,0,0,0,0,0,0,0
2,9,3.23641245351593,1.25,0,0,0,0,0,0,0,0
2,10,2.94422693116924,1.5,0,0,0,0,0,0,0,0
2,11,4.37794543707434,1.5,0,0,0,0,0,0,0,0
2,12,3.40504471062015,1.54166666666667,0,0,0,0,0,0,0,0
2,13,3.3930366495961,1.79166666666666,0,0,0,0,0,0,0,0
2,14,4.75867590278,1.3125,0,0,0,0,0,0,0,0
2,15,4.43500065042055,1.70833333333334,0,0,0,0,0,0,0,0
