id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,2.16221199189348,1.75,0,0,0,0,0,0,0,0
1,3,2.85430975390114,1.45833333333333,0,0,0,0,0,0,0,0
1,4,5.38193614662889,1.16666666666667,0,0,0,0,0,0,0,0
1,5,5.03414460088734,1.58333333333333,0,0,0,0,0,0,0,0
1,6,3.81233318291053,1.29166666666667,0,0,0,0,0,0,0,0
1,7,8.80420705934115,1.20833333333333,0,0,0,0,0,0,0,0
1,8,9.6216674787861,1.375,0,0,0,0,0,0,0,0
1,9,8.82624783951153,1.79166666666667,0,0,0,0,0,0,0,0
1,10,11.4577656620903,1.375,0,0,0,0,0,0,0,0
1,11,12.2077674371204,1.70833333333333,0,0,0,0,0,0,0,0
1,12,13.2144520142187,1.79166666666667,0,0,0,0,0,0,0,0
2,3,0.541264051537006,1.2,0,0,0,0,0,0,0,0
2,4,1.98879514340944,1.5,0,0,0,0,0,0,0,0
2,5,2.16231935661687,1.10526315789474,0,0,0,0,0,0,0,0
2,6,0.986681813992828,1.35483870967742,0,0,0,0,0,0,0,0
2,7,4.69624861367667,1.44827586206897,0,0,0,0,0,0,0,0
2,8,5.5418248097736,1.27272727272727,0,0,0,0,0,0,0,0
2,9,5.39691056055368,1.02380952380952,0,0,0,0,0,0,0,0
2,10,6.97379220924869,1.27272727272727,0,0,0,0,0,0,0,0
2,11,8.01219313212501,1.02439024390244,0,0,0,0,0,0,0,0
2,12,8.87069745602911,1.02380952380952,0,0,0,0,0,0,0,0
3,4,1.79764970715646,1.25,0,0,0,0,0,0,0,0
3,5,1.97398163373824,1.08571428571428,0,0,0,0,0,0,0,0
3,6,0.647273011008904,1.12903225806452,0,0,0,0,0,0,0,0
3,7,4.6784548146931,1.20689655172414,0,0,0,0,0,0,0,0
3,8,5.61096384099145,1.06060606060606,0,0,0,0,0,0,0,0
3,9,5.44370810407937,1.22857142857143,0,0,0,0,0,0,0,0
3,10,7.17276302492733,1.06060606060606,0,0,0,0,0,0,0,0
3,11,8.27933799727552,1.17142857142857,0,0,0,0,0,0,0,0
3,12,9.22443693058771,1.22857142857143,0,0,0,0,0,0,0,0
4,5,0.531168125544185,1.35714285714285,0,0,0,0,0,0,0,0
4,6,1.19764683572404,1.10714285714286,0,0,0,0,0,0,0,0
4,7,3.48646417459739,1.03571428571428,0,0,0,0,0,0,0,0
4,8,4.5937047233352,1.17857142857143,0,0,0,0,0,0,0,0
4,9,4.55069092983703,1.53571428571429,0,0,0,0,0,0,0,0
4,10,6.37719667746319,1.17857142857143,0,0,0,0,0,0,0,0
4,11,7.70087707124693,1.46428571428572,0,0,0,0,0,0,0,0
4,12,8.70451022825676,1.53571428571429,0,0,0,0,0,0,0,0
5,6,1.48534817105148,1.2258064516129,0,0,0,0,0,0,0,0
5,7,2.4431153581344,1.31034482758621,0,0,0,0,0,0,0,0
5,8,3.45303169566853,1.15151515151515,0,0,0,0,0,0,0,0
5,9,3.5563270767875,1.13157894736843,0,0,0,0,0,0,0,0
5,10,4.98529876029701,1.15151515151515,0,0,0,0,0,0,0,0
5,11,6.28237170180559,1.07894736842106,0,0,0,0,0,0,0,0
5,12,7.19804966048441,1.13157894736843,0,0,0,0,0,0,0,0
6,7,4.35717798580688,1.06896551724138,0,0,0,0,0,0,0,0
6,8,5.36941024752719,1.06451612903226,0,0,0,0,0,0,0,0
6,9,5.22628911194793,1.38709677419355,0,0,0,0,0,0,0,0
6,10,7.0471521564122,1.06451612903226,0,0,0,0,0,0,0,0
6,11,8.23653268548195,1.32258064516129,0,0,0,0,0,0,0,0
6,12,9.21627565963235,1.38709677419355,0,0,0,0,0,0,0,0
7,8,1.32611643813513,1.13793103448276,0,0,0,0,0,0,0,0
7,9,1.74060529417886,1.48275862068966,0,0,0,0,0,0,0,0
7,10,3.06964765609512,1.13793103448276,0,0,0,0,0,0,0,0
7,11,4.75233562341204,1.41379310344828,0,0,0,0,0,0,0,0
7,12,5.84133049701082,1.48275862068966,0,0,0,0,0,0,0,0
8,9,0.567164791111903,1.3030303030303,0,0,0,0,0,0,0,0
8,10,1.65651176310461,1,0,0,0,0,0,0,0,0
8,11,3.39802396064351,1.24242424242424,0,0,0,0,0,0,0,0
8,12,4.45234850412859,1.3030303030303,0,0,0,0,0,0,0,0
9,10,0.894833586101015,1.3030303030303,0,0,0,0,0,0,0,0
9,11,2.49003114479334,1.04878048780488,0,0,0,0,0,0,0,0
9,12,3.43356164823234,1,0,0,0,0,0,0,0,0
10,11,1.92367131343505,1.24242424242424,0,0,0,0,0,0,0,0
10,12,3.05730699125573,1.3030303030303,0,0,0,0,0,0,0,0
11,12,1.16599835085433,1.04878048780488,0,0,0,0,0,0,0,0
