id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.927996092977891,1.09090909090909,0,0,0,0,0,0,0,0
1,3,1.81854581019329,1.41176470588235,0,0,0,0,0,0,0,0
1,4,6.6471227130851,1.33333333333333,0,0,0,0,0,0,0,0
1,5,7.04723723041482,1.17073170731707,0,0,0,0,0,0,0,0
1,6,6.78711792590353,1.20833333333333,0,0,0,0,0,0,0,0
1,7,7.88377649565044,2.52631578947368,0,0,0,0,0,0,0,0
2,3,0.90944347953683,1.29411764705882,0,0,0,0,0,0,0,0
2,4,5.95851544010754,1.22222222222222,0,0,0,0,0,0,0,0
2,5,6.41399853154253,1.07317073170732,0,0,0,0,0,0,0,0
2,6,6.23548680180762,1.31818181818182,0,0,0,0,0,0,0,0
2,7,7.06393792065289,2.3157894736842,0,0,0,0,0,0,0,0
3,4,5.84627912366803,1.05882352941176,0,0,0,0,0,0,0,0
3,5,6.37472788090248,1.20588235294118,0,0,0,0,0,0,0,0
3,6,6.20480826115166,1.70588235294118,0,0,0,0,0,0,0,0
3,7,7.16191223264098,1.78947368421052,0,0,0,0,0,0,0,0
4,5,0.897608373798828,1.13888888888889,0,0,0,0,0,0,0,0
4,6,1.77841033588159,1.61111111111111,0,0,0,0,0,0,0,0
4,7,0.838140405208443,1.89473684210526,0,0,0,0,0,0,0,0
5,6,1.01739788644408,1.41463414634146,0,0,0,0,0,0,0,0
5,7,1.72900099607965,2.1578947368421,0,0,0,0,0,0,0,0
6,7,2.4839168955239,3.05263157894736,0,0,0,0,0,0,0,0
