id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,0.877260634807047,1.46428571428572,0,0,0,0,0,0,0,0
1,3,2.51748086092338,1.17073170731707,0,0,0,0,0,0,0,0
1,4,3.3177873146732,1.80487804878049,0,0,0,0,0,0,0,0
1,5,4.69031924424629,1.29268292682927,0,0,0,0,0,0,0,0
1,6,4.98450215197291,2.14634146341464,0,0,0,0,0,0,0,0
2,3,2.16466364547958,1.71428571428571,0,0,0,0,0,0,0,0
2,4,3.16872997795688,2.64285714285715,0,0,0,0,0,0,0,0
2,5,4.71236362986067,1.89285714285714,0,0,0,0,0,0,0,0
2,6,5.02646089766616,3.14285714285715,0,0,0,0,0,0,0,0
3,4,1.31009148292428,1.54166666666667,0,0,0,0,0,0,0,0
3,5,2.15070381715534,1.10416666666667,0,0,0,0,0,0,0,0
3,6,3.08102274002765,1.83333333333334,0,0,0,0,0,0,0,0
4,5,0.496562677966221,1.39622641509434,0,0,0,0,0,0,0,0
4,6,1.65110476009907,1.18918918918919,0,0,0,0,0,0,0,0
5,6,1.45239499959458,1.66037735849057,0,0,0,0,0,0,0,0
